Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-01,Greater Manchester Police,Q1,104,21,64,165,419,130,52,100,45,38,19
2012-01,Greater Manchester Police,Q2,143,21,76,79,297,96,29,70,26,16,35
2012-01,Greater Manchester Police,K3,105,7,69,83,266,85,16,75,23,8,24
2012-01,Greater Manchester Police,K2,123,4,77,88,329,121,26,102,21,22,21
2012-01,Greater Manchester Police,K1,55,17,47,100,224,72,71,89,17,43,29
2012-01,Greater Manchester Police,M1,62,9,52,87,166,79,51,78,39,20,36
2012-01,Greater Manchester Police,M2,76,7,41,64,233,56,53,46,24,19,29
2012-01,Greater Manchester Police,G2,97,24,73,111,378,96,45,85,20,18,25
2012-01,Greater Manchester Police,G1,81,10,45,137,382,141,44,65,29,27,28
2012-01,Greater Manchester Police,I1,0,0,0,7,26,1,0,58,4,8,1
2012-01,Greater Manchester Police,A1,30,20,45,127,266,27,116,444,41,36,31
2012-01,Greater Manchester Police,A3,117,21,89,122,272,107,33,100,41,32,11
2012-01,Greater Manchester Police,A2,124,26,114,154,435,155,54,99,43,27,24
2012-01,Greater Manchester Police,E4,73,22,25,128,286,96,18,53,43,35,35
2012-01,Greater Manchester Police,E1,99,23,68,122,250,83,27,134,67,27,19
2012-01,Greater Manchester Police,E3,103,15,67,50,164,58,27,68,22,18,17
2012-01,Greater Manchester Police,E2,82,21,44,78,172,43,21,57,25,20,19
2012-01,Greater Manchester Police,P2,89,3,54,86,277,88,12,50,21,14,26
2012-01,Greater Manchester Police,P3,89,7,37,71,268,71,28,57,16,8,33
2012-01,Greater Manchester Police,P1,60,9,63,81,211,71,42,56,30,24,19
2012-01,Greater Manchester Police,L2,157,11,88,99,512,176,47,83,21,17,33
2012-01,Greater Manchester Police,L1,111,6,89,110,435,148,77,87,22,17,24
2012-01,Greater Manchester Police,N1,78,11,50,116,207,133,48,89,17,34,29
2012-01,Greater Manchester Police,N2,89,13,60,81,221,81,17,65,23,13,29
2012-01,Greater Manchester Police,F1,152,11,81,126,445,138,35,84,82,39,45
2012-01,Greater Manchester Police,F2,66,17,102,107,294,117,22,91,79,32,13
2012-01,Greater Manchester Police,J1,93,10,64,99,220,94,71,70,31,13,19
2012-01,Greater Manchester Police,J2,96,3,95,83,245,96,13,52,16,9,22
2012-01,Greater Manchester Police,J3,96,8,60,103,204,59,42,69,18,26,23
