Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-01,North Yorkshire Police,harrogate-town,28,2,7,26,141,26,22,25,5,5,3
2012-01,North Yorkshire Police,richmond-and-catterick,16,0,12,22,118,17,7,21,4,11,6
2012-01,North Yorkshire Police,york-west,78,1,40,48,292,40,18,79,21,11,11
2012-01,North Yorkshire Police,ryedale,17,0,12,23,111,21,11,17,3,2,7
2012-01,North Yorkshire Police,the-dales,6,0,8,7,35,6,0,12,0,0,3
2012-01,North Yorkshire Police,harrogate-outer,22,2,14,9,138,36,12,21,11,1,4
2012-01,North Yorkshire Police,skipton-town,8,0,2,13,77,16,13,8,11,3,4
2012-01,North Yorkshire Police,thirsk-and-easingwold,14,0,9,13,78,17,6,12,5,9,1
2012-01,North Yorkshire Police,craven-rural,14,0,7,15,61,18,5,14,2,1,3
2012-01,North Yorkshire Police,york-city-and-east,28,1,15,50,262,33,55,88,27,18,11
2012-01,North Yorkshire Police,filey-and-eastfield,4,0,10,24,86,19,3,21,3,1,9
2012-01,North Yorkshire Police,northallerton-and-stokesley,16,0,9,23,100,24,10,22,7,3,4
2012-01,North Yorkshire Police,selby-town,10,0,3,28,132,18,6,21,12,10,10
2012-01,North Yorkshire Police,whitby,5,0,3,21,72,17,2,9,1,2,2
2012-01,North Yorkshire Police,knaresborough-and-boroughbridge,12,0,5,12,80,12,4,14,4,2,6
2012-01,North Yorkshire Police,scarborough,27,3,20,69,315,54,36,37,16,13,16
2012-01,North Yorkshire Police,selby-rural,48,0,18,25,138,25,1,32,7,3,6
2012-01,North Yorkshire Police,york-north,80,1,54,59,323,81,67,64,27,5,21
2012-01,North Yorkshire Police,ripon-and-pateley-bridge,15,0,8,13,120,15,13,7,5,2,7
