Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-01,Warwickshire Police,rte,11,0,7,2,25,6,1,8,0,0,1
2012-01,Warwickshire Police,rrn,16,0,12,4,29,14,1,7,5,0,0
2012-01,Warwickshire Police,nww,12,0,8,1,28,19,1,5,1,2,2
2012-01,Warwickshire Police,rtc,4,0,2,15,40,2,13,17,0,7,3
2012-01,Warwickshire Police,nws,12,0,8,7,31,14,2,16,0,3,8
2012-01,Warwickshire Police,lsn,24,2,26,9,55,24,2,22,1,3,6
2012-01,Warwickshire Police,ken,9,3,12,4,24,12,4,5,0,2,3
2012-01,Warwickshire Police,rtn,26,0,26,24,102,33,8,23,1,5,5
2012-01,Warwickshire Police,rrc,7,0,4,1,20,1,4,6,1,0,0
2012-01,Warwickshire Police,an,19,1,9,6,20,7,5,9,3,2,2
2012-01,Warwickshire Police,nwe,19,2,19,10,69,19,8,10,1,2,1
2012-01,Warwickshire Police,rtw,15,0,19,23,57,31,1,25,2,3,11
2012-01,Warwickshire Police,lstc,9,0,4,18,46,8,26,41,9,5,1
2012-01,Warwickshire Police,lss,21,2,12,20,77,22,4,14,5,5,7
2012-01,Warwickshire Police,btc,3,0,2,4,25,2,11,7,0,1,3
2012-01,Warwickshire Police,ship,13,0,4,11,14,8,2,5,0,2,4
2012-01,Warwickshire Police,rrs,8,2,3,3,13,0,0,9,0,0,1
2012-01,Warwickshire Police,whit,2,0,2,2,10,4,1,5,1,1,0
2012-01,Warwickshire Police,wre,9,0,5,5,7,2,1,11,1,1,3
2012-01,Warwickshire Police,wrc,18,1,29,25,77,23,20,27,2,4,13
2012-01,Warwickshire Police,nn,13,0,10,12,40,11,1,10,2,3,2
2012-01,Warwickshire Police,nc,19,2,12,11,48,10,4,14,3,4,2
2012-01,Warwickshire Police,ne,23,0,26,5,44,12,1,15,2,3,3
2012-01,Warwickshire Police,wrw,14,0,5,2,10,2,1,11,1,1,3
2012-01,Warwickshire Police,ns,40,0,33,22,88,24,1,25,5,5,6
2012-01,Warwickshire Police,nw,14,0,13,16,76,9,0,11,1,1,2
2012-01,Warwickshire Police,be,10,2,13,19,50,14,8,12,1,3,3
2012-01,Warwickshire Police,bw,19,0,12,10,59,23,8,21,3,2,1
2012-01,Warwickshire Police,ntc,1,1,2,12,38,4,31,17,3,5,2
2012-01,Warwickshire Police,well,7,0,3,6,18,2,2,13,1,0,4
2012-01,Warwickshire Police,as,8,0,7,6,32,10,4,17,3,1,1
2012-01,Warwickshire Police,st,11,1,5,21,68,25,14,31,2,3,8
2012-01,Warwickshire Police,nwn,3,0,6,12,29,9,0,11,1,2,5
2012-01,Warwickshire Police,sou,23,0,9,6,32,11,2,16,3,2,9
