Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-02,Surrey Police,EPEA,8,1,9,6,29,6,1,7,1,1,4
2012-02,Surrey Police,SHLI,1,0,8,2,33,2,0,5,0,0,1
2012-02,Surrey Police,SHSW,0,0,2,5,45,6,1,10,6,4,2
2012-02,Surrey Police,SHSP,6,0,1,3,10,1,0,1,0,1,0
2012-02,Surrey Police,ELCO,11,0,8,6,32,21,7,10,0,0,3
2012-02,Surrey Police,SHCT,0,1,1,15,49,4,10,7,4,6,3
2012-02,Surrey Police,MVAS,2,0,11,6,28,10,2,5,1,1,0
2012-02,Surrey Police,SPST,2,0,4,4,71,6,13,15,6,8,7
2012-02,Surrey Police,SPSU,3,0,3,12,61,9,1,10,4,2,3
2012-02,Surrey Police,RBHW,6,2,4,10,34,8,0,6,1,1,3
2012-02,Surrey Police,SPSL,2,0,0,2,26,4,0,0,5,0,1
2012-02,Surrey Police,SPLS,6,1,4,8,33,2,0,5,1,2,8
2012-02,Surrey Police,SPSH,9,0,4,6,17,1,1,7,4,0,1
2012-02,Surrey Police,SHCB,4,0,2,4,30,4,0,0,1,0,1
2012-02,Surrey Police,RBHO,7,0,5,8,65,15,8,4,1,1,3
2012-02,Surrey Police,WVSC,11,0,2,1,18,2,1,1,0,0,2
2012-02,Surrey Police,SPSA,5,1,5,8,34,5,8,7,3,3,0
2012-02,Surrey Police,SPSC,0,0,3,6,48,6,9,4,1,0,1
2012-02,Surrey Police,MVRE,0,0,5,7,45,20,2,8,0,2,0
2012-02,Surrey Police,TNPW,1,2,2,3,29,15,1,7,1,0,8
2012-02,Surrey Police,TNLD,11,0,2,11,31,10,2,5,2,0,3
2012-02,Surrey Police,MVRW,8,1,1,4,22,2,0,4,0,2,3
2012-02,Surrey Police,SHMD,7,0,1,2,37,6,1,4,0,1,0
2012-02,Surrey Police,GDPW,7,0,0,3,20,13,0,11,2,0,1
2012-02,Surrey Police,WVHG,5,0,1,1,22,3,6,1,1,0,1
2012-02,Surrey Police,WKSH,6,0,2,5,16,8,1,2,5,0,0
2012-02,Surrey Police,RUAT,1,0,3,8,50,2,8,11,5,1,7
2012-02,Surrey Police,RBWO,11,1,3,9,29,30,5,3,1,2,1
2012-02,Surrey Police,WKHO,8,1,2,1,14,2,1,2,1,2,0
2012-02,Surrey Police,RUVW,3,0,4,0,8,1,0,5,0,0,2
