Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-03,Cheshire Constabulary,N020,2,0,1,0,7,3,4,3,0,1,1
2012-03,Cheshire Constabulary,N021,11,0,11,6,117,13,13,9,5,1,9
2012-03,Cheshire Constabulary,N022,17,0,7,2,45,14,2,4,5,3,7
2012-03,Cheshire Constabulary,N023,6,1,9,8,59,23,13,6,3,2,6
2012-03,Cheshire Constabulary,N024,3,0,0,16,111,4,42,33,6,18,30
2012-03,Cheshire Constabulary,N025,7,1,5,4,77,5,11,11,4,3,16
2012-03,Cheshire Constabulary,N008,4,0,5,3,39,10,2,22,0,1,5
2012-03,Cheshire Constabulary,N009,2,0,3,7,49,13,1,9,0,2,6
2012-03,Cheshire Constabulary,N006,1,0,4,2,9,2,0,8,0,2,2
2012-03,Cheshire Constabulary,N007,4,0,0,8,58,7,8,16,3,2,5
2012-03,Cheshire Constabulary,N004,47,2,24,58,421,94,67,68,15,13,52
2012-03,Cheshire Constabulary,N005,3,0,2,1,23,3,0,2,1,1,3
2012-03,Cheshire Constabulary,N002,13,1,14,7,114,15,4,14,3,4,11
2012-03,Cheshire Constabulary,N003,5,0,6,8,70,11,7,12,4,0,7
2012-03,Cheshire Constabulary,N001,16,1,7,14,108,13,12,18,5,3,11
2012-03,Cheshire Constabulary,N048,8,0,5,5,23,5,0,7,1,1,4
2012-03,Cheshire Constabulary,N049,30,3,16,31,264,62,33,43,12,11,40
2012-03,Cheshire Constabulary,N042,13,3,14,10,212,25,71,46,22,17,27
2012-03,Cheshire Constabulary,N043,13,1,6,9,69,11,6,13,6,7,10
2012-03,Cheshire Constabulary,N040,10,0,9,6,90,13,10,10,3,2,7
2012-03,Cheshire Constabulary,N041,15,1,10,1,48,6,1,18,4,2,9
2012-03,Cheshire Constabulary,N046,7,0,6,3,63,11,5,13,5,1,7
2012-03,Cheshire Constabulary,N047,3,1,14,4,47,6,0,17,3,0,6
2012-03,Cheshire Constabulary,N044,26,0,32,6,114,20,12,19,6,4,8
2012-03,Cheshire Constabulary,N045,16,0,6,4,53,13,6,8,5,5,7
2012-03,Cheshire Constabulary,N033,9,0,5,15,52,12,2,3,0,0,4
2012-03,Cheshire Constabulary,N026,10,2,10,7,63,11,3,19,0,3,6
2012-03,Cheshire Constabulary,N050,7,0,6,3,51,16,0,11,2,1,4
2012-03,Cheshire Constabulary,N027,12,0,12,8,78,21,27,29,5,6,8
2012-03,Cheshire Constabulary,N028,6,0,3,6,40,3,2,4,2,0,6
2012-03,Cheshire Constabulary,N029,8,0,18,6,80,13,1,4,2,2,7
2012-03,Cheshire Constabulary,N039,12,0,6,7,51,11,2,3,2,0,2
2012-03,Cheshire Constabulary,N032,10,0,3,5,53,12,5,17,1,1,2
2012-03,Cheshire Constabulary,N019,11,0,4,9,76,13,12,10,5,2,12
2012-03,Cheshire Constabulary,N018,8,0,4,3,51,9,8,5,2,0,7
2012-03,Cheshire Constabulary,N031,6,0,5,1,24,4,5,8,0,1,4
2012-03,Cheshire Constabulary,N030,10,0,2,5,37,7,2,6,1,2,10
2012-03,Cheshire Constabulary,N037,42,1,21,22,242,50,28,58,12,4,30
2012-03,Cheshire Constabulary,N036,14,0,7,9,99,37,8,13,5,1,19
2012-03,Cheshire Constabulary,N035,2,0,2,2,10,1,0,1,1,0,2
2012-03,Cheshire Constabulary,N034,9,0,7,13,73,9,15,21,8,2,13
2012-03,Cheshire Constabulary,N011,3,1,3,2,29,6,3,4,3,0,3
2012-03,Cheshire Constabulary,N010,2,0,2,3,35,11,2,9,0,2,3
2012-03,Cheshire Constabulary,N013,13,0,11,13,108,17,14,19,1,3,11
2012-03,Cheshire Constabulary,N012,3,0,3,2,21,6,0,4,1,2,8
2012-03,Cheshire Constabulary,N015,3,0,2,1,14,1,0,9,1,0,3
2012-03,Cheshire Constabulary,N014,13,0,3,4,29,4,0,1,1,0,0
2012-03,Cheshire Constabulary,N017,5,0,1,5,24,7,4,3,1,1,4
2012-03,Cheshire Constabulary,N016,1,0,3,2,17,2,0,10,2,2,5
2012-03,Cheshire Constabulary,N052,17,5,12,22,213,33,16,29,4,5,30
2012-03,Cheshire Constabulary,N038,28,2,10,16,204,29,42,36,23,6,33
2012-03,Cheshire Constabulary,N051,14,0,18,21,231,40,31,39,14,4,33
