Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-03,Hampshire Constabulary,2LE11,1,0,1,0,6,1,0,3,0,0,0
2012-03,Hampshire Constabulary,2LE10,0,0,0,5,2,0,0,2,0,0,1
2012-03,Hampshire Constabulary,2LE12,1,0,0,9,33,3,0,2,1,0,2
2012-03,Hampshire Constabulary,4PS02,9,1,5,27,109,24,32,22,6,13,5
2012-03,Hampshire Constabulary,4PS03,6,1,2,25,68,18,8,15,5,7,2
2012-03,Hampshire Constabulary,4PS01,7,1,7,26,63,6,12,21,10,6,3
2012-03,Hampshire Constabulary,4PS04,5,1,1,33,63,12,4,14,1,3,6
2012-03,Hampshire Constabulary,3BW03,7,0,0,1,8,0,2,3,6,0,6
2012-03,Hampshire Constabulary,3BW02,5,0,1,1,3,2,0,6,1,0,0
2012-03,Hampshire Constabulary,3BW01,1,0,3,1,15,3,1,8,1,1,2
2012-03,Hampshire Constabulary,3BW07,4,0,0,1,6,7,0,2,0,0,0
2012-03,Hampshire Constabulary,3BW06,1,0,1,5,16,5,0,3,1,0,0
2012-03,Hampshire Constabulary,3BW05,1,0,0,1,14,3,1,2,0,0,0
2012-03,Hampshire Constabulary,3BW04,4,0,2,0,5,8,0,3,0,0,1
2012-03,Hampshire Constabulary,3BW09,5,0,0,2,10,5,1,1,0,0,0
2012-03,Hampshire Constabulary,3BW08,0,0,1,4,45,15,4,13,3,3,1
2012-03,Hampshire Constabulary,6TR04,2,0,3,1,10,0,0,3,0,0,0
2012-03,Hampshire Constabulary,6NL13,1,0,4,0,6,0,0,4,1,1,1
2012-03,Hampshire Constabulary,6EE08,3,0,2,9,20,7,2,5,3,0,2
2012-03,Hampshire Constabulary,4PF05,7,0,1,18,30,8,3,7,1,1,1
2012-03,Hampshire Constabulary,4PF04,8,2,5,24,85,20,3,21,4,3,4
2012-03,Hampshire Constabulary,4PF03,5,1,3,21,67,14,18,2,0,1,4
