Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-03,Metropolitan Police,00ASHD,8,4,23,21,62,10,7,11,4,3,1
2012-03,Metropolitan Police,00ASHE,12,4,21,26,65,12,5,16,8,6,10
2012-03,Metropolitan Police,00ASHB,9,5,20,19,71,12,4,19,2,5,8
2012-03,Metropolitan Police,00ASHC,7,1,9,13,37,6,8,7,5,1,6
2012-03,Metropolitan Police,00ASHA,32,10,9,38,101,13,7,20,8,6,14
2012-03,Metropolitan Police,00BBGW,15,5,22,16,39,6,0,14,1,4,2
2012-03,Metropolitan Police,00BFGS,10,2,3,18,23,10,0,8,4,0,4
2012-03,Metropolitan Police,00BDGD,4,1,14,11,26,10,0,6,3,5,1
2012-03,Metropolitan Police,00ALHA,21,3,13,17,53,6,1,9,5,8,4
2012-03,Metropolitan Police,00ALHC,10,2,3,34,76,13,3,17,14,10,8
2012-03,Metropolitan Police,00ALHB,14,10,29,32,62,8,25,66,5,3,10
2012-03,Metropolitan Police,00ALHE,11,3,12,23,53,11,5,23,6,4,23
2012-03,Metropolitan Police,00ALHD,15,2,14,38,70,22,6,14,4,9,3
2012-03,Metropolitan Police,00ALHG,15,1,4,28,63,11,2,7,5,3,6
2012-03,Metropolitan Police,00ALHF,5,3,9,35,98,17,24,50,8,15,9
2012-03,Metropolitan Police,00BFGP,1,2,9,8,11,2,1,7,2,0,0
2012-03,Metropolitan Police,00BFGW,2,1,17,7,25,6,2,3,1,4,3
2012-03,Metropolitan Police,00BFGU,6,1,6,17,39,20,0,15,3,3,1
2012-03,Metropolitan Police,00BBGU,18,16,28,47,152,15,36,138,27,24,28
2012-03,Metropolitan Police,00BFGT,8,0,9,16,28,3,7,9,5,1,2
2012-03,Metropolitan Police,00BGFY,5,1,17,26,79,15,5,22,14,7,8
2012-03,Metropolitan Police,00BGFX,6,12,10,29,126,12,12,39,30,12,8
2012-03,Metropolitan Police,00BGFZ,16,8,18,27,73,15,6,22,7,6,6
2012-03,Metropolitan Police,00BHFZ,22,7,20,24,40,11,1,8,7,2,7
2012-03,Metropolitan Police,00BHFX,12,3,22,30,37,10,3,1,3,3,9
2012-03,Metropolitan Police,00BHFY,8,7,11,9,54,6,1,16,3,4,3
2012-03,Metropolitan Police,00BGFW,19,8,13,19,70,7,3,35,8,4,13
2012-03,Metropolitan Police,00BFGF,4,3,15,10,31,6,5,9,1,5,1
2012-03,Metropolitan Police,00BBGG,18,18,28,36,124,15,27,99,16,14,11
2012-03,Metropolitan Police,00BBGF,25,1,28,16,50,9,2,33,10,4,11
2012-03,Metropolitan Police,00BBGE,13,22,33,19,54,12,1,25,4,5,9
2012-03,Metropolitan Police,00BBGD,12,8,19,31,66,9,1,21,10,2,8
2012-03,Metropolitan Police,00BBGC,14,8,32,26,54,9,0,37,9,6,7
2012-03,Metropolitan Police,00BBGB,25,12,40,25,73,17,18,40,7,7,10
2012-03,Metropolitan Police,00BBGN,9,7,15,27,58,6,5,26,4,6,5
2012-03,Metropolitan Police,00BBGM,15,9,10,25,61,8,1,27,3,5,9
2012-03,Metropolitan Police,00BBGL,19,11,18,42,115,7,3,27,10,7,12
2012-03,Metropolitan Police,00BBGK,23,14,23,26,58,11,1,13,9,7,9
