Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-03,South Wales Police,216,0,0,0,0,2,0,0,2,0,0,1
2012-03,South Wales Police,217,9,1,8,20,72,18,6,16,4,1,2
2012-03,South Wales Police,214,0,0,0,0,4,1,0,2,0,0,0
2012-03,South Wales Police,215,0,0,0,0,7,0,0,1,0,0,0
2012-03,South Wales Police,212,0,0,0,4,3,3,0,0,0,1,0
2012-03,South Wales Police,213,11,0,7,9,45,4,5,13,2,4,2
2012-03,South Wales Police,210,0,0,1,0,7,4,0,0,0,0,0
2012-03,South Wales Police,211,1,0,3,3,25,1,2,8,2,0,3
2012-03,South Wales Police,218,1,0,3,3,49,9,0,8,1,1,1
2012-03,South Wales Police,219,1,0,0,1,2,1,0,1,2,0,0
2012-03,South Wales Police,133,2,0,1,1,1,1,0,2,0,0,0
2012-03,South Wales Police,227,2,0,6,4,33,3,1,6,0,1,0
2012-03,South Wales Police,131,1,0,0,5,13,1,0,1,0,0,0
2012-03,South Wales Police,130,1,0,3,3,14,5,0,3,0,1,0
2012-03,South Wales Police,137,3,0,5,9,26,5,2,5,0,1,0
2012-03,South Wales Police,136,5,0,1,4,32,6,3,4,1,3,0
2012-03,South Wales Police,135,2,0,6,1,6,3,0,1,1,0,0
2012-03,South Wales Police,226,1,0,5,1,27,4,0,3,0,1,0
2012-03,South Wales Police,139,1,0,2,3,4,2,0,4,0,0,0
2012-03,South Wales Police,225,2,0,1,0,15,1,0,3,1,0,0
2012-03,South Wales Police,24,5,0,0,3,19,3,1,1,0,0,0
2012-03,South Wales Police,25,0,0,1,1,10,4,0,2,0,0,0
2012-03,South Wales Police,26,0,0,0,4,25,3,0,5,0,1,0
2012-03,South Wales Police,224,1,0,1,0,0,0,0,2,0,0,0
2012-03,South Wales Police,20,7,0,1,0,17,3,0,2,0,0,0
2012-03,South Wales Police,21,0,0,1,3,9,4,0,2,1,1,0
2012-03,South Wales Police,22,1,0,1,0,21,1,6,0,0,1,0
2012-03,South Wales Police,23,3,0,1,3,25,4,0,6,0,1,0
2012-03,South Wales Police,223,2,0,4,3,4,2,1,0,0,0,0
2012-03,South Wales Police,28,0,0,2,3,15,2,0,5,1,1,0
2012-03,South Wales Police,29,2,0,1,2,8,2,0,2,0,1,1
2012-03,South Wales Police,222,10,0,19,14,98,27,4,5,3,1,0
2012-03,South Wales Police,221,0,0,1,1,10,4,0,2,0,0,0
2012-03,South Wales Police,5,2,0,2,1,13,2,0,1,1,0,0
2012-03,South Wales Police,220,0,0,0,2,11,4,3,3,0,1,0
2012-03,South Wales Police,68,30,3,50,68,269,30,78,230,17,27,11
2012-03,South Wales Police,87,20,0,7,1,10,3,2,5,1,0,0
2012-03,South Wales Police,120,2,0,2,5,34,10,3,4,2,3,1
2012-03,South Wales Police,121,2,0,0,1,0,2,0,2,0,0,0
2012-03,South Wales Police,122,1,0,1,2,6,1,0,0,0,1,0
2012-03,South Wales Police,123,2,0,4,4,23,5,1,4,0,0,1
2012-03,South Wales Police,124,10,0,11,4,41,10,0,10,3,0,0
2012-03,South Wales Police,125,0,0,0,0,2,1,0,1,0,0,0
2012-03,South Wales Police,126,0,0,0,0,4,2,0,0,0,0,0
2012-03,South Wales Police,127,1,0,0,1,2,1,0,4,2,0,0
2012-03,South Wales Police,128,4,0,0,2,28,8,1,3,0,1,2
2012-03,South Wales Police,129,1,0,4,1,4,0,0,4,0,0,0
2012-03,South Wales Police,69,2,0,0,1,7,1,0,0,0,0,0
2012-03,South Wales Police,91,14,1,10,12,103,21,5,9,5,4,1
2012-03,South Wales Police,60,1,0,0,1,19,2,0,1,0,0,0
2012-03,South Wales Police,59,3,0,0,3,26,11,0,7,2,0,0
2012-03,South Wales Police,58,4,0,1,1,21,3,0,2,0,0,0
2012-03,South Wales Police,132,0,0,0,0,4,0,2,2,0,0,1
2012-03,South Wales Police,55,2,0,3,3,17,5,0,0,0,1,0
2012-03,South Wales Police,54,4,0,3,3,15,3,10,7,1,3,0
2012-03,South Wales Police,57,2,0,5,9,42,7,0,0,1,1,0
2012-03,South Wales Police,56,5,0,8,4,21,7,0,5,0,3,4
2012-03,South Wales Police,51,1,0,2,1,32,4,4,1,0,1,0
2012-03,South Wales Police,50,1,0,0,2,10,1,0,3,0,0,1
2012-03,South Wales Police,53,1,0,1,4,22,5,1,6,1,1,1
2012-03,South Wales Police,52,2,0,0,4,15,6,1,5,0,3,0
2012-03,South Wales Police,64,9,0,28,12,62,19,7,14,7,5,1
2012-03,South Wales Police,90,14,0,38,9,86,23,12,24,10,10,5
2012-03,South Wales Police,8,1,0,2,1,19,3,1,4,1,2,0
2012-03,South Wales Police,146,1,0,1,3,6,2,0,1,0,0,0
2012-03,South Wales Police,199,15,3,11,45,318,36,67,76,40,40,2
2012-03,South Wales Police,198,3,0,14,4,31,18,4,4,5,1,0
2012-03,South Wales Police,147,0,0,1,0,0,0,0,0,0,0,0
2012-03,South Wales Police,195,2,0,0,0,2,0,0,1,0,0,0
2012-03,South Wales Police,194,0,0,0,0,3,0,0,0,0,0,0
2012-03,South Wales Police,197,0,0,2,0,3,0,0,0,0,0,0
2012-03,South Wales Police,196,5,0,5,1,17,5,0,0,0,0,0
2012-03,South Wales Police,191,14,0,2,5,39,11,0,3,0,2,0
2012-03,South Wales Police,190,3,0,4,7,32,7,2,5,2,0,3
2012-03,South Wales Police,193,2,0,2,0,8,3,3,0,1,0,0
2012-03,South Wales Police,192,0,0,0,2,7,3,0,0,0,0,0
2012-03,South Wales Police,115,0,0,0,2,6,6,4,1,1,1,0
2012-03,South Wales Police,114,1,0,1,0,4,3,0,1,0,0,0
2012-03,South Wales Police,117,0,0,0,3,12,2,0,3,0,1,0
2012-03,South Wales Police,116,0,0,0,0,10,1,0,1,0,0,1
2012-03,South Wales Police,111,4,0,1,1,20,7,1,9,0,2,1
2012-03,South Wales Police,110,3,0,1,1,9,4,0,1,1,2,0
2012-03,South Wales Police,113,0,0,0,2,19,3,0,1,1,0,0
2012-03,South Wales Police,112,1,0,1,0,5,0,0,1,1,0,0
2012-03,South Wales Police,82,0,0,2,0,6,1,1,0,2,1,0
2012-03,South Wales Police,142,0,0,0,0,2,1,0,1,0,0,0
2012-03,South Wales Police,80,5,0,17,14,57,20,8,7,2,4,1
2012-03,South Wales Police,81,9,0,8,8,71,15,5,7,5,2,3
2012-03,South Wales Police,119,1,0,3,1,4,1,0,0,0,0,0
2012-03,South Wales Police,118,0,0,0,2,16,5,0,0,0,0,0
2012-03,South Wales Police,84,22,3,55,13,87,25,21,22,14,3,1
2012-03,South Wales Police,143,2,0,0,2,11,4,0,6,1,0,0
2012-03,South Wales Police,140,6,0,2,8,26,1,3,3,0,0,0
2012-03,South Wales Police,66,13,0,6,13,77,22,12,7,3,3,1
2012-03,South Wales Police,141,1,0,0,1,14,0,2,4,0,0,0
2012-03,South Wales Police,27,4,0,5,7,20,6,1,6,4,8,0
2012-03,South Wales Police,3,13,0,12,3,32,4,5,2,1,0,5
