Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-03,South Yorkshire,KD4,14,7,19,14,128,24,6,30,2,2,7
2012-03,South Yorkshire,KA4,28,2,14,15,180,25,5,19,10,3,4
2012-03,South Yorkshire,CB2,31,0,15,14,216,29,8,34,5,0,4
2012-03,South Yorkshire,CB3,21,0,18,17,239,38,11,37,6,2,8
2012-03,South Yorkshire,KA1,42,1,27,23,280,50,17,40,13,8,10
2012-03,South Yorkshire,CB1,24,0,14,21,255,42,8,43,12,4,6
2012-03,South Yorkshire,KC1,24,4,20,10,200,19,7,12,3,5,3
2012-03,South Yorkshire,KC3,18,0,9,9,80,7,6,8,2,2,1
2012-03,South Yorkshire,KC2,12,0,12,11,103,7,19,14,5,1,2
2012-03,South Yorkshire,KE4,11,1,4,14,196,24,11,13,2,4,0
2012-03,South Yorkshire,KE3,11,0,26,6,71,5,15,7,3,1,1
2012-03,South Yorkshire,KE2,54,1,20,18,195,46,15,22,5,6,3
2012-03,South Yorkshire,KE1,11,0,15,6,120,14,8,27,4,1,3
2012-03,South Yorkshire,AA5,1,0,3,1,26,1,2,9,0,1,1
2012-03,South Yorkshire,AD2,23,3,12,12,108,15,24,21,6,1,5
2012-03,South Yorkshire,AD3,18,0,9,9,26,13,2,14,2,1,7
2012-03,South Yorkshire,AD1,10,0,4,10,77,18,4,14,0,2,0
2012-03,South Yorkshire,KL4,8,0,15,11,97,15,7,15,1,3,2
2012-03,South Yorkshire,AB1,21,0,15,12,136,24,10,19,5,1,4
2012-03,South Yorkshire,AB2,28,1,14,15,120,23,21,16,3,2,4
2012-03,South Yorkshire,AB3,15,1,15,11,114,21,9,22,1,2,3
2012-03,South Yorkshire,BD1,6,0,12,14,72,6,5,4,9,4,1
2012-03,South Yorkshire,KL1,6,1,7,10,102,9,0,10,1,1,1
2012-03,South Yorkshire,KL2,6,0,9,10,88,16,5,11,0,1,2
2012-03,South Yorkshire,BD2,18,0,11,8,92,20,17,16,11,2,6
2012-03,South Yorkshire,BB2,14,0,7,11,140,22,7,22,6,1,2
2012-03,South Yorkshire,BB1,28,1,14,23,193,38,10,23,6,5,7
2012-03,South Yorkshire,KF4,9,0,5,3,44,8,1,2,0,1,1
2012-03,South Yorkshire,KF2,6,1,7,3,27,0,2,16,0,0,0
2012-03,South Yorkshire,KF3,13,0,14,2,50,4,1,6,1,0,0
2012-03,South Yorkshire,KF1,25,1,17,4,49,4,3,19,2,1,1
2012-03,South Yorkshire,KL3,10,0,15,5,100,13,0,8,1,1,1
2012-03,South Yorkshire,BD3,6,1,12,3,64,12,3,12,2,0,2
2012-03,South Yorkshire,KA2,19,1,13,23,197,50,14,25,10,3,3
2012-03,South Yorkshire,KB2,26,6,22,27,209,59,19,43,10,6,8
2012-03,South Yorkshire,KB3,36,2,28,16,199,35,5,16,6,2,3
2012-03,South Yorkshire,KB1,41,1,44,21,248,41,56,52,13,12,8
2012-03,South Yorkshire,KD1,32,15,32,79,598,62,117,203,19,27,18
2012-03,South Yorkshire,KB4,36,0,20,13,159,24,25,20,4,2,2
2012-03,South Yorkshire,KD3,18,4,18,14,154,32,20,25,7,6,4
2012-03,South Yorkshire,AE1,41,1,21,23,110,37,5,50,14,5,5
2012-03,South Yorkshire,KA3,21,0,14,21,161,38,22,20,7,2,2
2012-03,South Yorkshire,AE3,1,0,2,10,50,6,3,2,3,0,3
2012-03,South Yorkshire,AE2,18,1,7,17,117,20,16,15,7,1,3
2012-03,South Yorkshire,BA2,12,0,11,21,137,39,21,11,14,8,8
2012-03,South Yorkshire,BA1,24,3,24,40,194,37,43,48,37,18,9
2012-03,South Yorkshire,CA2,43,4,73,30,244,51,46,41,10,5,6
2012-03,South Yorkshire,CA1,16,1,26,16,220,26,13,29,10,2,4
2012-03,South Yorkshire,CC1,23,3,44,22,289,38,9,45,6,6,11
2012-03,South Yorkshire,CC3,5,0,7,24,104,12,24,22,16,1,1
2012-03,South Yorkshire,CC2,33,0,59,33,285,35,4,38,14,7,4
2012-03,South Yorkshire,AC3,27,1,18,21,157,25,8,22,2,1,5
2012-03,South Yorkshire,AA4,15,2,10,22,57,12,3,11,8,4,4
2012-03,South Yorkshire,AC1,14,0,13,10,91,21,6,14,4,4,7
2012-03,South Yorkshire,AA6,30,0,22,14,125,49,11,21,6,5,2
2012-03,South Yorkshire,AA1,24,1,5,17,105,21,10,17,2,1,4
2012-03,South Yorkshire,AA3,19,3,12,69,236,22,54,56,11,17,6
2012-03,South Yorkshire,AA2,34,1,9,19,119,22,0,18,11,8,0
2012-03,South Yorkshire,KC4,34,2,23,8,138,24,21,12,3,1,4
2012-03,South Yorkshire,KD2,32,3,23,15,135,9,14,41,3,0,2
2012-03,South Yorkshire,BC3,6,1,20,13,77,24,1,28,6,2,10
2012-03,South Yorkshire,BC1,23,0,11,16,148,39,23,30,7,3,5
2012-03,South Yorkshire,BC2,11,0,11,11,91,20,4,20,5,2,1
2012-03,South Yorkshire,AC2,28,1,7,24,150,33,12,25,1,2,6
