Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-03,Sussex Police,EW2NH30,1,0,4,2,17,3,0,2,0,0,0
2012-03,Sussex Police,CW2NH1,9,0,2,3,61,10,11,18,2,3,2
2012-03,Sussex Police,CW2NH2,6,1,5,5,51,6,1,13,7,0,0
2012-03,Sussex Police,ER2NH1,1,0,3,4,10,0,0,5,2,0,0
2012-03,Sussex Police,ER3NH38,3,0,2,1,6,2,0,2,0,0,1
2012-03,Sussex Police,ER3NH39,4,1,0,6,23,16,2,2,2,3,0
2012-03,Sussex Police,WH2NH11,7,0,8,4,38,13,2,5,0,1,4
2012-03,Sussex Police,WH2NH10,10,0,3,7,10,9,4,6,0,0,2
2012-03,Sussex Police,WW2NH6,3,0,3,7,40,9,1,10,1,3,3
2012-03,Sussex Police,ER3NH31,2,0,1,0,7,0,0,5,1,0,2
2012-03,Sussex Police,WH1NH2,5,0,3,5,53,5,0,4,1,1,2
2012-03,Sussex Police,ES2NH30,1,0,1,0,1,1,0,1,1,0,0
2012-03,Sussex Police,WW2NH12,3,0,1,3,19,2,3,3,0,1,1
2012-03,Sussex Police,WW2NH13,4,0,2,6,11,4,2,3,0,2,1
2012-03,Sussex Police,WW2NH10,2,0,2,5,21,8,5,9,0,0,0
2012-03,Sussex Police,WH1NH3,4,2,5,17,36,13,20,15,0,0,3
2012-03,Sussex Police,EW2NH22,3,0,1,2,20,12,1,4,0,0,1
2012-03,Sussex Police,ES1NH22,2,0,1,0,8,2,0,2,0,0,0
2012-03,Sussex Police,EW2NH24,2,0,1,5,7,0,0,0,0,0,0
2012-03,Sussex Police,WH1NH1,0,0,1,8,19,4,0,3,2,4,0
2012-03,Sussex Police,CC2NH4,0,1,1,0,6,2,0,1,0,0,0
2012-03,Sussex Police,CE2NH3,4,1,5,4,22,7,0,6,1,1,1
2012-03,Sussex Police,CC2NH6,3,0,8,0,39,11,1,7,1,0,0
2012-03,Sussex Police,CE2NH1,3,1,14,18,72,16,0,12,7,3,2
2012-03,Sussex Police,CE2NH6,2,0,3,2,13,5,0,3,0,0,0
2012-03,Sussex Police,ER2NH2,2,0,1,0,2,2,0,1,0,0,0
2012-03,Sussex Police,CE2NH4,0,0,2,0,1,0,0,1,0,0,0
2012-03,Sussex Police,CC2NH3,1,0,3,6,27,4,0,4,3,1,1
2012-03,Sussex Police,WW2NH7,5,1,2,4,42,9,2,8,1,1,0
2012-03,Sussex Police,EH3NH13,0,0,0,1,10,2,1,3,0,0,5
2012-03,Sussex Police,EE1NH9,10,0,7,9,23,9,2,4,3,1,1
2012-03,Sussex Police,EH3NH15,2,0,3,5,11,4,0,2,0,0,0
2012-03,Sussex Police,WH1NH7,11,0,5,14,30,6,1,11,2,1,6
2012-03,Sussex Police,WH1NH4,4,4,4,6,56,15,0,11,2,1,3
2012-03,Sussex Police,EH3NH8,8,1,1,5,41,2,8,6,1,0,5
2012-03,Sussex Police,EH3NH9,2,0,2,1,12,0,0,2,0,0,1
2012-03,Sussex Police,EW2NH36,4,2,5,2,11,3,1,6,0,1,2
2012-03,Sussex Police,EW2NH37,0,0,0,1,4,0,0,2,0,0,0
2012-03,Sussex Police,EW2NH35,1,0,3,0,13,0,0,2,1,4,1
2012-03,Sussex Police,EE3NH22,4,0,0,1,0,0,0,0,0,0,0
2012-03,Sussex Police,EW2NH33,2,0,1,6,35,3,2,6,1,2,2
2012-03,Sussex Police,EE3NH20,0,0,0,2,3,0,0,1,0,0,0
2012-03,Sussex Police,EE3NH21,0,0,3,2,9,1,4,3,3,0,3
2012-03,Sussex Police,EW2NH39,1,0,1,0,3,0,0,2,0,0,0
2012-03,Sussex Police,WR2NH4,4,0,13,8,52,5,2,7,4,3,5
2012-03,Sussex Police,WR4NH12,8,2,4,19,31,11,2,5,2,2,4
2012-03,Sussex Police,CE3NH21,6,0,11,5,55,5,1,17,1,2,0
2012-03,Sussex Police,ES1NH7,3,0,3,2,35,10,5,8,7,1,2
2012-03,Sussex Police,ES1NH6,2,0,2,3,8,2,1,1,0,0,1
2012-03,Sussex Police,ES1NH5,0,0,2,2,4,2,0,3,0,1,1
2012-03,Sussex Police,ES1NH4,4,0,3,0,11,0,1,1,0,0,1
2012-03,Sussex Police,ES1NH3,3,0,1,2,7,1,0,2,0,0,0
2012-03,Sussex Police,ES1NH2,1,1,0,4,14,8,0,1,1,1,1
2012-03,Sussex Police,ES1NH1,0,0,0,1,14,6,4,6,0,1,3
2012-03,Sussex Police,ES2NH40,0,0,3,1,15,2,0,4,0,1,0
2012-03,Sussex Police,ES1NH9,1,0,4,2,4,5,0,1,1,0,1
2012-03,Sussex Police,ES1NH8,0,0,0,0,0,0,0,0,0,0,0
2012-03,Sussex Police,ER1NH2,1,0,1,1,5,2,0,2,1,0,0
2012-03,Sussex Police,ER1NH3,2,0,2,1,12,3,0,3,0,0,0
2012-03,Sussex Police,ER1NH1,4,0,2,14,43,11,3,7,1,1,2
2012-03,Sussex Police,ER1NH6,2,0,1,0,9,1,0,3,1,0,1
2012-03,Sussex Police,ER1NH7,2,0,0,4,12,2,0,5,0,0,0
2012-03,Sussex Police,ER1NH4,0,0,1,0,9,0,0,3,0,0,0
2012-03,Sussex Police,ER1NH5,0,0,0,1,11,3,0,3,1,0,1
2012-03,Sussex Police,WR4NH11,0,0,3,4,11,1,2,4,3,0,0
2012-03,Sussex Police,ER1NH8,1,0,2,2,20,4,3,8,1,0,1
2012-03,Sussex Police,ER1NH9,6,0,1,4,33,6,0,3,1,1,1
2012-03,Sussex Police,WC1NH1,3,0,1,12,36,8,21,22,5,3,1
2012-03,Sussex Police,WR1NH2,7,3,7,10,50,2,6,11,6,6,2
2012-03,Sussex Police,EW2NH43,4,0,2,6,33,5,0,2,0,3,1
2012-03,Sussex Police,WM3NH1,0,0,1,3,11,2,0,2,0,1,1
2012-03,Sussex Police,WC1NH2,1,0,0,5,14,1,0,4,2,0,2
2012-03,Sussex Police,WH2NH9,11,0,4,5,33,8,1,7,0,1,2
2012-03,Sussex Police,EW2NH45,1,0,1,4,22,1,4,5,0,1,1
2012-03,Sussex Police,EW2NH44,3,0,0,3,9,3,0,2,0,0,0
2012-03,Sussex Police,WC1NH5,1,0,0,3,49,8,0,8,0,1,1
2012-03,Sussex Police,EH4NH7,3,0,1,7,22,4,2,5,1,0,3
2012-03,Sussex Police,WM3NH3,1,0,2,2,16,0,0,0,0,0,0
2012-03,Sussex Police,EH4NH5,5,0,2,7,36,14,3,14,3,1,1
2012-03,Sussex Police,EH4NH4,8,2,10,11,75,19,2,17,7,1,2
2012-03,Sussex Police,ER2NH17,2,0,2,3,18,4,6,5,0,0,5
2012-03,Sussex Police,WA3NH40,1,0,1,2,5,2,1,0,0,0,0
2012-03,Sussex Police,ER2NH14,1,0,0,0,7,4,0,4,0,0,0
2012-03,Sussex Police,CC2NH23,2,0,1,4,8,1,0,4,0,1,0
2012-03,Sussex Police,CC2NH22,2,0,1,3,20,2,0,3,1,0,1
2012-03,Sussex Police,ER2NH11,2,0,2,2,5,2,0,3,0,0,1
2012-03,Sussex Police,WR4NH10,4,3,14,10,53,14,1,11,4,1,3
2012-03,Sussex Police,WA1NH3,1,0,0,0,6,0,0,1,2,0,0
2012-03,Sussex Police,CE3NH13,8,0,2,8,25,10,0,4,2,2,1
2012-03,Sussex Police,CE3NH12,4,0,14,14,63,22,1,9,1,2,10
2012-03,Sussex Police,WM3NH4,5,0,7,7,21,8,0,2,5,4,6
2012-03,Sussex Police,CC1NH5,8,0,3,9,47,10,8,13,2,1,0
2012-03,Sussex Police,CC1NH4,3,1,1,4,26,3,6,8,4,4,1
2012-03,Sussex Police,CC1NH7,2,2,2,12,63,10,15,11,8,4,3
2012-03,Sussex Police,CC1NH6,1,0,4,3,25,8,1,10,0,1,0
2012-03,Sussex Police,CC1NH1,9,5,19,62,137,10,63,216,19,16,7
2012-03,Sussex Police,WW1NH3,5,1,2,4,22,5,6,9,0,2,2
2012-03,Sussex Police,CC1NH3,0,0,1,18,23,1,1,80,0,1,0
2012-03,Sussex Police,CC1NH2,10,0,8,14,89,10,7,36,0,7,4
2012-03,Sussex Police,EH1NH6,4,0,3,8,25,4,4,4,1,0,2
2012-03,Sussex Police,CC1NH8,0,0,0,1,5,0,0,0,0,0,1
2012-03,Sussex Police,EH1NH2,12,5,5,26,106,11,45,30,9,5,6
2012-03,Sussex Police,EH1NH3,4,3,6,9,15,3,0,6,0,1,1
2012-03,Sussex Police,ES2NH2,2,0,4,5,38,9,0,6,5,3,0
2012-03,Sussex Police,ES2NH3,2,1,2,11,13,6,1,3,2,0,0
2012-03,Sussex Police,EH1NH14,3,0,5,0,3,2,0,4,4,0,1
2012-03,Sussex Police,ES2NH1,0,0,8,2,16,1,4,1,0,0,0
2012-03,Sussex Police,ES2NH6,0,0,2,0,4,1,0,1,0,0,0
2012-03,Sussex Police,ES2NH7,2,0,1,5,20,11,3,8,1,0,0
2012-03,Sussex Police,ES2NH4,0,0,2,4,20,2,0,4,0,1,1
2012-03,Sussex Police,ES2NH5,0,0,0,2,15,2,0,4,0,1,1
2012-03,Sussex Police,WC1NH9,1,0,0,5,10,0,0,3,0,0,0
2012-03,Sussex Police,WC1NH8,0,0,1,1,5,3,0,5,0,0,3
2012-03,Sussex Police,WW1NH5,4,0,2,8,30,5,2,8,1,0,1
2012-03,Sussex Police,EW2NH56,2,0,0,0,6,1,0,1,0,0,1
2012-03,Sussex Police,WW1NH4,5,0,2,2,14,4,0,5,1,1,1
2012-03,Sussex Police,WC1NH3,4,1,4,17,43,23,6,11,6,4,1
2012-03,Sussex Police,EW2NH59,1,0,0,3,4,1,0,2,0,0,0
2012-03,Sussex Police,WW3NH1,6,0,1,5,10,3,1,2,0,2,1
2012-03,Sussex Police,EE1NH20,4,0,1,2,13,0,0,2,3,0,2
2012-03,Sussex Police,EH4NH16,6,0,2,2,8,7,0,4,1,0,0
2012-03,Sussex Police,WM3NH5,1,0,2,7,28,3,10,2,5,0,6
2012-03,Sussex Police,WR5NH14,5,0,5,6,43,6,12,14,10,3,6
2012-03,Sussex Police,WW2NH11,0,0,2,5,20,3,1,1,1,0,1
2012-03,Sussex Police,GA1NH1,1,0,4,12,47,5,7,38,7,8,13
2012-03,Sussex Police,WM1NH3,2,1,0,3,4,3,0,2,0,0,1
2012-03,Sussex Police,WA3NH36,1,0,0,2,5,1,0,2,0,0,0
2012-03,Sussex Police,EW1NH19,1,0,2,2,16,3,2,3,3,1,0
2012-03,Sussex Police,EW1NH18,3,0,1,1,4,0,0,2,0,1,0
2012-03,Sussex Police,WA3NH32,4,0,3,2,14,4,0,5,0,1,2
2012-03,Sussex Police,WA3NH31,3,0,0,4,31,11,0,4,0,3,1
2012-03,Sussex Police,WM1NH4,0,0,0,5,10,0,0,3,2,0,0
2012-03,Sussex Police,EW1NH12,1,0,1,0,6,1,0,1,0,0,0
2012-03,Sussex Police,EW1NH11,8,0,2,0,10,2,0,4,0,0,1
2012-03,Sussex Police,EW1NH10,0,0,3,1,5,0,0,0,2,1,0
2012-03,Sussex Police,EW1NH17,3,0,0,1,6,3,0,5,0,0,0
2012-03,Sussex Police,CW2NH20,8,1,11,17,58,17,1,15,1,2,4
2012-03,Sussex Police,WW2NH8,4,0,3,2,35,6,0,10,2,0,0
2012-03,Sussex Police,WR3NH7,4,0,8,3,39,6,9,5,3,2,0
2012-03,Sussex Police,WA1NH9,6,0,2,5,14,5,1,8,2,1,2
2012-03,Sussex Police,WA1NH8,3,0,6,5,33,8,9,3,2,1,5
2012-03,Sussex Police,WA1NH7,9,0,6,11,52,10,1,12,4,5,2
2012-03,Sussex Police,WA1NH6,4,1,6,6,29,7,4,6,7,1,1
2012-03,Sussex Police,WA1NH5,4,0,6,17,80,10,21,15,6,1,0
2012-03,Sussex Police,WA1NH4,1,0,3,16,30,4,0,7,1,2,0
2012-03,Sussex Police,EW2NH61,1,0,2,0,7,2,0,0,0,0,0
2012-03,Sussex Police,WA1NH2,3,0,3,3,21,1,0,3,2,2,1
2012-03,Sussex Police,WA1NH1,1,0,1,2,6,3,2,3,0,0,1
2012-03,Sussex Police,WW3NH4,6,0,7,2,13,3,1,2,1,1,0
2012-03,Sussex Police,EE1NH11,1,0,1,2,10,2,0,3,0,0,0
2012-03,Sussex Police,CE2NH2,2,0,1,7,30,6,0,0,0,1,0
2012-03,Sussex Police,EE1NH13,6,2,5,21,41,21,0,14,7,2,6
2012-03,Sussex Police,EE1NH12,12,2,4,31,132,19,57,32,24,13,11
2012-03,Sussex Police,CC2NH5,2,0,1,1,10,5,0,3,0,1,0
2012-03,Sussex Police,WC3NH22,8,0,1,1,11,0,0,7,2,0,0
2012-03,Sussex Police,WC3NH23,1,0,0,2,10,6,1,7,0,1,1
2012-03,Sussex Police,WC3NH20,3,0,1,4,19,4,0,10,2,0,0
2012-03,Sussex Police,WC3NH21,4,0,1,0,12,3,0,4,0,0,0
2012-03,Sussex Police,WC3NH24,5,0,0,5,7,4,0,2,0,1,0
2012-03,Sussex Police,EW2NH31,0,0,1,2,4,2,0,2,0,0,1
2012-03,Sussex Police,WC1NH4,4,0,0,4,19,1,5,1,0,0,0
2012-03,Sussex Police,CC2NH7,4,4,3,14,91,11,14,49,6,4,2
2012-03,Sussex Police,WH1NH5,6,0,4,4,24,3,3,4,2,2,3
2012-03,Sussex Police,WA3NH23,8,0,1,4,10,3,1,5,2,3,3
2012-03,Sussex Police,WM2NH6,3,0,8,2,18,3,2,3,2,2,1
2012-03,Sussex Police,ER2NH3,1,0,0,0,6,1,0,2,0,1,0
2012-03,Sussex Police,WM2NH4,3,1,5,3,19,3,0,4,1,1,8
2012-03,Sussex Police,WM2NH5,4,0,2,6,9,4,0,4,1,1,0
2012-03,Sussex Police,WM2NH2,2,0,5,9,32,12,0,5,1,3,0
2012-03,Sussex Police,WM2NH3,5,0,10,5,36,8,0,4,2,2,2
2012-03,Sussex Police,WM2NH1,1,1,0,6,39,12,5,18,1,0,2
2012-03,Sussex Police,EW1NH3,3,0,2,0,12,1,0,1,0,1,0
2012-03,Sussex Police,EW1NH2,1,0,0,0,1,1,0,0,0,0,1
2012-03,Sussex Police,EW1NH1,1,0,1,1,5,2,3,7,2,0,2
2012-03,Sussex Police,WR5NH3,0,0,0,17,51,10,46,26,8,8,5
2012-03,Sussex Police,EW1NH7,10,0,1,2,7,2,2,0,0,0,0
2012-03,Sussex Police,CC2NH2,2,3,4,3,26,8,9,6,2,3,3
2012-03,Sussex Police,EW1NH5,0,0,0,0,2,0,0,3,0,0,0
2012-03,Sussex Police,EW1NH4,1,0,3,4,3,0,0,4,0,2,0
2012-03,Sussex Police,CE2NH5,2,1,4,6,39,7,0,8,1,4,1
2012-03,Sussex Police,WW3NH14,5,3,3,7,17,9,0,2,1,1,0
2012-03,Sussex Police,ER3NH42,0,0,1,1,4,2,0,1,1,0,0
2012-03,Sussex Police,WC1NH7,2,0,1,1,11,1,0,1,0,0,0
2012-03,Sussex Police,WW3NH6,5,0,1,6,18,3,2,2,1,1,0
2012-03,Sussex Police,WA2NH12,0,1,6,27,54,16,8,14,2,5,3
2012-03,Sussex Police,WA2NH13,2,1,2,4,24,7,0,2,1,1,1
2012-03,Sussex Police,WA2NH14,2,2,4,10,37,7,7,9,3,6,2
2012-03,Sussex Police,WA2NH15,8,0,1,7,15,8,0,3,3,0,1
2012-03,Sussex Police,WA2NH16,1,0,0,2,26,5,0,1,0,0,1
2012-03,Sussex Police,WA2NH17,5,0,6,2,15,1,4,7,0,0,0
2012-03,Sussex Police,WA2NH19,2,0,5,5,18,5,0,4,2,3,1
2012-03,Sussex Police,WR3NH8,9,0,8,19,90,11,5,13,6,7,0
2012-03,Sussex Police,WW3NH9,1,0,1,2,9,3,3,0,1,0,0
2012-03,Sussex Police,WW3NH8,0,0,1,3,13,2,7,7,1,4,3
2012-03,Sussex Police,ES1NH10,2,0,1,1,11,8,0,2,1,1,0
2012-03,Sussex Police,WR2NH5,5,0,6,1,15,3,0,4,0,0,0
2012-03,Sussex Police,CC2NH8,3,1,13,11,41,7,5,24,5,3,2
2012-03,Sussex Police,WR2NH6,5,0,4,5,15,4,0,5,4,2,0
2012-03,Sussex Police,WC1NH6,1,0,1,0,8,2,0,1,0,0,0
2012-03,Sussex Police,WH2NH8,8,0,2,8,53,9,1,7,1,2,4
2012-03,Sussex Police,EE2NH16,2,0,0,8,31,6,2,4,0,0,1
2012-03,Sussex Police,EH2NH11,1,1,1,8,31,9,0,2,3,1,2
2012-03,Sussex Police,EH2NH10,7,0,0,6,21,5,0,4,2,4,0
2012-03,Sussex Police,EH2NH12,5,0,1,7,37,11,3,2,0,2,2
2012-03,Sussex Police,WW1NH1,8,5,5,32,139,35,46,46,9,11,4
2012-03,Sussex Police,WA1NH11,0,0,0,2,8,4,1,1,1,0,0
2012-03,Sussex Police,WW1NH2,2,0,5,9,42,8,1,9,2,1,0
2012-03,Sussex Police,EW1NH47,0,0,1,2,7,0,0,2,1,0,2
2012-03,Sussex Police,WW2NH9,2,0,3,5,29,9,3,8,0,0,1
2012-03,Sussex Police,WW3NH12,2,0,0,5,14,4,0,2,0,0,0
