Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-04,Lancashire Constabulary,E37,5,0,1,10,11,2,1,2,0,0,0
2012-04,Lancashire Constabulary,E36,1,0,1,3,22,7,2,8,1,0,1
2012-04,Lancashire Constabulary,E35,1,0,3,8,51,3,4,5,4,2,1
2012-04,Lancashire Constabulary,F23,5,0,4,5,24,1,4,8,2,1,0
2012-04,Lancashire Constabulary,F22,1,0,4,5,23,6,1,1,0,0,0
2012-04,Lancashire Constabulary,F21,9,2,3,2,39,9,20,12,1,1,0
2012-04,Lancashire Constabulary,E34,0,0,0,1,24,2,0,2,2,1,1
2012-04,Lancashire Constabulary,C39,3,0,3,8,37,7,0,5,0,4,1
2012-04,Lancashire Constabulary,C38,0,0,0,14,32,5,0,5,1,2,0
2012-04,Lancashire Constabulary,F25,3,0,4,7,28,7,1,9,0,1,2
2012-04,Lancashire Constabulary,F24,8,0,2,3,30,4,0,7,1,1,0
2012-04,Lancashire Constabulary,C35,0,0,1,0,0,0,0,2,0,0,0
2012-04,Lancashire Constabulary,C34,0,0,5,3,22,6,2,5,0,0,0
2012-04,Lancashire Constabulary,C37,13,0,6,4,19,2,0,7,0,0,0
2012-04,Lancashire Constabulary,C36,3,0,0,2,10,1,1,4,4,0,0
2012-04,Lancashire Constabulary,C31,2,0,0,3,14,1,0,2,0,0,0
2012-04,Lancashire Constabulary,C30,4,0,0,7,48,2,11,6,0,1,1
2012-04,Lancashire Constabulary,C33,1,0,2,1,4,0,0,1,0,0,0
2012-04,Lancashire Constabulary,C32,1,0,1,0,5,3,1,0,1,0,1
2012-04,Lancashire Constabulary,E31,5,0,6,7,26,7,1,6,2,2,0
2012-04,Lancashire Constabulary,E30,4,1,6,9,55,14,4,5,0,1,1
2012-04,Lancashire Constabulary,F1,9,0,2,16,62,8,2,11,6,3,3
2012-04,Lancashire Constabulary,F20,6,1,7,6,28,9,4,3,1,3,0
2012-04,Lancashire Constabulary,C22,9,0,5,4,21,4,4,3,1,2,2
2012-04,Lancashire Constabulary,C23,5,0,22,8,44,14,2,5,0,3,0
2012-04,Lancashire Constabulary,C20,1,1,2,7,39,7,0,1,2,1,0
2012-04,Lancashire Constabulary,C21,5,0,7,7,24,1,0,2,1,0,1
2012-04,Lancashire Constabulary,C26,3,0,2,5,14,1,1,2,2,0,1
2012-04,Lancashire Constabulary,C27,0,0,1,7,27,5,0,5,2,1,0
2012-04,Lancashire Constabulary,C24,6,1,6,2,23,5,2,12,1,0,5
2012-04,Lancashire Constabulary,C25,15,0,13,11,75,17,8,21,3,5,4
2012-04,Lancashire Constabulary,C28,0,0,0,0,0,1,0,0,0,0,0
2012-04,Lancashire Constabulary,C29,1,0,0,6,8,1,1,2,1,1,0
2012-04,Lancashire Constabulary,F2,5,0,18,6,21,3,1,5,0,0,2
2012-04,Lancashire Constabulary,F30,1,0,1,1,26,3,4,2,2,1,1
2012-04,Lancashire Constabulary,F31,6,0,3,11,56,5,0,9,2,4,2
2012-04,Lancashire Constabulary,F32,0,1,0,2,38,4,5,5,2,1,6
2012-04,Lancashire Constabulary,F3,0,0,2,1,11,0,0,0,0,0,0
2012-04,Lancashire Constabulary,F34,2,1,2,0,29,9,6,5,2,2,0
2012-04,Lancashire Constabulary,F35,8,0,8,6,56,11,1,8,0,1,3
2012-04,Lancashire Constabulary,F36,5,0,3,3,17,6,1,5,0,0,0
2012-04,Lancashire Constabulary,F37,19,0,6,17,47,20,6,12,2,5,1
2012-04,Lancashire Constabulary,F38,0,0,3,6,36,3,1,4,0,0,0
2012-04,Lancashire Constabulary,F39,8,0,2,7,50,4,19,13,0,1,2
2012-04,Lancashire Constabulary,F5,6,0,3,3,20,3,0,1,0,1,0
2012-04,Lancashire Constabulary,F6,20,0,4,10,36,14,6,6,1,2,2
2012-04,Lancashire Constabulary,B29,12,0,7,14,53,12,8,14,5,1,1
2012-04,Lancashire Constabulary,B28,0,0,0,1,0,0,0,0,0,0,0
2012-04,Lancashire Constabulary,B27,1,0,3,1,4,0,0,1,0,0,0
2012-04,Lancashire Constabulary,B26,0,0,1,1,6,2,0,1,0,0,0
2012-04,Lancashire Constabulary,B25,1,0,0,0,11,4,0,1,0,0,0
2012-04,Lancashire Constabulary,B24,2,0,0,1,3,0,0,2,0,0,1
2012-04,Lancashire Constabulary,B23,0,0,0,1,0,0,1,0,0,0,0
2012-04,Lancashire Constabulary,B22,0,0,0,3,8,3,1,3,0,1,1
2012-04,Lancashire Constabulary,B21,3,0,1,2,20,3,1,6,0,1,1
2012-04,Lancashire Constabulary,B20,2,0,9,1,39,9,2,17,0,0,0
2012-04,Lancashire Constabulary,B4,6,0,6,3,28,9,0,6,0,1,3
2012-04,Lancashire Constabulary,B5,2,0,2,1,17,10,1,4,0,1,2
2012-04,Lancashire Constabulary,B6,0,0,6,0,17,4,2,1,0,0,0
2012-04,Lancashire Constabulary,B7,4,0,5,1,8,7,0,1,0,0,1
2012-04,Lancashire Constabulary,B1,5,0,6,8,31,7,1,9,2,1,0
2012-04,Lancashire Constabulary,B2,6,0,5,4,29,6,2,1,1,1,0
2012-04,Lancashire Constabulary,B3,5,0,3,0,32,10,0,5,1,0,1
2012-04,Lancashire Constabulary,F27,5,0,10,8,50,0,3,0,2,1,0
2012-04,Lancashire Constabulary,B8,4,1,6,9,44,19,8,10,4,1,0
2012-04,Lancashire Constabulary,B9,8,0,2,26,91,18,14,8,6,3,2
2012-04,Lancashire Constabulary,F26,2,0,7,1,7,0,1,0,2,0,0
2012-04,Lancashire Constabulary,E42,2,0,1,2,9,1,0,5,0,0,0
2012-04,Lancashire Constabulary,E43,1,0,2,0,10,2,0,2,0,0,0
2012-04,Lancashire Constabulary,F4,4,1,2,11,35,2,7,6,2,1,0
2012-04,Lancashire Constabulary,E40,5,0,4,5,12,1,0,3,0,0,3
2012-04,Lancashire Constabulary,F41,1,2,1,2,19,2,0,6,2,0,0
2012-04,Lancashire Constabulary,E41,1,0,1,0,1,1,0,2,0,0,0
2012-04,Lancashire Constabulary,F29,4,0,4,2,29,9,0,8,1,0,2
2012-04,Lancashire Constabulary,F28,3,0,1,4,17,8,0,1,2,0,0
2012-04,Lancashire Constabulary,B38,6,0,15,7,51,9,0,5,5,1,1
2012-04,Lancashire Constabulary,B39,15,0,12,19,61,11,5,16,2,3,3
2012-04,Lancashire Constabulary,B34,0,0,2,2,24,2,0,0,0,1,1
2012-04,Lancashire Constabulary,B35,0,0,0,2,17,2,2,0,0,0,0
2012-04,Lancashire Constabulary,B36,4,0,8,5,16,9,1,5,1,0,1
2012-04,Lancashire Constabulary,B37,1,0,0,14,26,5,0,0,1,0,2
2012-04,Lancashire Constabulary,B30,0,0,2,7,21,5,2,7,1,1,1
2012-04,Lancashire Constabulary,B31,3,0,0,5,21,4,6,5,0,0,3
2012-04,Lancashire Constabulary,B32,2,0,3,3,21,1,5,2,1,0,1
2012-04,Lancashire Constabulary,B33,2,0,1,1,19,2,0,5,0,0,0
