Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-04,Lincolnshire Police,NC37,5,0,9,7,64,14,15,6,3,0,1
2012-04,Lincolnshire Police,NC30,5,0,12,11,41,22,11,17,3,7,2
2012-04,Lincolnshire Police,NC31,8,0,7,18,56,28,8,11,6,7,1
2012-04,Lincolnshire Police,NC55,4,0,5,16,79,14,7,17,3,4,3
2012-04,Lincolnshire Police,NC32,2,1,3,15,56,22,33,20,6,2,4
2012-04,Lincolnshire Police,NC58,5,0,2,5,30,11,1,9,2,1,5
2012-04,Lincolnshire Police,NC56,3,0,4,4,19,4,1,10,1,1,2
2012-04,Lincolnshire Police,NC57,3,0,2,4,23,12,0,7,2,0,1
2012-04,Lincolnshire Police,NC54,4,0,5,9,27,7,0,11,0,1,3
2012-04,Lincolnshire Police,NC33,5,0,9,3,27,4,1,9,4,0,0
2012-04,Lincolnshire Police,NC52,3,0,0,2,27,9,1,6,0,1,1
2012-04,Lincolnshire Police,NC53,4,0,1,14,62,13,5,14,7,5,0
2012-04,Lincolnshire Police,NC50,6,2,8,38,149,28,24,37,7,12,12
2012-04,Lincolnshire Police,NC51,6,1,5,20,42,13,5,11,5,4,1
2012-04,Lincolnshire Police,NC18,1,0,1,1,9,3,0,0,0,0,0
2012-04,Lincolnshire Police,NC19,7,0,1,5,43,6,2,7,2,0,1
2012-04,Lincolnshire Police,NC38,2,0,4,3,29,2,0,6,2,0,1
2012-04,Lincolnshire Police,NC39,11,0,1,4,20,7,0,3,1,1,2
2012-04,Lincolnshire Police,NC12,38,2,11,23,89,28,24,35,3,5,2
2012-04,Lincolnshire Police,NC13,6,0,3,9,62,13,14,11,2,1,6
2012-04,Lincolnshire Police,NC10,8,1,3,11,57,14,14,8,4,4,1
2012-04,Lincolnshire Police,NC11,2,0,1,14,30,6,5,4,0,2,0
2012-04,Lincolnshire Police,NC16,10,0,2,5,33,11,16,4,1,2,1
2012-04,Lincolnshire Police,NC17,7,0,2,12,36,9,0,4,2,2,2
2012-04,Lincolnshire Police,NC14,11,0,1,30,96,20,67,52,11,21,16
2012-04,Lincolnshire Police,NC15,13,0,8,12,58,21,9,10,1,2,2
2012-04,Lincolnshire Police,NC47,17,0,7,3,32,6,4,9,5,1,2
2012-04,Lincolnshire Police,NC45,3,1,11,7,43,6,2,6,0,0,0
2012-04,Lincolnshire Police,NC05,7,0,3,2,20,1,0,11,1,1,2
2012-04,Lincolnshire Police,NC04,11,1,5,9,37,8,5,14,2,1,3
2012-04,Lincolnshire Police,NC07,4,0,2,1,19,2,0,1,1,0,1
2012-04,Lincolnshire Police,NC06,12,0,2,8,26,6,0,9,0,0,0
2012-04,Lincolnshire Police,NC01,1,0,0,1,23,4,1,5,0,0,0
2012-04,Lincolnshire Police,NC03,12,0,2,7,42,16,9,11,2,8,2
2012-04,Lincolnshire Police,NC02,6,0,4,9,21,8,0,3,2,1,3
2012-04,Lincolnshire Police,NC41,1,0,2,1,27,2,2,6,0,0,0
2012-04,Lincolnshire Police,NC40,19,0,7,7,21,4,1,10,1,2,1
2012-04,Lincolnshire Police,NC43,18,0,5,15,56,18,7,18,4,1,5
2012-04,Lincolnshire Police,NC42,14,0,12,15,85,18,8,19,8,3,2
2012-04,Lincolnshire Police,NC09,12,0,1,2,12,5,0,5,1,0,1
2012-04,Lincolnshire Police,NC08,6,0,7,2,34,8,4,5,2,0,2
2012-04,Lincolnshire Police,NC44,3,0,0,19,50,10,23,27,0,16,6
2012-04,Lincolnshire Police,NC46,3,0,0,1,5,1,0,1,1,0,0
2012-04,Lincolnshire Police,NC49,1,0,4,6,18,3,1,6,3,0,1
2012-04,Lincolnshire Police,NC29,4,0,5,6,36,3,0,7,1,0,2
2012-04,Lincolnshire Police,NC28,14,0,12,11,42,12,4,14,0,5,6
2012-04,Lincolnshire Police,NC27,7,2,0,14,67,10,19,9,3,6,4
2012-04,Lincolnshire Police,NC26,24,0,1,13,56,13,1,16,10,7,2
2012-04,Lincolnshire Police,NC25,3,0,1,0,21,2,0,0,0,0,1
2012-04,Lincolnshire Police,NC24,10,0,14,5,26,3,1,8,1,0,1
2012-04,Lincolnshire Police,NC23,5,0,1,5,16,2,1,4,0,0,0
2012-04,Lincolnshire Police,NC22,14,0,8,7,67,23,6,4,2,1,3
2012-04,Lincolnshire Police,NC21,9,0,3,10,27,4,1,8,3,2,2
2012-04,Lincolnshire Police,NC20,3,0,3,3,17,1,1,3,2,1,1
2012-04,Lincolnshire Police,NC34,4,0,2,6,35,8,2,8,0,0,2
2012-04,Lincolnshire Police,NC48,8,2,10,13,46,8,2,16,1,5,4
2012-04,Lincolnshire Police,NC35,3,0,9,1,31,1,1,7,0,1,1
2012-04,Lincolnshire Police,NC36,5,0,6,2,19,3,0,8,0,0,1
