Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-04,West Mercia Police,G20,5,0,2,2,4,3,0,4,0,0,0
2012-04,West Mercia Police,F23,5,0,0,3,30,4,2,9,3,3,4
2012-04,West Mercia Police,F22,9,0,14,8,40,8,9,4,1,1,2
2012-04,West Mercia Police,F21,3,0,2,2,21,1,1,1,0,0,1
2012-04,West Mercia Police,F20,0,0,1,1,5,3,1,1,1,0,0
2012-04,West Mercia Police,F27,2,0,0,1,8,0,0,3,0,0,0
2012-04,West Mercia Police,F26,1,0,3,1,4,5,2,5,1,1,1
2012-04,West Mercia Police,F25,3,0,1,1,14,4,0,2,0,0,1
2012-04,West Mercia Police,F24,1,0,2,1,13,2,5,7,0,0,2
2012-04,West Mercia Police,F29,3,0,0,1,17,0,1,11,2,2,1
2012-04,West Mercia Police,F28,3,0,2,4,42,7,5,2,3,3,2
2012-04,West Mercia Police,C31,5,0,6,2,10,3,1,7,2,0,1
2012-04,West Mercia Police,C30,12,0,5,3,14,4,1,6,1,0,1
2012-04,West Mercia Police,C32,5,0,6,2,9,2,0,8,1,0,0
2012-04,West Mercia Police,C22,10,0,5,9,33,7,3,4,2,2,2
2012-04,West Mercia Police,C23,2,0,6,3,22,7,5,3,0,0,1
2012-04,West Mercia Police,C20,14,0,9,6,19,2,5,5,4,2,3
2012-04,West Mercia Police,C21,9,0,4,2,12,5,0,6,2,0,1
2012-04,West Mercia Police,C26,4,0,4,2,10,1,1,6,1,0,1
2012-04,West Mercia Police,C27,4,0,18,6,27,4,3,10,1,2,3
2012-04,West Mercia Police,C24,2,0,5,25,86,5,11,13,2,1,3
2012-04,West Mercia Police,C25,16,0,3,4,36,10,1,9,0,0,9
2012-04,West Mercia Police,C28,6,0,3,2,13,13,0,2,0,0,0
2012-04,West Mercia Police,C29,2,0,1,3,9,4,0,4,1,0,2
2012-04,West Mercia Police,F30,5,0,2,0,13,1,0,3,1,0,0
2012-04,West Mercia Police,F31,2,0,4,2,0,1,0,2,0,0,0
2012-04,West Mercia Police,F32,1,0,0,1,9,1,0,1,0,0,2
2012-04,West Mercia Police,F33,3,0,1,0,2,1,1,2,1,0,0
2012-04,West Mercia Police,F34,2,0,0,4,8,0,4,2,0,3,0
2012-04,West Mercia Police,F35,4,0,5,15,52,11,3,6,2,1,4
2012-04,West Mercia Police,F36,10,1,2,6,59,11,2,6,1,0,2
2012-04,West Mercia Police,F37,1,0,1,8,24,9,1,2,0,0,0
2012-04,West Mercia Police,F38,0,0,0,2,14,4,1,5,1,0,0
2012-04,West Mercia Police,F39,7,2,2,4,16,2,0,3,0,0,2
2012-04,West Mercia Police,F41,4,0,1,6,12,3,0,2,0,1,0
2012-04,West Mercia Police,F05,5,0,1,7,48,6,0,5,2,0,0
2012-04,West Mercia Police,F04,4,0,2,8,22,5,8,10,1,2,2
2012-04,West Mercia Police,F07,3,0,1,1,11,3,1,0,3,0,1
2012-04,West Mercia Police,F06,0,1,4,7,33,5,0,5,0,1,0
2012-04,West Mercia Police,F01,4,2,3,10,51,6,5,11,6,3,2
2012-04,West Mercia Police,F03,1,0,1,5,46,5,0,3,4,1,1
2012-04,West Mercia Police,F02,1,0,1,4,26,7,2,2,1,1,1
2012-04,West Mercia Police,F09,6,0,2,6,27,5,1,6,0,1,1
2012-04,West Mercia Police,F08,2,0,2,3,26,6,9,4,1,1,1
2012-04,West Mercia Police,F40,4,0,1,1,18,2,0,5,0,1,1
2012-04,West Mercia Police,D07,1,1,2,6,16,5,5,3,1,1,1
2012-04,West Mercia Police,D06,1,0,1,9,31,18,10,6,4,1,0
2012-04,West Mercia Police,D05,3,0,3,15,42,4,2,11,2,0,1
2012-04,West Mercia Police,D04,1,0,2,11,43,6,2,8,1,2,5
2012-04,West Mercia Police,D03,3,0,1,11,38,14,1,4,2,2,0
2012-04,West Mercia Police,D02,11,1,3,21,57,10,1,8,1,1,2
2012-04,West Mercia Police,D01,2,1,1,25,53,10,38,21,6,10,3
2012-04,West Mercia Police,D09,2,0,0,6,26,2,2,7,0,1,5
2012-04,West Mercia Police,D08,1,0,9,10,16,9,0,2,0,1,1
2012-04,West Mercia Police,F18,1,0,1,2,2,1,0,0,0,0,0
2012-04,West Mercia Police,F19,4,0,4,9,34,10,1,0,1,1,0
2012-04,West Mercia Police,F12,13,0,2,2,4,6,0,8,0,0,1
2012-04,West Mercia Police,F13,12,0,4,5,17,0,0,3,0,0,1
2012-04,West Mercia Police,F10,7,0,1,1,14,2,0,4,0,2,2
2012-04,West Mercia Police,F11,0,0,4,3,21,4,9,4,1,0,2
2012-04,West Mercia Police,F16,1,0,1,2,22,1,0,2,2,0,0
2012-04,West Mercia Police,F17,1,0,0,4,36,4,1,5,2,0,3
2012-04,West Mercia Police,F14,10,0,1,3,12,1,0,3,0,0,0
2012-04,West Mercia Police,F15,1,0,1,10,45,18,16,10,3,3,2
2012-04,West Mercia Police,D14,6,1,10,5,21,8,0,6,3,1,1
2012-04,West Mercia Police,D15,4,0,16,3,34,7,4,10,1,3,0
2012-04,West Mercia Police,D16,2,0,3,12,29,1,0,5,0,1,1
2012-04,West Mercia Police,D17,5,0,4,13,40,10,11,5,1,5,3
