Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-05,Avon and Somerset Constabulary,JN310,1,0,1,0,1,0,0,1,1,0,0
2012-05,Avon and Somerset Constabulary,FW004,0,0,0,3,4,1,0,0,1,0,0
2012-05,Avon and Somerset Constabulary,JC205,1,0,0,7,12,3,2,3,0,0,0
2012-05,Avon and Somerset Constabulary,JW110,5,0,3,1,4,1,1,0,0,0,1
2012-05,Avon and Somerset Constabulary,JW112,0,0,0,0,6,0,0,0,0,0,0
2012-05,Avon and Somerset Constabulary,JW109,3,0,10,3,4,1,0,2,0,0,0
2012-05,Avon and Somerset Constabulary,JW108,4,0,2,6,25,2,3,8,2,0,3
2012-05,Avon and Somerset Constabulary,JW107,6,0,3,7,31,2,3,2,0,0,2
2012-05,Avon and Somerset Constabulary,JW106,6,0,1,3,16,10,2,1,2,0,2
2012-05,Avon and Somerset Constabulary,JW105,2,1,3,19,56,8,6,15,7,0,4
2012-05,Avon and Somerset Constabulary,JW104,13,1,12,38,72,27,7,19,5,0,6
2012-05,Avon and Somerset Constabulary,JW103,3,1,4,20,65,6,11,21,8,0,3
2012-05,Avon and Somerset Constabulary,JW102,5,0,10,6,27,4,0,11,0,0,1
2012-05,Avon and Somerset Constabulary,JW101,6,0,3,60,101,26,28,33,10,0,1
2012-05,Avon and Somerset Constabulary,EK117,2,1,3,11,18,2,4,3,0,0,1
2012-05,Avon and Somerset Constabulary,JC209,1,0,0,0,0,0,0,2,0,0,0
2012-05,Avon and Somerset Constabulary,JW113,0,0,0,4,5,0,0,1,0,0,0
2012-05,Avon and Somerset Constabulary,EB114,1,0,0,5,14,1,1,1,1,0,4
2012-05,Avon and Somerset Constabulary,EB115,6,1,3,7,22,6,0,5,1,0,4
2012-05,Avon and Somerset Constabulary,EB116,4,0,2,12,15,16,3,2,2,0,0
2012-05,Avon and Somerset Constabulary,JC203,0,0,0,4,10,2,1,2,0,0,0
