Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-05,Cleveland Police,Clairville,18,0,6,5,27,4,2,3,1,3,7
2012-05,Cleveland Police,Ingleby Barwick West,5,0,4,2,26,1,1,4,0,0,1
2012-05,Cleveland Police,Ladgate,3,0,2,2,15,3,4,1,0,0,3
2012-05,Cleveland Police,Parkfield and Oxbridge,4,1,4,9,79,11,2,12,8,4,5
2012-05,Cleveland Police,Manor House,6,0,2,14,79,16,4,4,4,2,1
2012-05,Cleveland Police,Roseworth,2,0,1,5,37,4,8,2,1,0,2
2012-05,Cleveland Police,Brotton,3,0,2,3,35,6,1,2,0,3,0
2012-05,Cleveland Police,Ormesby,0,3,3,0,25,4,1,2,0,1,1
2012-05,Cleveland Police,Coatham,7,0,1,20,95,9,19,11,7,6,2
2012-05,Cleveland Police,Fairfield,1,0,0,0,30,5,0,1,0,0,2
2012-05,Cleveland Police,Fens and Rossmere,1,0,2,2,26,2,2,2,0,0,0
2012-05,Cleveland Police,Marton West,1,0,1,2,19,1,1,2,1,0,0
2012-05,Cleveland Police,Grangetown,13,0,0,4,33,20,3,11,3,1,3
2012-05,Cleveland Police,Normanby,2,1,4,3,25,7,1,5,5,2,2
2012-05,Cleveland Police,Foggy Furze,5,0,4,7,31,10,1,16,2,2,1
2012-05,Cleveland Police,Guisborough,5,0,2,11,72,20,11,10,1,1,1
2012-05,Cleveland Police,Billingham Central,0,0,2,13,48,7,5,4,0,0,1
2012-05,Cleveland Police,Brookfield,2,0,2,1,16,1,0,0,1,0,0
2012-05,Cleveland Police,Skelton,4,0,1,9,51,5,1,2,1,3,2
2012-05,Cleveland Police,Bishopsgarth and Elm Tree,2,0,3,5,38,6,1,4,0,0,0
2012-05,Cleveland Police,Northern Parishes,4,0,0,1,9,1,0,0,1,0,2
2012-05,Cleveland Police,Beckfield,8,0,0,3,23,11,1,4,1,0,1
2012-05,Cleveland Police,Hemlington,5,1,2,10,45,15,7,5,1,4,5
2012-05,Cleveland Police,Village,2,0,1,7,45,4,8,5,1,0,1
2012-05,Cleveland Police,Victoria,6,0,7,33,113,22,15,13,9,10,7
2012-05,Cleveland Police,Coulby Newham,3,0,1,3,34,2,13,6,0,0,2
2012-05,Cleveland Police,Newcomen,2,0,2,5,17,5,0,3,1,1,0
2012-05,Cleveland Police,South Bank,6,1,5,9,67,20,20,8,4,2,2
2012-05,Cleveland Police,North Ormesby and Brambles Farm,16,1,8,17,92,15,12,7,7,4,2
2012-05,Cleveland Police,Kader,1,0,2,3,10,5,6,6,0,0,1
2012-05,Cleveland Police,Mandale and Victoria,3,1,14,25,75,19,12,8,5,4,11
2012-05,Cleveland Police,Billingham South,3,0,0,5,38,3,0,9,1,0,3
2012-05,Cleveland Police,Dormanstown,8,0,4,6,41,11,1,16,3,2,1
2012-05,Cleveland Police,Stockton Town Centre,14,1,6,38,140,20,45,29,10,11,8
2012-05,Cleveland Police,West Dyke,4,0,2,1,29,1,2,6,0,0,0
2012-05,Cleveland Police,Newtown,4,0,3,19,54,8,2,15,6,1,1
2012-05,Cleveland Police,Saltburn,5,0,0,7,30,0,5,7,1,0,1
