Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-05,Leicestershire Constabulary,L51,16,1,12,10,31,15,4,15,2,4,5
2012-05,Leicestershire Constabulary,L52,5,2,6,11,31,11,19,12,4,5,9
2012-05,Leicestershire Constabulary,L79,14,0,20,18,32,24,5,19,3,3,3
2012-05,Leicestershire Constabulary,L18,4,0,7,3,10,4,1,10,2,0,0
2012-05,Leicestershire Constabulary,L19,1,0,8,2,5,2,0,10,0,0,1
2012-05,Leicestershire Constabulary,L14,7,1,9,19,22,10,7,10,4,2,4
2012-05,Leicestershire Constabulary,L15,6,0,5,13,27,8,15,7,5,2,5
2012-05,Leicestershire Constabulary,L16,0,0,0,0,2,1,1,4,0,1,1
2012-05,Leicestershire Constabulary,L17,3,0,3,5,22,9,1,8,5,3,1
2012-05,Leicestershire Constabulary,L10,11,0,10,26,46,35,4,18,3,8,3
2012-05,Leicestershire Constabulary,L11,17,0,24,19,22,8,2,16,2,1,5
2012-05,Leicestershire Constabulary,L12,10,1,4,23,25,16,6,15,6,2,9
2012-05,Leicestershire Constabulary,L13,22,2,16,16,72,24,2,20,3,9,8
2012-05,Leicestershire Constabulary,C19,21,3,4,9,27,6,3,5,2,4,3
2012-05,Leicestershire Constabulary,C18,9,1,3,8,34,20,1,11,5,0,6
2012-05,Leicestershire Constabulary,C13,7,1,4,10,51,7,1,1,8,4,6
2012-05,Leicestershire Constabulary,C12,4,1,2,20,39,21,9,20,6,7,6
2012-05,Leicestershire Constabulary,C11,9,3,6,22,46,8,3,20,1,4,2
2012-05,Leicestershire Constabulary,C10,4,3,14,16,30,14,2,11,0,0,2
2012-05,Leicestershire Constabulary,C17,14,0,4,7,27,14,5,10,1,2,1
2012-05,Leicestershire Constabulary,C16,11,3,9,31,60,18,8,23,8,4,9
2012-05,Leicestershire Constabulary,C15,10,1,9,19,56,16,5,16,14,4,7
2012-05,Leicestershire Constabulary,C14,3,0,1,9,31,8,0,10,2,5,4
2012-05,Leicestershire Constabulary,L66,17,0,8,12,56,21,2,15,13,6,2
2012-05,Leicestershire Constabulary,L21,5,0,1,4,6,0,1,2,1,0,0
2012-05,Leicestershire Constabulary,L20,1,0,0,2,2,0,1,1,0,1,0
2012-05,Leicestershire Constabulary,L23,3,0,1,13,15,18,1,8,3,3,0
2012-05,Leicestershire Constabulary,L22,2,0,1,15,20,6,18,13,1,8,2
2012-05,Leicestershire Constabulary,L25,8,0,4,4,10,3,0,10,1,0,1
2012-05,Leicestershire Constabulary,L24,5,1,3,8,7,15,0,7,1,3,0
2012-05,Leicestershire Constabulary,L59,5,0,5,4,25,1,4,8,1,1,2
2012-05,Leicestershire Constabulary,L70,6,4,4,11,35,11,8,17,2,3,3
2012-05,Leicestershire Constabulary,C22,17,0,6,12,37,9,5,8,5,2,4
2012-05,Leicestershire Constabulary,L64,3,0,2,5,13,6,0,8,2,3,1
2012-05,Leicestershire Constabulary,C20,17,0,5,36,67,19,2,24,17,7,5
2012-05,Leicestershire Constabulary,C21,2,1,1,23,59,11,5,17,2,2,4
2012-05,Leicestershire Constabulary,L09,3,2,7,14,38,11,2,9,6,2,1
2012-05,Leicestershire Constabulary,L08,4,0,11,10,20,3,2,9,0,7,4
2012-05,Leicestershire Constabulary,L07,19,0,14,41,50,26,30,58,6,12,15
2012-05,Leicestershire Constabulary,L06,12,1,10,18,59,17,11,26,2,8,6
2012-05,Leicestershire Constabulary,L05,16,0,2,7,12,11,0,5,2,1,1
2012-05,Leicestershire Constabulary,L04,18,1,13,20,20,17,5,14,3,8,2
2012-05,Leicestershire Constabulary,L03,6,0,3,4,11,5,0,0,2,0,0
2012-05,Leicestershire Constabulary,L02,4,0,5,5,10,1,0,2,0,1,0
2012-05,Leicestershire Constabulary,L01,19,0,6,4,16,7,0,12,0,0,2
2012-05,Leicestershire Constabulary,L68,2,0,6,5,18,9,11,4,3,1,1
2012-05,Leicestershire Constabulary,C08,21,2,7,21,73,12,9,23,2,6,6
2012-05,Leicestershire Constabulary,C09,5,1,7,18,40,10,4,8,1,3,1
2012-05,Leicestershire Constabulary,L58,4,0,0,5,13,4,0,2,2,0,1
2012-05,Leicestershire Constabulary,L74,2,0,1,12,8,6,1,10,1,6,1
2012-05,Leicestershire Constabulary,L77,16,0,8,13,31,12,6,9,3,2,0
2012-05,Leicestershire Constabulary,C01,10,2,10,34,91,30,6,21,1,9,8
2012-05,Leicestershire Constabulary,C02,20,2,22,26,61,25,4,17,5,4,3
2012-05,Leicestershire Constabulary,C03,17,1,2,30,55,23,19,21,8,8,5
2012-05,Leicestershire Constabulary,C04,40,9,23,95,228,51,167,170,26,44,32
2012-05,Leicestershire Constabulary,C05,11,1,13,21,87,31,6,24,1,6,9
2012-05,Leicestershire Constabulary,C06,6,1,9,15,40,16,7,18,0,6,4
2012-05,Leicestershire Constabulary,C07,10,0,8,9,45,8,1,10,0,2,6
2012-05,Leicestershire Constabulary,L75,7,0,19,18,51,28,9,23,8,7,14
