Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-05,Merseyside Police,C4,14,6,15,12,52,25,20,9,12,8,6
2012-05,Merseyside Police,A1,20,1,8,41,296,45,23,26,24,14,6
2012-05,Merseyside Police,C5,22,0,14,24,133,26,16,21,17,19,14
2012-05,Merseyside Police,A3,7,0,4,7,60,6,8,5,4,2,1
2012-05,Merseyside Police,A2,5,0,8,21,125,10,16,10,10,3,4
2012-05,Merseyside Police,A5,19,2,31,33,176,31,20,24,23,6,10
2012-05,Merseyside Police,A4,12,0,5,22,101,14,6,3,11,6,3
2012-05,Merseyside Police,A7,27,0,19,19,142,23,19,18,16,4,5
2012-05,Merseyside Police,A6,24,2,13,43,273,64,66,33,26,25,13
2012-05,Merseyside Police,E5,37,5,24,35,202,51,11,31,55,15,9
2012-05,Merseyside Police,A8,9,0,2,6,31,7,2,4,3,1,1
2012-05,Merseyside Police,E7,24,3,20,43,193,37,11,38,39,12,13
2012-05,Merseyside Police,E6,15,0,14,22,241,39,14,19,50,12,5
2012-05,Merseyside Police,E1,34,8,41,100,280,50,129,265,74,52,21
2012-05,Merseyside Police,E3,16,2,24,25,121,21,3,20,22,7,6
2012-05,Merseyside Police,E2,36,2,32,49,268,89,28,36,116,21,26
2012-05,Merseyside Police,E4,45,5,39,54,302,65,24,50,44,15,12
2012-05,Merseyside Police,C3,22,0,10,13,98,41,3,22,42,10,4
2012-05,Merseyside Police,C2,16,1,13,10,109,28,25,20,20,10,13
2012-05,Merseyside Police,C1,8,0,7,9,113,16,0,9,28,4,1
2012-05,Merseyside Police,F1,28,1,30,27,118,37,12,32,43,15,11
2012-05,Merseyside Police,F2,36,5,19,37,228,71,9,23,59,17,6
2012-05,Merseyside Police,F3,20,2,21,6,55,17,8,17,10,4,6
2012-05,Merseyside Police,F4,21,1,15,20,114,24,26,15,32,17,8
2012-05,Merseyside Police,F5,35,2,12,25,125,36,21,30,29,15,13
2012-05,Merseyside Police,F6,0,0,0,1,5,1,0,6,5,0,1
2012-05,Merseyside Police,B4,34,1,18,24,87,26,17,16,8,4,4
2012-05,Merseyside Police,B5,27,0,20,24,115,29,9,24,11,11,7
2012-05,Merseyside Police,B6,35,1,14,24,103,19,11,24,7,7,8
2012-05,Merseyside Police,B7,19,0,3,23,83,13,39,32,10,9,3
2012-05,Merseyside Police,B1,25,2,9,38,159,45,34,44,26,10,14
2012-05,Merseyside Police,B2,40,0,16,16,133,20,15,32,27,3,5
2012-05,Merseyside Police,B3,31,1,28,38,238,65,4,23,32,12,6
2012-05,Merseyside Police,D4,20,0,18,18,93,30,5,33,13,3,1
2012-05,Merseyside Police,D5,24,0,27,24,146,33,11,31,44,7,3
2012-05,Merseyside Police,D2,19,3,17,32,149,61,17,43,27,5,3
2012-05,Merseyside Police,D3,10,0,23,15,147,32,15,36,15,5,17
2012-05,Merseyside Police,D1,20,0,12,38,101,27,51,38,41,10,9
