Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-05,Staffordshire Police,IC40,2,0,0,5,12,1,0,0,1,0,0
2012-05,Staffordshire Police,FW40,2,0,7,10,32,4,1,11,6,3,0
2012-05,Staffordshire Police,FV20,9,1,1,8,23,6,1,6,0,1,0
2012-05,Staffordshire Police,IA80,4,0,3,3,11,6,2,19,0,0,0
2012-05,Staffordshire Police,IG50,5,1,1,10,36,10,4,6,4,1,2
2012-05,Staffordshire Police,IE90,5,1,2,17,25,12,8,10,3,1,0
2012-05,Staffordshire Police,IB20,4,0,4,9,28,1,0,23,2,0,0
2012-05,Staffordshire Police,IE60,2,1,3,8,11,13,1,6,0,0,0
2012-05,Staffordshire Police,FR20,4,0,3,5,10,5,3,4,1,1,1
2012-05,Staffordshire Police,FP20,8,0,0,1,11,4,2,5,2,1,0
2012-05,Staffordshire Police,FX20,1,0,1,0,0,0,0,1,1,0,0
2012-05,Staffordshire Police,IC50,1,0,4,8,26,5,0,8,0,4,0
2012-05,Staffordshire Police,FX80,9,0,8,7,44,12,3,13,4,2,1
2012-05,Staffordshire Police,IA10,1,0,0,5,10,5,0,10,0,3,0
2012-05,Staffordshire Police,IG60,10,1,4,18,12,5,15,10,3,0,1
2012-05,Staffordshire Police,IA00,7,1,4,25,31,18,8,28,2,1,3
2012-05,Staffordshire Police,IB10,1,0,0,7,19,6,1,10,0,0,0
2012-05,Staffordshire Police,FP70,1,0,2,2,6,3,0,1,0,0,1
2012-05,Staffordshire Police,FR30,3,0,3,3,9,6,0,2,0,0,1
2012-05,Staffordshire Police,FX30,3,1,2,8,11,5,0,2,0,0,1
2012-05,Staffordshire Police,FM60,4,0,3,5,19,6,0,4,0,2,2
2012-05,Staffordshire Police,FW20,3,0,4,10,12,5,1,4,5,2,0
2012-05,Staffordshire Police,IB00,6,0,3,19,59,18,3,5,1,0,2
2012-05,Staffordshire Police,FP80,5,0,5,5,20,6,0,10,2,2,2
2012-05,Staffordshire Police,FV10,0,0,1,2,9,4,0,1,0,0,0
2012-05,Staffordshire Police,FP00,1,0,1,4,4,10,0,4,1,4,0
2012-05,Staffordshire Police,FM80,3,0,1,3,21,6,6,2,3,0,0
2012-05,Staffordshire Police,FV40,17,0,7,28,51,10,14,18,4,5,7
