Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-05,Thames Valley Police,N305,1,0,3,12,7,4,2,4,0,0,0
2012-05,Thames Valley Police,N389,2,0,0,5,11,2,4,6,0,0,3
2012-05,Thames Valley Police,N388,11,0,7,29,73,22,14,25,10,11,5
2012-05,Thames Valley Police,N385,9,0,4,6,29,11,6,15,4,2,8
2012-05,Thames Valley Police,N387,4,0,4,5,8,7,2,7,1,0,3
2012-05,Thames Valley Police,N386,3,0,7,10,24,7,1,9,1,0,4
2012-05,Thames Valley Police,N381,8,1,7,14,31,12,6,15,8,0,7
2012-05,Thames Valley Police,N380,12,0,8,9,22,12,3,13,2,2,7
2012-05,Thames Valley Police,N383,3,0,6,13,21,7,0,21,3,0,8
2012-05,Thames Valley Police,N382,3,0,4,10,55,9,2,14,1,11,5
2012-05,Thames Valley Police,N460,19,1,12,16,38,16,8,15,9,6,13
2012-05,Thames Valley Police,N461,22,5,21,36,73,22,7,22,4,9,6
2012-05,Thames Valley Police,N462,16,2,10,28,46,12,7,12,3,10,3
2012-05,Thames Valley Police,N463,19,6,20,17,62,17,0,15,6,7,5
2012-05,Thames Valley Police,N464,33,8,34,69,133,29,94,128,17,26,22
2012-05,Thames Valley Police,N465,5,0,0,2,11,4,6,1,0,1,0
2012-05,Thames Valley Police,N466,8,2,10,15,29,16,18,20,1,3,3
2012-05,Thames Valley Police,N467,1,1,25,29,55,25,8,27,5,1,2
2012-05,Thames Valley Police,N468,14,2,17,18,37,10,2,26,7,3,8
2012-05,Thames Valley Police,N469,10,0,11,10,15,8,0,15,2,2,2
2012-05,Thames Valley Police,N375,9,0,8,5,21,12,0,18,3,0,1
2012-05,Thames Valley Police,N376,3,0,3,17,60,16,6,29,6,6,4
2012-05,Thames Valley Police,N377,10,0,10,19,39,10,4,17,11,4,7
2012-05,Thames Valley Police,N378,5,0,7,6,21,7,1,15,2,1,4
2012-05,Thames Valley Police,N379,26,0,5,11,45,18,4,25,15,8,5
2012-05,Thames Valley Police,N473,31,2,43,15,45,14,6,36,6,5,4
2012-05,Thames Valley Police,N472,40,2,8,29,74,43,17,12,15,6,8
2012-05,Thames Valley Police,N471,10,0,9,6,20,8,6,12,1,0,5
2012-05,Thames Valley Police,N470,5,0,7,14,25,8,7,12,2,3,2
2012-05,Thames Valley Police,N477,26,0,20,7,36,8,0,17,7,0,3
2012-05,Thames Valley Police,N476,16,0,14,8,28,9,6,12,4,3,16
2012-05,Thames Valley Police,N475,24,1,17,12,51,13,2,14,4,5,1
2012-05,Thames Valley Police,N474,9,0,12,14,56,13,5,9,3,5,3
2012-05,Thames Valley Police,N478,8,0,10,7,24,13,6,15,2,2,5
2012-05,Thames Valley Police,N200,5,0,3,23,24,14,14,27,4,3,6
2012-05,Thames Valley Police,N289,0,0,1,2,7,7,21,12,1,3,4
2012-05,Thames Valley Police,N448,24,5,5,33,99,35,41,190,43,27,14
2012-05,Thames Valley Police,N449,18,4,8,18,52,17,16,54,10,7,4
2012-05,Thames Valley Police,N446,6,3,13,12,60,13,7,21,5,2,3
2012-05,Thames Valley Police,N447,4,0,4,5,26,11,0,11,3,1,2
2012-05,Thames Valley Police,N444,14,2,12,15,44,13,6,21,9,2,10
2012-05,Thames Valley Police,N445,30,1,11,33,73,47,8,27,10,5,12
2012-05,Thames Valley Police,N442,4,0,2,9,29,6,7,6,3,3,4
2012-05,Thames Valley Police,N443,5,0,9,11,17,15,1,16,7,4,2
2012-05,Thames Valley Police,N440,6,0,7,14,25,6,1,21,13,1,0
2012-05,Thames Valley Police,N441,8,0,12,9,14,6,10,15,2,0,7
2012-05,Thames Valley Police,N428,16,2,5,27,62,28,15,41,24,18,7
2012-05,Thames Valley Police,N429,4,0,4,9,28,8,3,14,5,1,12
2012-05,Thames Valley Police,N424,4,0,4,9,35,6,7,8,0,1,8
2012-05,Thames Valley Police,N425,6,0,5,6,16,5,0,13,4,1,0
2012-05,Thames Valley Police,N426,11,1,9,30,76,23,28,24,19,24,16
2012-05,Thames Valley Police,N427,3,0,5,2,10,6,1,9,2,0,5
2012-05,Thames Valley Police,N420,1,0,10,2,18,9,3,7,1,1,2
2012-05,Thames Valley Police,N421,11,0,13,19,51,23,8,15,11,3,9
2012-05,Thames Valley Police,N422,3,0,14,25,53,15,2,23,7,6,6
2012-05,Thames Valley Police,N423,5,0,15,10,24,5,0,11,1,1,5
2012-05,Thames Valley Police,N106,4,1,0,17,21,7,15,28,4,6,2
2012-05,Thames Valley Police,N459,19,1,13,29,69,13,2,12,1,5,10
2012-05,Thames Valley Police,N458,29,11,20,58,105,25,63,69,9,23,15
2012-05,Thames Valley Police,N451,16,0,11,9,27,14,3,51,3,1,6
2012-05,Thames Valley Police,N450,5,0,12,21,61,17,8,69,19,10,2
2012-05,Thames Valley Police,N453,25,4,13,27,59,35,12,42,6,4,8
2012-05,Thames Valley Police,N452,25,3,11,23,38,24,13,61,6,5,5
2012-05,Thames Valley Police,N455,18,2,25,11,48,30,7,21,6,2,12
2012-05,Thames Valley Police,N454,17,3,10,18,41,17,11,13,5,1,3
2012-05,Thames Valley Police,N457,9,4,26,26,68,23,3,10,3,1,0
2012-05,Thames Valley Police,N456,5,2,7,28,61,18,8,15,5,4,7
2012-05,Thames Valley Police,N348,8,0,9,17,54,18,15,10,5,6,5
2012-05,Thames Valley Police,N439,17,1,23,26,36,21,15,10,6,6,6
2012-05,Thames Valley Police,N438,13,3,5,15,30,7,2,11,4,2,8
2012-05,Thames Valley Police,N436,11,4,18,32,57,18,32,27,9,6,13
2012-05,Thames Valley Police,N435,23,5,12,45,154,43,24,39,13,12,17
2012-05,Thames Valley Police,N434,6,1,11,13,42,21,6,21,6,3,9
2012-05,Thames Valley Police,N433,3,0,2,7,17,12,0,2,0,1,2
2012-05,Thames Valley Police,N432,16,0,7,20,66,18,1,26,0,5,4
2012-05,Thames Valley Police,N431,21,0,8,9,27,6,0,9,0,4,0
2012-05,Thames Valley Police,N430,12,1,7,3,31,10,3,7,1,1,9
2012-05,Thames Valley Police,N408,13,5,9,31,60,26,0,19,2,5,14
2012-05,Thames Valley Police,N409,11,2,10,28,20,21,29,47,10,16,13
2012-05,Thames Valley Police,N402,9,1,3,14,23,32,9,22,4,0,2
2012-05,Thames Valley Police,N403,15,1,5,7,38,16,4,20,9,3,5
2012-05,Thames Valley Police,N400,6,0,10,9,16,7,8,14,3,1,7
2012-05,Thames Valley Police,N401,2,0,4,4,17,10,8,14,2,3,3
2012-05,Thames Valley Police,N406,9,0,8,8,26,5,1,12,1,1,3
2012-05,Thames Valley Police,N407,7,0,4,2,13,7,2,6,3,1,1
2012-05,Thames Valley Police,N404,9,0,3,8,32,12,3,9,0,2,7
2012-05,Thames Valley Police,N405,16,1,15,10,45,29,5,25,6,1,9
2012-05,Thames Valley Police,N337,0,3,35,31,36,15,81,57,16,21,16
2012-05,Thames Valley Police,N392,25,1,22,17,35,10,2,15,1,1,14
2012-05,Thames Valley Police,N393,27,1,19,15,52,23,0,19,6,4,4
2012-05,Thames Valley Police,N390,6,0,13,11,23,9,3,11,3,3,1
2012-05,Thames Valley Police,N391,16,4,22,15,36,14,23,22,12,8,5
2012-05,Thames Valley Police,N396,17,2,20,14,32,14,4,19,5,3,7
2012-05,Thames Valley Police,N397,10,1,7,3,21,3,4,16,1,2,5
2012-05,Thames Valley Police,N394,17,2,20,18,51,15,15,56,7,9,5
2012-05,Thames Valley Police,N395,44,0,19,11,29,5,2,15,3,0,1
2012-05,Thames Valley Police,N398,10,1,15,7,28,11,0,11,1,0,5
2012-05,Thames Valley Police,N399,13,0,3,4,29,3,5,7,1,0,2
2012-05,Thames Valley Police,N415,9,1,5,12,32,13,4,14,8,2,7
2012-05,Thames Valley Police,N414,8,2,5,21,31,16,6,11,5,3,4
2012-05,Thames Valley Police,N417,4,0,2,3,7,2,4,12,0,0,2
2012-05,Thames Valley Police,N416,6,0,6,4,20,7,0,6,2,1,0
2012-05,Thames Valley Police,N411,6,0,5,6,26,8,3,11,4,3,5
2012-05,Thames Valley Police,N410,10,0,15,29,60,27,5,15,3,8,14
2012-05,Thames Valley Police,N413,11,3,1,14,51,20,8,20,6,4,2
2012-05,Thames Valley Police,N412,2,0,3,14,32,2,2,13,3,2,2
2012-05,Thames Valley Police,N419,7,0,4,8,13,7,1,4,1,3,0
2012-05,Thames Valley Police,N418,4,0,2,0,10,3,0,1,0,1,0
