Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-06,Cumbria Constabulary,GARS07,5,0,1,2,15,3,0,3,0,0,0
2012-06,Cumbria Constabulary,GARS06,3,0,5,9,72,8,8,17,5,1,1
2012-06,Cumbria Constabulary,GARS05,2,0,4,5,38,9,2,5,0,1,0
2012-06,Cumbria Constabulary,GARS04,11,0,2,8,38,6,2,6,1,1,3
2012-06,Cumbria Constabulary,GARS03,1,0,4,7,66,17,0,8,3,2,0
2012-06,Cumbria Constabulary,GARS02,2,0,5,14,85,16,0,9,2,4,1
2012-06,Cumbria Constabulary,GARS01,8,0,4,42,188,24,22,23,6,14,6
2012-06,Cumbria Constabulary,GARY01,6,0,3,2,7,0,0,1,0,1,0
2012-06,Cumbria Constabulary,GARS09,1,0,2,3,49,8,0,1,0,2,1
2012-06,Cumbria Constabulary,GARS08,0,0,2,0,13,3,0,1,0,0,1
2012-06,Cumbria Constabulary,GARZ05,2,0,2,2,7,2,0,3,0,0,1
2012-06,Cumbria Constabulary,GARX10,1,0,0,4,49,13,4,7,2,5,0
2012-06,Cumbria Constabulary,GARZ04,5,0,3,5,12,7,0,6,1,1,1
2012-06,Cumbria Constabulary,GARU01,1,0,14,19,44,12,1,11,7,1,2
2012-06,Cumbria Constabulary,GARU03,3,1,2,26,130,28,19,12,8,8,3
2012-06,Cumbria Constabulary,GARU02,6,0,2,13,67,10,5,11,3,1,2
2012-06,Cumbria Constabulary,GARU07,10,0,6,7,16,2,6,6,3,0,1
2012-06,Cumbria Constabulary,GARY08,3,0,4,15,70,5,7,5,7,4,2
2012-06,Cumbria Constabulary,GARU09,2,0,0,3,36,14,1,4,2,1,1
2012-06,Cumbria Constabulary,GARU08,5,0,2,2,41,6,2,9,1,9,1
2012-06,Cumbria Constabulary,GARV02,1,0,1,10,45,9,1,12,0,4,2
2012-06,Cumbria Constabulary,GARV03,1,0,3,12,69,21,2,2,6,3,0
2012-06,Cumbria Constabulary,GARV01,4,0,1,10,48,12,1,15,3,3,2
2012-06,Cumbria Constabulary,GARV04,5,0,4,12,24,9,2,10,7,2,1
2012-06,Cumbria Constabulary,GARV05,0,0,2,23,129,19,10,7,6,7,2
2012-06,Cumbria Constabulary,GARX04,5,0,4,12,54,11,5,7,5,1,2
2012-06,Cumbria Constabulary,GARX05,7,0,0,7,46,13,0,9,4,0,1
2012-06,Cumbria Constabulary,GARX06,3,0,3,3,18,8,2,1,0,1,0
2012-06,Cumbria Constabulary,GARX07,8,0,4,4,65,4,1,6,2,2,0
2012-06,Cumbria Constabulary,GARY09,1,0,1,1,27,6,0,6,0,0,1
2012-06,Cumbria Constabulary,GARX01,0,0,5,0,6,1,3,2,0,0,1
2012-06,Cumbria Constabulary,GARX02,1,0,0,4,39,10,0,2,4,0,1
2012-06,Cumbria Constabulary,GARX03,1,0,0,27,131,10,51,9,6,8,6
2012-06,Cumbria Constabulary,GARY05,1,0,3,6,63,8,0,9,7,5,1
2012-06,Cumbria Constabulary,GARY04,4,0,2,7,19,3,2,5,0,0,1
2012-06,Cumbria Constabulary,GARY07,1,0,1,2,13,0,0,3,1,1,0
2012-06,Cumbria Constabulary,GARY06,4,0,7,0,12,7,0,6,0,0,1
2012-06,Cumbria Constabulary,GARX08,4,0,3,12,67,16,6,8,2,5,0
2012-06,Cumbria Constabulary,GARX09,1,0,2,6,39,9,2,4,1,1,0
2012-06,Cumbria Constabulary,GARY03,3,0,7,6,19,5,0,1,1,0,1
2012-06,Cumbria Constabulary,GARY02,3,0,1,5,25,2,0,4,2,1,3
2012-06,Cumbria Constabulary,GARU10,4,0,1,9,13,3,0,4,0,2,0
2012-06,Cumbria Constabulary,GARU11,0,0,0,5,12,3,0,4,0,0,1
2012-06,Cumbria Constabulary,GARZ02,12,1,0,25,72,24,2,27,8,3,5
2012-06,Cumbria Constabulary,GARZ03,10,0,3,5,13,5,0,6,0,0,0
2012-06,Cumbria Constabulary,GARZ01,2,0,1,14,44,12,1,13,0,0,1
