Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-07,Bedfordshire Police,56,3,0,6,2,20,5,0,7,0,0,0
2012-07,Bedfordshire Police,54,4,0,2,1,27,4,0,2,1,0,1
2012-07,Bedfordshire Police,42,0,0,0,0,10,0,0,0,0,0,0
2012-07,Bedfordshire Police,48,11,0,3,3,15,5,3,3,0,0,0
2012-07,Bedfordshire Police,43,2,0,3,8,20,8,0,1,2,0,0
2012-07,Bedfordshire Police,60,12,0,17,35,112,31,8,22,13,6,3
2012-07,Bedfordshire Police,61,2,0,2,7,32,2,1,5,1,0,2
2012-07,Bedfordshire Police,62,5,0,1,15,150,17,17,9,6,4,4
2012-07,Bedfordshire Police,63,1,0,0,2,19,2,0,4,1,0,1
2012-07,Bedfordshire Police,64,6,0,8,3,51,3,0,7,1,1,3
2012-07,Bedfordshire Police,49,3,0,10,5,16,2,3,6,1,0,3
2012-07,Bedfordshire Police,66,13,1,24,15,90,17,6,12,3,5,6
2012-07,Bedfordshire Police,67,6,2,8,25,136,22,8,18,5,3,4
2012-07,Bedfordshire Police,68,10,2,12,22,134,21,12,15,8,6,2
2012-07,Bedfordshire Police,69,20,0,12,13,52,13,3,9,6,1,16
2012-07,Bedfordshire Police,52,2,0,1,10,41,5,0,7,2,5,1
2012-07,Bedfordshire Police,53,4,0,5,5,30,3,0,3,2,1,3
2012-07,Bedfordshire Police,24,7,0,7,11,32,3,4,4,4,4,1
2012-07,Bedfordshire Police,25,1,2,1,1,4,0,2,1,0,1,0
2012-07,Bedfordshire Police,26,5,0,0,0,8,2,0,2,1,0,0
2012-07,Bedfordshire Police,27,0,0,1,0,2,0,0,1,0,0,0
2012-07,Bedfordshire Police,20,2,0,2,10,8,1,1,1,1,1,2
2012-07,Bedfordshire Police,21,8,0,1,13,56,6,2,3,1,3,1
2012-07,Bedfordshire Police,22,5,0,6,9,75,7,0,11,6,4,1
2012-07,Bedfordshire Police,23,8,0,4,8,31,3,0,2,3,0,0
2012-07,Bedfordshire Police,46,5,0,3,7,47,2,3,7,0,1,0
2012-07,Bedfordshire Police,47,2,2,2,2,28,4,3,13,0,1,1
2012-07,Bedfordshire Police,44,4,1,1,2,23,6,2,8,1,2,2
2012-07,Bedfordshire Police,45,3,0,2,1,9,0,0,0,0,0,0
2012-07,Bedfordshire Police,28,6,2,1,5,30,2,2,3,0,0,1
2012-07,Bedfordshire Police,29,2,0,0,12,20,5,0,3,1,0,1
2012-07,Bedfordshire Police,40,0,0,5,6,17,1,4,5,2,1,3
2012-07,Bedfordshire Police,41,2,0,3,0,12,4,0,1,0,0,0
2012-07,Bedfordshire Police,51,7,0,0,14,97,8,3,13,7,0,0
2012-07,Bedfordshire Police,39,5,0,5,6,17,4,0,1,0,0,1
2012-07,Bedfordshire Police,65,40,2,33,69,350,43,28,64,25,16,22
2012-07,Bedfordshire Police,38,3,0,6,6,25,8,5,2,0,0,0
2012-07,Bedfordshire Police,70,19,0,15,13,85,20,2,13,5,1,4
2012-07,Bedfordshire Police,59,1,0,1,10,15,1,2,13,1,4,1
2012-07,Bedfordshire Police,58,2,0,0,9,91,6,0,5,3,1,0
2012-07,Bedfordshire Police,11,4,2,1,2,26,1,0,1,0,0,0
2012-07,Bedfordshire Police,10,5,3,7,22,125,19,43,41,2,28,12
2012-07,Bedfordshire Police,13,3,2,5,7,34,8,0,6,0,0,1
2012-07,Bedfordshire Police,12,14,2,4,7,49,18,0,10,2,2,3
2012-07,Bedfordshire Police,15,2,1,1,2,22,5,6,9,0,0,2
2012-07,Bedfordshire Police,14,9,0,4,5,34,11,3,3,1,0,3
2012-07,Bedfordshire Police,17,3,1,8,5,59,6,0,4,0,1,1
2012-07,Bedfordshire Police,16,6,0,4,9,56,10,0,5,2,1,1
2012-07,Bedfordshire Police,19,8,0,6,5,50,2,0,1,0,0,3
2012-07,Bedfordshire Police,18,0,0,0,0,39,0,0,0,0,0,0
2012-07,Bedfordshire Police,31,8,3,7,14,88,9,1,6,0,2,6
2012-07,Bedfordshire Police,30,2,0,4,1,19,2,0,3,0,0,1
2012-07,Bedfordshire Police,37,4,0,2,6,56,10,0,3,0,1,0
2012-07,Bedfordshire Police,36,16,2,7,15,77,11,0,12,7,0,3
2012-07,Bedfordshire Police,35,12,4,5,12,47,10,0,5,4,2,1
2012-07,Bedfordshire Police,34,5,1,4,6,29,5,0,1,3,0,0
2012-07,Bedfordshire Police,33,5,0,8,8,26,1,2,10,1,1,1
2012-07,Bedfordshire Police,55,11,0,1,5,19,6,0,10,2,2,1
2012-07,Bedfordshire Police,32,4,5,8,17,76,10,12,13,1,2,7
2012-07,Bedfordshire Police,57,3,0,4,22,83,8,42,29,5,11,6
2012-07,Bedfordshire Police,50,1,1,1,8,67,4,0,8,1,4,0
