Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-07,Devon and Cornwall Constabulary,431.08,3,0,0,3,11,2,0,2,1,4,1
2012-07,Devon and Cornwall Constabulary,132.01,2,0,1,16,12,6,2,7,0,0,3
2012-07,Devon and Cornwall Constabulary,431.04,4,1,2,27,54,9,26,22,8,13,1
2012-07,Devon and Cornwall Constabulary,431.05,1,0,0,1,9,5,0,2,1,0,0
2012-07,Devon and Cornwall Constabulary,431.06,2,0,2,2,9,7,4,2,0,2,1
2012-07,Devon and Cornwall Constabulary,431.07,4,0,2,3,10,7,0,5,0,3,2
2012-07,Devon and Cornwall Constabulary,423.10,2,0,1,7,19,9,0,2,1,0,2
2012-07,Devon and Cornwall Constabulary,423.11,3,0,2,2,5,5,0,4,0,0,2
2012-07,Devon and Cornwall Constabulary,341.04,2,0,1,5,11,3,2,4,1,1,0
2012-07,Devon and Cornwall Constabulary,431.03,1,0,0,2,10,3,0,2,1,1,2
2012-07,Devon and Cornwall Constabulary,422.08,2,0,1,14,10,4,1,6,0,0,1
2012-07,Devon and Cornwall Constabulary,134.04,4,0,5,1,15,5,1,1,0,1,1
2012-07,Devon and Cornwall Constabulary,111.04,3,0,3,26,43,6,9,7,2,3,1
2012-07,Devon and Cornwall Constabulary,134.06,1,0,2,17,37,7,3,4,6,2,0
2012-07,Devon and Cornwall Constabulary,134.07,5,0,1,16,52,14,2,11,4,1,4
2012-07,Devon and Cornwall Constabulary,111.01,4,0,3,4,15,4,0,5,0,1,1
2012-07,Devon and Cornwall Constabulary,134.02,1,0,1,1,10,1,0,2,0,1,1
2012-07,Devon and Cornwall Constabulary,111.02,3,0,2,8,21,4,0,2,0,1,1
2012-07,Devon and Cornwall Constabulary,134.09,2,1,3,8,8,7,1,4,3,0,0
2012-07,Devon and Cornwall Constabulary,341.02,3,0,0,1,10,6,0,6,0,0,0
2012-07,Devon and Cornwall Constabulary,341.03,6,0,4,7,20,1,0,10,1,1,0
2012-07,Devon and Cornwall Constabulary,216.01,9,0,8,53,86,26,12,24,21,27,2
2012-07,Devon and Cornwall Constabulary,216.02,8,0,10,53,94,22,52,41,14,20,18
2012-07,Devon and Cornwall Constabulary,423.09,6,0,1,1,1,1,0,4,4,0,1
2012-07,Devon and Cornwall Constabulary,423.08,2,0,1,2,5,3,0,4,3,1,1
2012-07,Devon and Cornwall Constabulary,343.01,2,0,5,31,76,11,13,30,7,6,4
2012-07,Devon and Cornwall Constabulary,343.02,1,0,3,4,20,4,0,7,1,1,5
2012-07,Devon and Cornwall Constabulary,343.03,4,0,3,8,20,4,0,6,2,3,4
2012-07,Devon and Cornwall Constabulary,423.03,1,0,1,2,12,2,2,3,0,0,0
2012-07,Devon and Cornwall Constabulary,423.02,2,0,0,1,13,3,0,7,0,1,3
2012-07,Devon and Cornwall Constabulary,423.01,5,0,2,3,9,7,0,1,1,1,0
2012-07,Devon and Cornwall Constabulary,423.06,2,0,0,7,17,5,0,3,2,0,0
2012-07,Devon and Cornwall Constabulary,423.05,1,0,0,2,12,4,1,0,2,0,0
2012-07,Devon and Cornwall Constabulary,423.04,4,0,2,6,13,4,0,5,1,1,0
2012-07,Devon and Cornwall Constabulary,433.02,3,0,1,11,19,3,0,9,2,4,2
2012-07,Devon and Cornwall Constabulary,433.03,9,0,3,12,24,12,0,3,1,3,0
2012-07,Devon and Cornwall Constabulary,433.01,1,0,2,11,22,4,0,3,1,1,2
2012-07,Devon and Cornwall Constabulary,431.02,2,0,2,1,5,1,0,3,2,0,2
2012-07,Devon and Cornwall Constabulary,433.04,1,0,1,7,12,9,0,0,0,0,2
2012-07,Devon and Cornwall Constabulary,433.05,3,0,2,20,41,13,4,3,4,3,3
2012-07,Devon and Cornwall Constabulary,134.10,3,0,1,1,3,5,0,4,0,0,0
2012-07,Devon and Cornwall Constabulary,113.07,3,0,4,7,29,8,0,6,0,2,1
2012-07,Devon and Cornwall Constabulary,113.06,4,0,5,17,77,7,2,5,1,5,1
2012-07,Devon and Cornwall Constabulary,113.05,2,0,0,6,18,4,2,3,1,1,1
2012-07,Devon and Cornwall Constabulary,113.04,7,1,2,8,19,10,0,3,0,0,1
2012-07,Devon and Cornwall Constabulary,113.03,3,0,4,10,48,12,6,9,1,2,2
2012-07,Devon and Cornwall Constabulary,113.02,3,0,1,19,32,6,12,8,2,4,1
2012-07,Devon and Cornwall Constabulary,113.01,0,0,2,12,31,6,6,8,0,0,3
2012-07,Devon and Cornwall Constabulary,423.12,1,0,1,2,13,2,1,4,3,1,0
2012-07,Devon and Cornwall Constabulary,131.01,1,0,6,6,34,8,0,2,1,1,3
2012-07,Devon and Cornwall Constabulary,341.01,3,0,7,19,44,19,1,16,4,5,5
2012-07,Devon and Cornwall Constabulary,121.08,1,0,2,15,27,6,10,7,3,8,0
2012-07,Devon and Cornwall Constabulary,121.01,5,0,6,6,18,8,2,11,1,1,1
2012-07,Devon and Cornwall Constabulary,121.07,1,0,4,5,24,9,0,2,1,0,3
2012-07,Devon and Cornwall Constabulary,121.04,1,0,1,9,22,5,0,10,1,0,0
2012-07,Devon and Cornwall Constabulary,121.05,0,0,0,1,1,0,0,1,0,0,0
2012-07,Devon and Cornwall Constabulary,121.02,9,0,1,2,12,4,0,1,2,1,0
2012-07,Devon and Cornwall Constabulary,121.03,2,0,1,4,5,3,0,2,1,1,1
2012-07,Devon and Cornwall Constabulary,111.05,2,0,2,7,24,8,0,5,2,3,2
2012-07,Devon and Cornwall Constabulary,342.04,3,0,2,3,13,7,2,3,0,0,0
2012-07,Devon and Cornwall Constabulary,133.01,1,0,2,19,32,8,2,3,9,3,1
2012-07,Devon and Cornwall Constabulary,133.03,4,0,1,6,24,6,0,4,1,0,0
2012-07,Devon and Cornwall Constabulary,133.02,2,0,0,3,5,0,1,1,1,0,0
2012-07,Devon and Cornwall Constabulary,133.05,4,0,10,12,11,7,2,3,6,2,0
2012-07,Devon and Cornwall Constabulary,133.04,1,0,1,3,3,1,0,3,2,0,0
2012-07,Devon and Cornwall Constabulary,421.01,5,0,4,1,12,0,0,4,1,0,0
2012-07,Devon and Cornwall Constabulary,411.02,17,1,3,10,19,18,0,13,1,8,3
2012-07,Devon and Cornwall Constabulary,421.03,0,0,0,7,17,6,3,1,1,1,0
2012-07,Devon and Cornwall Constabulary,421.02,3,0,4,3,10,3,2,4,0,1,2
2012-07,Devon and Cornwall Constabulary,421.05,1,0,1,12,13,8,0,3,1,1,3
2012-07,Devon and Cornwall Constabulary,421.04,2,0,2,10,24,2,0,4,0,1,0
2012-07,Devon and Cornwall Constabulary,421.06,4,0,4,18,44,8,1,17,8,7,3
2012-07,Devon and Cornwall Constabulary,131.03,3,0,1,3,12,3,5,5,2,2,0
2012-07,Devon and Cornwall Constabulary,131.02,7,0,2,11,16,8,7,2,0,1,1
2012-07,Devon and Cornwall Constabulary,411.08,3,0,2,3,23,1,1,5,1,4,4
2012-07,Devon and Cornwall Constabulary,411.09,4,0,1,6,27,6,1,4,0,3,2
2012-07,Devon and Cornwall Constabulary,131.04,7,0,5,19,27,11,2,9,1,9,2
2012-07,Devon and Cornwall Constabulary,215.06,3,0,10,8,17,6,0,0,5,1,0
2012-07,Devon and Cornwall Constabulary,123.01,9,0,3,24,66,16,3,22,23,12,4
2012-07,Devon and Cornwall Constabulary,123.02,6,0,1,8,23,3,0,12,2,1,2
2012-07,Devon and Cornwall Constabulary,411.01,8,2,6,4,20,13,1,9,5,1,2
2012-07,Devon and Cornwall Constabulary,411.06,3,0,1,7,15,6,0,2,2,0,2
2012-07,Devon and Cornwall Constabulary,411.07,3,0,3,3,35,9,3,12,1,2,1
2012-07,Devon and Cornwall Constabulary,411.05,5,0,2,10,6,4,1,4,1,1,2
2012-07,Devon and Cornwall Constabulary,121.10,2,1,0,4,19,4,2,5,0,5,0
2012-07,Devon and Cornwall Constabulary,111.03,7,0,7,19,34,8,2,6,3,2,3
2012-07,Devon and Cornwall Constabulary,312.02,1,0,8,4,8,0,0,2,2,2,0
2012-07,Devon and Cornwall Constabulary,214.01,2,0,0,12,32,4,0,1,3,5,0
2012-07,Devon and Cornwall Constabulary,432.10,2,0,1,1,12,3,2,4,0,1,4
2012-07,Devon and Cornwall Constabulary,214.07,2,0,2,5,18,3,1,0,0,0,0
2012-07,Devon and Cornwall Constabulary,312.03,5,0,0,6,19,4,2,3,0,1,1
2012-07,Devon and Cornwall Constabulary,214.05,3,0,1,6,13,2,0,3,0,3,1
2012-07,Devon and Cornwall Constabulary,411.11,11,0,5,10,39,10,4,13,1,2,3
2012-07,Devon and Cornwall Constabulary,411.10,9,0,9,18,35,9,10,9,2,6,1
2012-07,Devon and Cornwall Constabulary,411.13,9,0,5,7,39,7,2,8,6,0,1
2012-07,Devon and Cornwall Constabulary,411.12,6,0,3,12,32,6,2,8,4,0,3
2012-07,Devon and Cornwall Constabulary,411.14,8,1,5,49,66,17,37,44,7,32,6
2012-07,Devon and Cornwall Constabulary,411.17,3,0,8,13,22,9,0,8,2,3,0
2012-07,Devon and Cornwall Constabulary,411.16,1,0,3,3,9,3,5,2,0,2,0
2012-07,Devon and Cornwall Constabulary,215.08,3,1,4,10,18,1,8,6,3,0,3
2012-07,Devon and Cornwall Constabulary,215.09,4,2,13,21,32,11,1,8,8,12,1
2012-07,Devon and Cornwall Constabulary,123.03,2,0,0,2,19,10,0,4,1,1,1
2012-07,Devon and Cornwall Constabulary,132.07,4,0,1,9,21,2,5,4,1,3,0
2012-07,Devon and Cornwall Constabulary,215.01,5,0,1,11,22,6,0,2,2,1,0
2012-07,Devon and Cornwall Constabulary,342.05,3,0,0,7,14,6,0,0,1,0,1
2012-07,Devon and Cornwall Constabulary,215.03,2,0,3,7,20,8,4,4,1,1,2
2012-07,Devon and Cornwall Constabulary,342.03,2,0,1,4,18,4,0,7,0,0,2
2012-07,Devon and Cornwall Constabulary,342.02,2,0,1,3,12,7,0,1,0,1,1
2012-07,Devon and Cornwall Constabulary,342.01,5,0,2,5,19,4,10,4,0,0,2
2012-07,Devon and Cornwall Constabulary,215.07,1,0,1,19,27,6,2,13,3,3,5
2012-07,Devon and Cornwall Constabulary,343.21,1,1,3,4,33,13,1,10,3,2,1
2012-07,Devon and Cornwall Constabulary,432.08,2,0,3,3,5,2,0,1,4,0,0
2012-07,Devon and Cornwall Constabulary,432.05,8,0,3,0,6,1,0,1,0,0,0
2012-07,Devon and Cornwall Constabulary,432.04,1,0,2,2,7,5,1,2,0,0,0
2012-07,Devon and Cornwall Constabulary,432.07,2,0,0,3,9,4,0,3,0,1,5
2012-07,Devon and Cornwall Constabulary,432.06,0,0,1,1,6,1,0,6,1,3,0
2012-07,Devon and Cornwall Constabulary,432.01,2,0,4,23,23,13,7,10,9,8,0
2012-07,Devon and Cornwall Constabulary,432.03,1,0,1,3,4,1,0,5,1,1,1
2012-07,Devon and Cornwall Constabulary,432.02,1,0,3,7,9,1,0,1,2,0,1
2012-07,Devon and Cornwall Constabulary,211.04,0,0,3,8,19,6,0,3,4,2,4
2012-07,Devon and Cornwall Constabulary,211.05,5,1,7,19,37,10,2,6,3,5,3
2012-07,Devon and Cornwall Constabulary,213.08,1,0,3,3,5,2,1,1,0,1,1
2012-07,Devon and Cornwall Constabulary,213.09,1,0,0,5,8,1,0,1,1,1,0
2012-07,Devon and Cornwall Constabulary,211.01,5,1,5,16,29,8,1,10,2,5,4
2012-07,Devon and Cornwall Constabulary,211.02,0,0,1,9,17,9,0,1,3,1,1
2012-07,Devon and Cornwall Constabulary,211.03,2,2,2,7,22,6,3,3,4,2,1
2012-07,Devon and Cornwall Constabulary,213.02,2,0,1,3,4,0,1,1,0,0,0
2012-07,Devon and Cornwall Constabulary,213.03,5,0,2,2,9,9,0,3,3,1,0
2012-07,Devon and Cornwall Constabulary,213.01,0,0,6,0,4,1,0,4,0,0,0
2012-07,Devon and Cornwall Constabulary,213.06,3,1,3,0,17,6,0,2,3,0,0
2012-07,Devon and Cornwall Constabulary,311.11,2,0,0,0,2,6,0,2,0,3,1
2012-07,Devon and Cornwall Constabulary,213.04,6,0,5,8,17,9,2,4,4,1,2
2012-07,Devon and Cornwall Constabulary,311.13,5,0,2,8,15,9,0,5,0,1,0
2012-07,Devon and Cornwall Constabulary,423.14,1,0,2,11,21,1,2,6,4,3,1
2012-07,Devon and Cornwall Constabulary,312.01,2,0,4,12,24,5,3,8,1,4,1
2012-07,Devon and Cornwall Constabulary,215.10,8,0,3,3,11,3,0,3,0,1,2
2012-07,Devon and Cornwall Constabulary,422.01,2,0,3,2,4,2,0,1,1,0,0
2012-07,Devon and Cornwall Constabulary,422.02,5,0,4,7,29,13,6,2,0,1,1
2012-07,Devon and Cornwall Constabulary,422.03,4,0,6,11,18,5,1,7,2,3,1
2012-07,Devon and Cornwall Constabulary,422.04,1,0,0,1,9,1,0,4,1,0,1
2012-07,Devon and Cornwall Constabulary,422.05,4,0,3,3,8,0,0,5,0,0,1
2012-07,Devon and Cornwall Constabulary,422.06,2,0,1,1,10,2,0,0,0,0,0
2012-07,Devon and Cornwall Constabulary,422.07,0,0,1,2,7,2,0,2,0,0,0
2012-07,Devon and Cornwall Constabulary,114.06,6,0,5,4,15,5,0,5,1,0,0
2012-07,Devon and Cornwall Constabulary,422.09,4,0,3,13,26,6,2,8,2,1,0
2012-07,Devon and Cornwall Constabulary,114.04,9,1,1,9,15,2,0,10,1,0,0
2012-07,Devon and Cornwall Constabulary,114.03,1,0,0,7,24,10,3,5,6,0,0
2012-07,Devon and Cornwall Constabulary,124.05,1,1,7,11,25,8,1,5,1,1,1
2012-07,Devon and Cornwall Constabulary,124.04,7,0,2,1,11,7,1,7,0,1,0
2012-07,Devon and Cornwall Constabulary,124.06,18,1,9,27,78,20,14,18,5,7,5
2012-07,Devon and Cornwall Constabulary,124.01,2,0,1,5,7,5,0,2,2,1,0
2012-07,Devon and Cornwall Constabulary,124.03,4,1,3,6,23,8,1,5,0,1,0
2012-07,Devon and Cornwall Constabulary,124.02,3,0,1,5,24,5,0,6,1,2,0
2012-07,Devon and Cornwall Constabulary,331.06,7,1,2,12,26,13,4,8,6,5,0
2012-07,Devon and Cornwall Constabulary,213.07,5,0,2,2,19,0,5,8,0,0,1
2012-07,Devon and Cornwall Constabulary,311.12,1,0,1,3,5,3,0,7,0,0,2
2012-07,Devon and Cornwall Constabulary,311.02,4,0,3,5,11,3,0,4,0,1,1
2012-07,Devon and Cornwall Constabulary,311.01,7,0,1,15,27,6,2,4,3,2,0
2012-07,Devon and Cornwall Constabulary,213.05,0,0,0,1,3,1,0,2,0,0,0
2012-07,Devon and Cornwall Constabulary,311.07,2,0,0,2,11,3,0,4,0,1,2
2012-07,Devon and Cornwall Constabulary,311.05,2,0,0,6,23,8,3,4,0,1,3
2012-07,Devon and Cornwall Constabulary,122.03,4,0,4,4,21,5,4,6,0,0,2
