Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-07,Durham Constabulary,133,0,0,2,3,2,0,0,3,0,0,0
2012-07,Durham Constabulary,132,12,0,4,2,33,13,1,4,0,4,2
2012-07,Durham Constabulary,131,2,0,5,3,39,4,0,3,1,0,1
2012-07,Durham Constabulary,130,3,0,1,1,19,1,0,0,0,0,1
2012-07,Durham Constabulary,137,6,1,1,6,55,6,0,3,5,3,1
2012-07,Durham Constabulary,165,1,0,0,0,10,4,2,2,2,0,0
2012-07,Durham Constabulary,139,1,0,0,0,8,3,0,1,0,0,0
2012-07,Durham Constabulary,138,2,0,2,3,18,2,0,1,0,1,0
2012-07,Durham Constabulary,166,7,0,3,2,15,5,6,4,1,2,2
2012-07,Durham Constabulary,24,0,0,0,0,8,0,0,1,0,0,0
2012-07,Durham Constabulary,26,1,0,1,7,17,4,2,3,3,0,1
2012-07,Durham Constabulary,27,0,0,1,2,27,3,0,0,1,1,0
2012-07,Durham Constabulary,20,2,0,2,2,19,6,0,5,1,0,2
2012-07,Durham Constabulary,21,0,0,0,3,6,3,0,0,1,0,0
2012-07,Durham Constabulary,22,0,0,1,1,10,2,0,0,0,0,0
2012-07,Durham Constabulary,23,0,0,0,0,1,0,0,0,0,0,0
2012-07,Durham Constabulary,28,0,0,0,0,8,0,0,0,0,0,0
2012-07,Durham Constabulary,29,3,0,0,3,24,4,0,0,2,3,1
2012-07,Durham Constabulary,161,1,0,1,2,9,2,0,0,1,0,0
2012-07,Durham Constabulary,4,2,0,2,1,14,1,0,3,0,0,0
2012-07,Durham Constabulary,8,1,0,2,0,13,4,0,0,0,0,0
2012-07,Durham Constabulary,163,0,0,1,1,4,1,0,2,1,0,0
2012-07,Durham Constabulary,119,1,0,0,0,2,0,0,1,0,0,0
2012-07,Durham Constabulary,120,5,0,1,7,18,7,7,5,1,0,0
2012-07,Durham Constabulary,121,2,0,2,4,17,6,0,9,3,3,0
2012-07,Durham Constabulary,122,2,0,3,1,27,7,0,6,1,1,0
2012-07,Durham Constabulary,123,6,1,2,11,40,6,2,2,0,3,2
2012-07,Durham Constabulary,124,0,0,1,2,21,6,0,0,3,1,2
