Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-07,Northamptonshire Police,SCT112,8,0,6,9,38,6,5,9,2,1,5
2012-07,Northamptonshire Police,SCT141,13,1,19,35,134,31,12,18,11,6,5
2012-07,Northamptonshire Police,SCT164,75,6,73,90,320,55,30,55,8,9,20
2012-07,Northamptonshire Police,SCT152,14,0,5,17,59,11,6,12,4,0,7
2012-07,Northamptonshire Police,SCT165,40,4,38,58,255,63,27,46,3,6,10
2012-07,Northamptonshire Police,SCT151,15,1,19,28,120,30,9,47,9,3,17
2012-07,Northamptonshire Police,SCT101,22,0,13,7,39,10,0,13,1,1,1
2012-07,Northamptonshire Police,SCT103,10,1,16,15,107,18,9,15,6,3,6
2012-07,Northamptonshire Police,SCT102,21,1,18,34,138,35,10,34,12,3,11
2012-07,Northamptonshire Police,SCT163,43,9,36,78,301,61,29,48,5,7,11
2012-07,Northamptonshire Police,SCT162,40,9,24,124,346,51,56,122,27,34,10
2012-07,Northamptonshire Police,SCT111,40,1,23,94,320,82,39,53,12,15,15
2012-07,Northamptonshire Police,SCT122,44,1,22,33,128,36,1,19,5,4,5
2012-07,Northamptonshire Police,SCT121,41,3,32,91,331,60,60,48,19,13,18
2012-07,Northamptonshire Police,SCT142,45,3,42,24,105,26,5,25,7,1,17
2012-07,Northamptonshire Police,SCT131,63,7,20,63,275,73,47,46,19,6,18
2012-07,Northamptonshire Police,SCT132,21,0,21,12,75,12,11,14,1,0,12
