Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-07,Suffolk Constabulary,bw1,15,0,9,17,41,12,0,9,4,2,4
2012-07,Suffolk Constabulary,ise1,12,4,11,27,108,47,14,19,4,11,8
2012-07,Suffolk Constabulary,lc1,0,0,0,0,0,0,0,0,0,0,0
2012-07,Suffolk Constabulary,h1,8,0,18,24,104,87,13,14,5,4,7
2012-07,Suffolk Constabulary,lad1,11,1,7,8,31,14,1,9,1,4,3
2012-07,Suffolk Constabulary,b1,11,0,8,17,55,11,2,22,6,6,3
2012-07,Suffolk Constabulary,ers1,6,0,2,8,29,8,0,7,0,1,4
2012-07,Suffolk Constabulary,ern1,11,0,7,12,52,13,0,17,4,3,2
2012-07,Suffolk Constabulary,saf1,12,0,7,10,50,8,1,25,4,2,2
2012-07,Suffolk Constabulary,msn1,5,0,6,8,32,8,1,18,1,1,3
2012-07,Suffolk Constabulary,s1,3,1,13,32,93,24,4,13,3,7,5
2012-07,Suffolk Constabulary,inw1,26,0,14,19,81,20,22,27,3,7,17
2012-07,Suffolk Constabulary,fd1,13,1,12,42,117,37,10,39,5,6,9
2012-07,Suffolk Constabulary,m1,28,1,11,17,62,9,3,10,9,7,7
2012-07,Suffolk Constabulary,sah1,4,0,2,16,41,14,2,62,4,1,2
2012-07,Suffolk Constabulary,isw1,23,2,17,65,190,34,15,31,11,19,20
2012-07,Suffolk Constabulary,be1,13,0,9,22,115,15,9,23,5,2,8
2012-07,Suffolk Constabulary,bc1,10,0,13,26,79,40,33,31,11,16,7
2012-07,Suffolk Constabulary,sgc1,7,0,3,49,106,14,4,16,7,11,3
2012-07,Suffolk Constabulary,msc1,7,0,4,6,18,2,1,10,0,3,0
2012-07,Suffolk Constabulary,ln1,24,1,20,65,218,70,25,58,15,18,19
2012-07,Suffolk Constabulary,wad1,14,0,12,18,83,13,4,15,2,2,5
2012-07,Suffolk Constabulary,bew1,7,0,5,20,105,19,10,18,9,15,7
2012-07,Suffolk Constabulary,ls1,45,1,17,65,172,48,29,33,16,15,10
2012-07,Suffolk Constabulary,n1,4,0,15,31,74,26,18,29,15,22,11
2012-07,Suffolk Constabulary,mss1,9,0,11,16,79,26,2,26,9,8,7
2012-07,Suffolk Constabulary,kad1,8,0,10,9,62,6,6,19,2,2,2
2012-07,Suffolk Constabulary,ic1,24,3,16,90,234,63,61,90,15,36,18
2012-07,Suffolk Constabulary,ine1,8,0,12,11,59,17,7,24,1,1,6
2012-07,Suffolk Constabulary,bb1,9,0,5,20,68,19,4,10,1,2,2
