Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-07,West Yorkshire Police,AAN_HP,45,7,15,25,111,23,3,32,12,8,7
2012-07,West Yorkshire Police,DA_CEN,43,1,24,85,273,61,63,95,32,30,31
2012-07,West Yorkshire Police,CAN_MOR,62,0,75,49,245,44,25,90,25,18,17
2012-07,West Yorkshire Police,BA_GH,41,5,12,55,220,38,34,52,12,10,13
2012-07,West Yorkshire Police,FAN_UCV,50,1,17,39,149,34,4,40,3,6,10
2012-07,West Yorkshire Police,AAN_WI,64,3,48,61,254,74,21,65,17,21,15
2012-07,West Yorkshire Police,AAN_WO,62,4,60,60,188,66,35,61,19,18,24
2012-07,West Yorkshire Police,BA_CA,20,5,25,18,92,25,2,29,14,6,3
2012-07,West Yorkshire Police,EA_SPN,68,3,33,42,164,42,18,47,8,9,14
2012-07,West Yorkshire Police,DA_CAS,38,0,29,55,146,43,38,56,9,11,22
2012-07,West Yorkshire Police,HAN_EC,76,3,64,51,279,44,18,38,7,21,16
2012-07,West Yorkshire Police,BA_BRH,41,8,37,38,134,51,12,32,14,12,8
2012-07,West Yorkshire Police,AAN_NI,85,5,41,32,153,56,33,87,11,16,15
2012-07,West Yorkshire Police,DA_RUR,19,0,25,35,119,38,5,29,7,8,13
2012-07,West Yorkshire Police,DA_PK,29,1,25,38,211,56,31,37,18,10,30
2012-07,West Yorkshire Police,DA_NF,35,0,21,35,209,35,15,40,6,5,5
2012-07,West Yorkshire Police,AAN_NOA,75,4,49,28,228,39,27,70,16,4,24
2012-07,West Yorkshire Police,EA_KDD,9,0,11,5,39,20,1,15,1,3,1
2012-07,West Yorkshire Police,CAN_CH,61,8,49,83,343,65,23,68,18,28,24
2012-07,West Yorkshire Police,DA_SE,35,0,19,35,209,45,16,38,13,2,3
2012-07,West Yorkshire Police,CAN_CITY,25,8,46,79,263,39,123,327,29,31,23
2012-07,West Yorkshire Police,HAN_KE,28,4,41,49,267,68,36,68,24,16,14
2012-07,West Yorkshire Police,GAN_04,56,4,46,25,142,44,9,45,13,10,15
2012-07,West Yorkshire Police,CAN_RTH,67,1,44,56,264,66,12,51,15,10,16
2012-07,West Yorkshire Police,EA_HS,103,11,47,102,316,110,79,141,28,39,37
2012-07,West Yorkshire Police,FAN_LCV,35,1,36,23,162,47,4,54,6,5,15
2012-07,West Yorkshire Police,HAN_BW,44,0,37,17,140,36,5,35,7,8,7
2012-07,West Yorkshire Police,EA_HN,54,4,37,39,152,38,22,52,19,13,29
2012-07,West Yorkshire Police,BA_CWT,32,5,30,37,142,42,31,40,8,6,15
2012-07,West Yorkshire Police,EA_VYS,44,2,41,43,139,61,11,62,9,12,11
2012-07,West Yorkshire Police,BA_WH,35,1,28,9,54,18,5,28,3,0,7
2012-07,West Yorkshire Police,EA_DM,62,1,49,84,304,103,40,75,33,27,26
2012-07,West Yorkshire Police,HAN_SBWW,49,1,23,32,155,33,21,36,9,7,7
2012-07,West Yorkshire Police,DA_NW,29,0,27,26,188,43,4,34,13,11,7
2012-07,West Yorkshire Police,EA_BBB,27,2,40,66,143,44,27,49,12,9,9
2012-07,West Yorkshire Police,BA_RAM,72,2,48,32,164,37,33,30,16,6,8
2012-07,West Yorkshire Police,BA_KS,30,0,17,32,158,43,22,50,13,8,13
2012-07,West Yorkshire Police,HAN_WC,28,0,20,11,53,22,10,21,3,0,2
2012-07,West Yorkshire Police,GAN_06,30,7,17,36,107,39,7,39,28,14,17
2012-07,West Yorkshire Police,GAN_05,56,1,37,43,136,57,17,59,19,11,18
2012-07,West Yorkshire Police,BA_GKSM,29,1,21,18,85,12,5,23,2,0,8
2012-07,West Yorkshire Police,GAN_03,78,2,24,30,106,40,11,40,20,9,16
2012-07,West Yorkshire Police,GAN_02,43,3,33,37,193,70,15,62,24,16,29
2012-07,West Yorkshire Police,GAN_01,28,17,46,77,123,32,78,107,46,39,32
2012-07,West Yorkshire Police,FAN_HO,60,2,28,42,182,50,14,44,10,9,13
2012-07,West Yorkshire Police,FAN_HI,65,4,47,75,259,67,35,108,24,14,29
2012-07,West Yorkshire Police,HAN_NB,68,4,53,30,238,44,10,60,9,9,19
