Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-07,Wiltshire Police,DN,8,0,14,26,104,22,21,27,4,7,12
2012-07,Wiltshire Police,DE,14,4,9,46,159,20,7,22,3,7,3
2012-07,Wiltshire Police,DC,17,2,18,45,169,47,19,37,9,4,15
2012-07,Wiltshire Police,DA,11,0,15,29,77,15,14,24,7,4,11
2012-07,Wiltshire Police,DW,12,0,14,30,81,24,11,28,3,9,7
2012-07,Wiltshire Police,DT,21,3,16,45,293,31,41,81,29,12,9
2012-07,Wiltshire Police,DS,16,0,16,12,62,18,8,17,7,3,5
2012-07,Wiltshire Police,EM,20,0,9,18,85,21,4,27,6,4,8
2012-07,Wiltshire Police,EL,10,0,3,20,51,6,1,15,1,2,3
2012-07,Wiltshire Police,EO,10,0,6,14,64,18,7,17,1,1,4
2012-07,Wiltshire Police,EN,12,0,5,16,59,14,2,7,7,3,6
2012-07,Wiltshire Police,EH,8,0,15,6,33,9,1,13,5,1,1
2012-07,Wiltshire Police,ED,18,0,10,27,104,20,15,21,5,2,4
2012-07,Wiltshire Police,EG,8,0,12,13,82,10,3,22,0,3,1
2012-07,Wiltshire Police,EF,12,0,6,13,39,12,1,8,0,2,2
2012-07,Wiltshire Police,EA,2,0,4,5,30,5,0,3,0,3,2
2012-07,Wiltshire Police,EC,5,0,7,1,22,10,2,9,5,0,2
2012-07,Wiltshire Police,EB,0,0,4,2,11,1,0,3,0,0,1
2012-07,Wiltshire Police,EY,8,0,2,7,35,8,3,25,31,1,3
2012-07,Wiltshire Police,EZ,22,0,5,36,142,22,5,24,5,3,5
2012-07,Wiltshire Police,EU,7,0,3,3,24,13,1,9,4,1,2
2012-07,Wiltshire Police,ET,25,0,23,59,226,35,29,39,4,6,7
2012-07,Wiltshire Police,EW,4,0,2,6,25,5,0,2,0,0,2
2012-07,Wiltshire Police,EV,3,0,1,3,14,2,1,3,0,0,2
2012-07,Wiltshire Police,EP,19,0,10,30,178,23,22,29,5,3,12
2012-07,Wiltshire Police,ES,18,0,14,35,225,43,43,45,13,3,17
2012-07,Wiltshire Police,ER,12,0,11,21,71,10,4,22,3,2,5
