Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-08,Kent Police,216,1,0,1,3,13,1,0,0,1,1,1
2012-08,Kent Police,217,5,0,0,6,11,3,0,2,2,2,1
2012-08,Kent Police,214,3,0,1,2,8,7,1,4,0,0,5
2012-08,Kent Police,215,5,0,3,3,16,3,3,3,1,1,1
2012-08,Kent Police,224,1,0,3,0,3,2,1,1,0,0,0
2012-08,Kent Police,126,2,2,1,12,51,7,11,6,1,1,0
2012-08,Kent Police,210,8,0,4,3,12,5,7,5,0,1,2
2012-08,Kent Police,127,1,1,2,4,7,1,0,2,0,0,0
2012-08,Kent Police,218,1,0,2,4,18,3,1,2,1,0,1
2012-08,Kent Police,219,0,0,0,0,8,2,0,2,2,1,0
2012-08,Kent Police,133,1,0,1,10,15,8,0,3,1,1,1
2012-08,Kent Police,91,0,0,0,3,4,1,4,1,0,0,1
2012-08,Kent Police,131,0,0,0,0,2,0,0,2,0,0,0
2012-08,Kent Police,130,0,0,1,4,16,1,0,3,0,1,0
2012-08,Kent Police,137,0,0,0,8,12,2,0,3,0,0,2
2012-08,Kent Police,136,8,7,5,47,74,22,17,31,6,4,4
2012-08,Kent Police,135,6,0,2,22,69,17,1,11,1,4,1
2012-08,Kent Police,165,8,0,7,9,33,9,4,5,3,0,1
2012-08,Kent Police,139,7,0,1,8,28,8,4,4,0,1,0
2012-08,Kent Police,41,3,0,3,3,6,1,0,3,0,0,1
2012-08,Kent Police,93,3,0,0,2,1,1,0,0,1,0,0
2012-08,Kent Police,149473,0,0,0,0,0,0,0,0,0,0,0
2012-08,Kent Police,25,0,0,2,6,6,1,1,5,0,0,2
2012-08,Kent Police,26,0,0,0,0,3,4,0,0,0,0,0
2012-08,Kent Police,167,1,0,6,2,18,3,2,4,0,2,0
2012-08,Kent Police,20,6,1,4,12,57,9,3,4,2,6,0
