Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-08,Norfolk Constabulary,D14,4,0,3,12,34,8,0,10,2,2,0
2012-08,Norfolk Constabulary,D15,9,0,5,3,40,8,1,6,0,1,2
2012-08,Norfolk Constabulary,G24,5,0,1,16,87,13,2,11,1,5,1
2012-08,Norfolk Constabulary,G25,6,0,4,13,49,9,2,12,4,2,3
2012-08,Norfolk Constabulary,G22,3,0,1,15,41,5,5,10,6,0,2
2012-08,Norfolk Constabulary,D11,4,0,2,9,53,4,5,2,3,1,2
2012-08,Norfolk Constabulary,D12,4,0,4,16,57,8,3,6,5,0,3
2012-08,Norfolk Constabulary,D13,3,0,5,2,28,7,1,7,0,1,0
2012-08,Norfolk Constabulary,E11,3,0,5,5,34,5,0,3,0,1,2
2012-08,Norfolk Constabulary,E13,1,0,0,2,26,8,1,0,1,1,1
2012-08,Norfolk Constabulary,E12,5,0,4,11,38,9,2,4,0,0,1
2012-08,Norfolk Constabulary,E14,3,0,7,11,31,11,4,13,3,2,2
2012-08,Norfolk Constabulary,F21,24,1,21,71,262,47,20,33,17,4,12
2012-08,Norfolk Constabulary,B12,1,0,0,22,45,8,5,6,7,3,3
2012-08,Norfolk Constabulary,B13,5,0,5,8,52,6,4,6,2,2,2
2012-08,Norfolk Constabulary,B11,10,0,6,25,130,29,11,14,7,9,5
2012-08,Norfolk Constabulary,C13,3,1,1,5,44,8,4,5,6,1,0
2012-08,Norfolk Constabulary,C12,4,0,3,6,33,10,4,2,1,0,1
2012-08,Norfolk Constabulary,C11,1,0,3,4,21,4,1,10,2,0,0
2012-08,Norfolk Constabulary,G23,2,0,1,3,30,5,0,1,0,0,1
2012-08,Norfolk Constabulary,A33,10,0,5,12,104,7,4,13,1,2,3
2012-08,Norfolk Constabulary,A32,4,0,4,2,30,3,0,8,1,0,1
2012-08,Norfolk Constabulary,A31,10,1,5,5,50,7,0,15,4,2,2
2012-08,Norfolk Constabulary,G14,16,0,1,75,247,38,33,23,14,14,9
2012-08,Norfolk Constabulary,A11,8,1,4,18,88,11,2,19,3,2,3
2012-08,Norfolk Constabulary,E22,4,1,2,7,27,4,0,7,4,1,3
2012-08,Norfolk Constabulary,A13,0,0,0,4,6,1,1,0,0,0,0
2012-08,Norfolk Constabulary,A12,3,0,1,8,26,8,1,3,3,0,0
2012-08,Norfolk Constabulary,G21,2,0,5,4,35,6,1,9,0,1,1
2012-08,Norfolk Constabulary,C22,3,0,2,19,74,7,3,5,3,4,0
2012-08,Norfolk Constabulary,C23,3,0,1,19,71,17,2,5,2,1,7
2012-08,Norfolk Constabulary,C21,3,1,2,12,30,3,0,4,1,2,0
2012-08,Norfolk Constabulary,E21,5,0,9,11,35,15,5,4,1,0,0
2012-08,Norfolk Constabulary,C24,7,0,7,8,43,14,0,17,1,1,1
2012-08,Norfolk Constabulary,E23,5,0,5,11,65,4,0,8,5,0,1
2012-08,Norfolk Constabulary,D21,2,0,1,3,23,6,1,8,0,2,0
2012-08,Norfolk Constabulary,D23,8,0,1,2,44,6,1,4,1,0,1
2012-08,Norfolk Constabulary,D22,4,0,3,17,65,16,6,10,4,4,6
2012-08,Norfolk Constabulary,F31,27,1,15,81,414,50,97,90,25,18,15
2012-08,Norfolk Constabulary,F11,15,0,13,43,160,32,5,18,16,3,6
2012-08,Norfolk Constabulary,G13,2,0,1,16,86,6,6,12,1,4,1
2012-08,Norfolk Constabulary,G12,4,0,5,18,64,9,0,13,2,1,0
2012-08,Norfolk Constabulary,G11,2,0,2,5,21,4,1,5,0,0,0
2012-08,Norfolk Constabulary,A21,6,0,2,28,137,20,12,29,19,4,16
2012-08,Norfolk Constabulary,A22,10,0,2,34,109,19,4,17,6,3,3
2012-08,Norfolk Constabulary,A23,3,0,7,8,36,9,10,3,1,1,6
2012-08,Norfolk Constabulary,F41,12,0,7,31,176,27,8,39,11,2,6
2012-08,Norfolk Constabulary,B22,8,0,3,9,59,5,3,7,5,2,0
2012-08,Norfolk Constabulary,B21,8,2,12,32,193,37,10,19,16,8,13
