Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-09,Essex Police,133,7,1,11,17,47,12,3,5,0,4,2
2012-09,Essex Police,132,8,0,17,8,28,4,2,12,3,1,1
2012-09,Essex Police,131,15,1,13,7,19,3,0,3,3,1,4
2012-09,Essex Police,130,6,3,24,9,54,12,7,13,4,2,3
2012-09,Essex Police,137,8,3,11,24,62,12,6,29,3,4,2
2012-09,Essex Police,136,11,7,6,41,95,24,58,39,7,10,9
2012-09,Essex Police,135,17,0,9,17,20,6,1,12,3,8,10
2012-09,Essex Police,134,8,0,10,8,9,1,1,7,0,0,2
2012-09,Essex Police,139,4,1,6,14,29,7,3,6,3,3,4
2012-09,Essex Police,138,14,1,8,11,53,10,7,13,4,4,4
2012-09,Essex Police,24,4,0,2,4,21,5,3,13,2,1,0
2012-09,Essex Police,25,4,0,4,3,12,5,0,24,0,0,1
2012-09,Essex Police,26,4,0,4,13,29,9,10,9,2,4,10
2012-09,Essex Police,27,4,0,11,5,8,1,0,3,1,0,1
2012-09,Essex Police,20,0,0,3,1,12,1,0,3,1,0,2
2012-09,Essex Police,21,12,0,7,17,23,8,9,12,1,3,5
2012-09,Essex Police,22,10,0,10,10,51,18,1,6,2,4,4
2012-09,Essex Police,23,13,0,6,9,18,8,1,10,1,0,7
2012-09,Essex Police,28,1,0,1,3,6,3,0,7,0,0,0
2012-09,Essex Police,29,4,0,6,4,13,1,0,3,0,0,3
2012-09,Essex Police,4,9,0,4,3,7,5,0,6,2,0,1
2012-09,Essex Police,8,7,0,3,3,9,9,0,1,0,0,1
2012-09,Essex Police,120,9,0,8,5,18,3,3,5,0,1,2
2012-09,Essex Police,121,12,0,18,7,25,10,0,2,0,0,0
2012-09,Essex Police,122,5,0,2,4,2,2,0,2,0,0,1
2012-09,Essex Police,123,9,0,7,21,43,10,9,18,1,8,1
2012-09,Essex Police,124,14,0,12,14,58,9,7,14,4,1,3
2012-09,Essex Police,125,27,0,25,8,27,10,2,25,3,1,4
2012-09,Essex Police,126,14,1,16,8,28,12,3,12,3,4,9
2012-09,Essex Police,127,17,1,20,20,44,17,9,13,1,1,5
2012-09,Essex Police,128,5,0,5,9,17,9,1,7,1,0,3
2012-09,Essex Police,129,11,1,29,23,53,11,8,24,0,5,11
2012-09,Essex Police,59,0,0,0,0,0,0,2,3,0,0,1
2012-09,Essex Police,58,7,3,13,25,54,15,17,24,5,2,10
2012-09,Essex Police,55,5,0,2,4,5,2,0,1,0,0,3
2012-09,Essex Police,54,2,0,1,1,7,1,0,1,0,0,0
2012-09,Essex Police,57,28,3,10,57,97,30,41,47,10,4,5
2012-09,Essex Police,56,15,4,9,39,95,21,6,10,6,7,3
2012-09,Essex Police,51,18,1,5,26,57,16,4,19,5,2,4
2012-09,Essex Police,50,5,0,1,6,17,13,1,9,0,0,0
2012-09,Essex Police,53,3,0,3,3,10,9,0,5,0,0,0
2012-09,Essex Police,52,3,0,2,2,4,2,0,0,1,0,0
2012-09,Essex Police,115,9,1,4,6,13,8,4,6,1,1,3
2012-09,Essex Police,114,7,6,2,21,48,17,8,23,1,9,7
2012-09,Essex Police,88,9,1,5,9,49,8,2,5,2,1,3
2012-09,Essex Police,89,8,1,12,24,83,25,5,14,1,3,2
2012-09,Essex Police,111,6,3,18,9,30,10,2,13,3,2,6
2012-09,Essex Police,110,14,1,22,26,40,4,40,28,1,5,18
2012-09,Essex Police,113,11,0,6,4,19,3,3,2,1,1,0
2012-09,Essex Police,112,15,0,10,5,48,9,0,7,0,1,3
2012-09,Essex Police,82,0,0,1,7,10,2,0,4,0,0,1
2012-09,Essex Police,83,1,0,0,3,7,2,0,1,0,1,0
2012-09,Essex Police,80,10,0,1,9,50,9,8,10,5,2,2
2012-09,Essex Police,81,4,0,3,6,17,1,3,9,0,0,1
2012-09,Essex Police,86,18,1,26,14,57,20,10,24,3,3,9
2012-09,Essex Police,87,20,4,14,26,100,29,4,28,8,7,10
2012-09,Essex Police,84,2,0,0,2,18,2,0,1,0,0,1
2012-09,Essex Police,85,39,6,14,95,284,66,43,97,24,20,17
2012-09,Essex Police,3,8,0,3,1,22,7,1,4,0,0,1
2012-09,Essex Police,7,10,0,5,7,21,8,0,4,1,1,2
2012-09,Essex Police,108,11,2,13,10,35,17,0,5,2,1,2
2012-09,Essex Police,109,9,0,9,11,16,7,2,11,2,0,8
2012-09,Essex Police,102,9,2,7,22,59,18,42,36,10,4,7
2012-09,Essex Police,103,10,1,14,10,27,6,0,11,4,3,3
2012-09,Essex Police,100,18,1,12,30,61,21,8,30,3,4,7
2012-09,Essex Police,101,7,1,14,22,40,8,4,4,2,1,0
2012-09,Essex Police,106,14,1,7,7,27,9,1,9,1,1,3
2012-09,Essex Police,107,9,1,22,13,35,5,3,7,3,3,2
2012-09,Essex Police,104,13,0,9,19,57,14,4,7,2,1,3
2012-09,Essex Police,105,2,0,1,6,14,5,2,2,1,1,1
2012-09,Essex Police,39,19,3,8,55,95,18,56,77,12,15,11
2012-09,Essex Police,38,6,0,1,1,3,2,0,2,1,0,0
2012-09,Essex Police,33,6,0,4,2,8,3,0,1,0,1,0
2012-09,Essex Police,32,8,0,4,13,22,9,2,13,5,3,2
2012-09,Essex Police,31,5,0,6,4,10,4,0,14,2,0,2
2012-09,Essex Police,30,4,0,2,6,20,3,5,3,2,1,1
2012-09,Essex Police,37,14,0,13,4,22,12,0,11,3,1,9
2012-09,Essex Police,36,7,0,3,9,13,3,0,7,1,0,0
2012-09,Essex Police,35,2,0,3,10,25,14,2,5,1,0,3
2012-09,Essex Police,34,1,0,0,2,6,0,0,1,0,0,0
2012-09,Essex Police,60,1,0,2,4,16,3,2,0,0,1,1
2012-09,Essex Police,61,2,0,0,7,16,2,3,9,2,1,0
2012-09,Essex Police,62,4,0,3,0,4,1,0,2,0,0,1
2012-09,Essex Police,63,5,1,0,8,17,3,1,4,1,0,3
2012-09,Essex Police,64,10,1,4,12,14,7,0,5,0,0,1
2012-09,Essex Police,65,6,0,15,3,17,5,3,4,1,2,0
2012-09,Essex Police,66,0,0,0,2,2,1,0,0,0,0,0
2012-09,Essex Police,67,0,0,0,0,2,1,0,2,0,0,0
2012-09,Essex Police,68,0,0,0,2,5,2,0,3,0,0,0
2012-09,Essex Police,69,3,0,1,2,3,2,0,2,0,0,3
2012-09,Essex Police,2,4,0,4,6,29,6,6,9,2,2,3
2012-09,Essex Police,6,10,0,9,5,28,4,6,8,1,2,2
2012-09,Essex Police,99,10,0,15,25,47,13,3,17,6,1,2
2012-09,Essex Police,98,10,3,13,21,41,14,11,10,2,2,7
2012-09,Essex Police,91,3,1,5,1,16,3,12,2,1,1,2
2012-09,Essex Police,90,34,5,30,22,74,20,5,33,3,6,3
2012-09,Essex Police,93,2,0,11,4,11,4,0,4,0,1,0
2012-09,Essex Police,92,0,0,10,2,21,7,3,6,0,3,0
2012-09,Essex Police,95,2,0,2,3,13,3,7,1,0,0,1
2012-09,Essex Police,94,7,0,7,3,13,5,0,6,0,0,0
2012-09,Essex Police,97,4,0,3,8,18,2,0,5,0,0,2
2012-09,Essex Police,96,1,0,4,4,18,3,2,10,1,0,3
2012-09,Essex Police,11,8,0,4,4,13,1,0,1,1,0,0
2012-09,Essex Police,10,4,0,0,1,13,3,0,0,1,0,0
2012-09,Essex Police,13,2,0,3,6,6,1,1,5,0,0,0
2012-09,Essex Police,12,4,0,0,1,5,1,2,1,1,0,1
2012-09,Essex Police,15,6,2,2,41,74,16,53,60,4,11,9
2012-09,Essex Police,14,6,0,0,11,13,4,0,8,2,2,4
2012-09,Essex Police,17,3,1,2,5,18,5,2,4,1,0,1
2012-09,Essex Police,16,2,0,2,2,15,2,0,8,0,1,1
2012-09,Essex Police,19,1,0,2,4,26,4,0,7,0,3,0
2012-09,Essex Police,18,20,0,5,32,73,17,3,33,6,5,2
2012-09,Essex Police,117,15,0,18,18,41,15,3,8,2,0,4
2012-09,Essex Police,116,2,0,5,7,7,2,4,4,0,1,1
2012-09,Essex Police,41,13,0,8,21,52,16,9,10,1,6,5
2012-09,Essex Police,48,7,0,0,7,11,5,1,3,0,2,1
2012-09,Essex Police,49,14,4,7,31,71,26,7,16,5,8,5
2012-09,Essex Police,46,2,0,2,4,21,18,6,1,0,0,3
2012-09,Essex Police,119,6,0,5,6,15,6,1,3,0,0,2
2012-09,Essex Police,44,0,0,0,7,6,1,0,0,0,1,0
2012-09,Essex Police,45,3,0,2,6,21,5,4,1,0,1,1
2012-09,Essex Police,42,0,0,0,1,6,1,0,0,0,0,0
2012-09,Essex Police,43,3,0,1,8,9,3,1,7,1,0,2
2012-09,Essex Police,40,17,2,11,21,65,22,8,15,5,3,1
2012-09,Essex Police,118,7,0,5,17,28,5,2,7,3,3,0
2012-09,Essex Police,1,16,0,9,19,50,15,6,18,3,2,3
2012-09,Essex Police,5,9,0,5,17,33,6,4,5,2,2,0
2012-09,Essex Police,9,7,0,4,10,36,8,5,12,1,6,1
2012-09,Essex Police,145,13,1,6,23,53,11,0,14,1,2,2
2012-09,Essex Police,142,0,0,0,0,0,1,0,0,0,1,0
2012-09,Essex Police,140,11,3,9,6,57,16,12,11,2,2,0
2012-09,Essex Police,141,0,0,2,2,28,2,13,25,3,21,3
2012-09,Essex Police,77,4,0,1,2,16,8,4,6,3,1,2
2012-09,Essex Police,76,4,0,4,5,22,5,1,8,3,3,2
