Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-09,Hertfordshire Constabulary,24,4,2,7,7,23,11,0,9,7,0,1
2012-09,Hertfordshire Constabulary,25,3,2,11,13,31,5,6,10,8,0,5
2012-09,Hertfordshire Constabulary,26,3,0,10,12,21,3,8,9,9,0,5
2012-09,Hertfordshire Constabulary,27,3,0,3,8,56,9,3,13,4,1,3
2012-09,Hertfordshire Constabulary,21,11,0,4,56,87,21,54,65,25,2,18
2012-09,Hertfordshire Constabulary,22,3,1,3,1,18,1,1,3,5,0,2
2012-09,Hertfordshire Constabulary,23,9,1,6,24,46,26,1,10,4,0,12
2012-09,Hertfordshire Constabulary,28,2,1,2,3,12,6,3,3,4,0,0
2012-09,Hertfordshire Constabulary,29,3,0,7,2,2,1,0,3,1,0,0
2012-09,Hertfordshire Constabulary,4,2,0,10,16,33,15,15,11,4,0,6
2012-09,Hertfordshire Constabulary,8,3,0,8,2,9,8,0,7,3,0,2
2012-09,Hertfordshire Constabulary,59,1,0,3,1,1,0,0,2,0,0,0
2012-09,Hertfordshire Constabulary,58,4,0,7,5,10,6,0,1,2,0,1
2012-09,Hertfordshire Constabulary,55,0,0,1,1,1,1,0,0,2,0,0
2012-09,Hertfordshire Constabulary,54,7,3,12,23,69,12,17,35,5,0,11
2012-09,Hertfordshire Constabulary,57,1,1,12,5,18,8,1,10,10,1,3
2012-09,Hertfordshire Constabulary,56,4,0,3,14,17,6,7,14,11,1,5
2012-09,Hertfordshire Constabulary,51,5,0,2,11,32,11,4,8,4,0,11
2012-09,Hertfordshire Constabulary,50,3,1,3,6,16,3,5,9,4,2,4
2012-09,Hertfordshire Constabulary,53,2,0,2,9,30,4,2,8,2,0,2
2012-09,Hertfordshire Constabulary,52,2,0,2,1,25,1,4,1,0,0,4
2012-09,Hertfordshire Constabulary,88,8,0,3,5,21,4,4,6,4,0,5
2012-09,Hertfordshire Constabulary,89,1,1,6,9,28,18,3,7,2,0,3
2012-09,Hertfordshire Constabulary,82,5,0,4,2,12,5,1,3,2,0,3
2012-09,Hertfordshire Constabulary,83,3,0,6,6,24,3,1,11,3,0,8
2012-09,Hertfordshire Constabulary,80,8,0,1,9,33,7,2,7,2,0,7
2012-09,Hertfordshire Constabulary,81,2,0,2,7,33,9,0,5,5,0,3
2012-09,Hertfordshire Constabulary,86,4,0,1,3,5,5,1,2,0,0,1
2012-09,Hertfordshire Constabulary,87,9,0,4,5,18,1,0,7,3,0,1
2012-09,Hertfordshire Constabulary,84,7,2,6,15,65,23,7,13,4,0,3
2012-09,Hertfordshire Constabulary,85,5,0,5,4,19,6,2,5,4,0,6
2012-09,Hertfordshire Constabulary,3,2,0,10,6,22,12,0,5,2,0,7
2012-09,Hertfordshire Constabulary,7,8,0,5,3,7,11,0,4,5,0,0
2012-09,Hertfordshire Constabulary,39,5,0,12,6,28,4,2,7,7,0,5
2012-09,Hertfordshire Constabulary,38,7,0,4,12,69,18,1,7,3,0,4
2012-09,Hertfordshire Constabulary,33,3,0,3,6,12,6,5,7,2,0,2
2012-09,Hertfordshire Constabulary,32,0,1,3,6,23,2,5,2,3,0,1
2012-09,Hertfordshire Constabulary,31,6,0,3,5,44,5,2,9,9,0,4
2012-09,Hertfordshire Constabulary,30,8,0,3,9,50,9,4,3,9,0,4
2012-09,Hertfordshire Constabulary,37,6,0,1,8,34,7,2,5,6,0,3
2012-09,Hertfordshire Constabulary,36,6,1,10,14,65,13,7,12,6,0,13
2012-09,Hertfordshire Constabulary,35,11,0,6,25,83,13,14,24,8,2,15
2012-09,Hertfordshire Constabulary,34,10,0,4,10,0,14,1,11,3,1,1
2012-09,Hertfordshire Constabulary,60,6,0,5,2,10,3,2,4,1,2,0
2012-09,Hertfordshire Constabulary,61,0,0,6,5,19,2,0,3,3,0,1
2012-09,Hertfordshire Constabulary,62,3,0,4,11,25,5,2,4,0,0,4
2012-09,Hertfordshire Constabulary,63,6,0,2,0,3,0,0,1,1,0,1
2012-09,Hertfordshire Constabulary,64,0,0,3,8,10,1,0,3,2,0,2
2012-09,Hertfordshire Constabulary,65,4,0,7,1,9,6,1,4,5,0,6
2012-09,Hertfordshire Constabulary,66,11,1,3,21,38,8,14,10,5,1,4
2012-09,Hertfordshire Constabulary,67,9,0,2,9,30,4,1,7,4,0,3
2012-09,Hertfordshire Constabulary,68,2,0,7,5,21,4,0,11,8,0,6
2012-09,Hertfordshire Constabulary,69,5,1,9,14,63,14,8,14,7,0,17
2012-09,Hertfordshire Constabulary,2,0,0,3,5,14,2,0,2,2,1,2
2012-09,Hertfordshire Constabulary,6,1,0,2,3,12,2,0,6,1,0,1
2012-09,Hertfordshire Constabulary,91,6,0,1,4,19,7,0,6,6,1,4
2012-09,Hertfordshire Constabulary,90,6,0,6,6,24,8,2,6,1,1,10
2012-09,Hertfordshire Constabulary,93,2,0,7,7,19,7,1,4,0,0,2
2012-09,Hertfordshire Constabulary,92,5,0,2,1,10,3,0,4,3,0,0
2012-09,Hertfordshire Constabulary,95,0,0,1,2,2,0,0,1,0,0,0
2012-09,Hertfordshire Constabulary,94,2,0,5,1,9,5,0,5,0,0,0
2012-09,Hertfordshire Constabulary,11,3,0,2,2,16,3,0,6,1,0,1
2012-09,Hertfordshire Constabulary,10,7,1,6,10,46,6,3,12,4,0,2
2012-09,Hertfordshire Constabulary,13,1,0,4,0,10,3,0,5,1,0,0
2012-09,Hertfordshire Constabulary,12,6,0,7,5,8,6,0,4,0,0,0
2012-09,Hertfordshire Constabulary,15,4,2,6,10,36,7,0,6,2,0,5
2012-09,Hertfordshire Constabulary,14,5,0,5,5,22,3,0,4,1,0,2
2012-09,Hertfordshire Constabulary,17,2,0,3,3,26,2,0,5,4,0,1
2012-09,Hertfordshire Constabulary,16,4,0,2,10,42,8,0,12,6,0,5
2012-09,Hertfordshire Constabulary,19,5,2,2,6,32,2,2,3,2,0,3
2012-09,Hertfordshire Constabulary,18,7,0,10,2,34,5,5,15,3,0,6
2012-09,Hertfordshire Constabulary,48,4,1,3,9,42,11,1,6,2,0,5
2012-09,Hertfordshire Constabulary,49,5,0,2,7,31,8,8,9,6,0,4
2012-09,Hertfordshire Constabulary,46,3,1,4,16,34,5,1,3,3,0,1
2012-09,Hertfordshire Constabulary,47,6,0,3,11,34,5,0,3,4,0,5
2012-09,Hertfordshire Constabulary,44,4,0,3,48,67,17,30,41,11,0,14
2012-09,Hertfordshire Constabulary,45,7,0,11,32,51,13,6,32,4,1,10
2012-09,Hertfordshire Constabulary,42,2,0,7,1,8,6,1,2,0,0,1
2012-09,Hertfordshire Constabulary,43,4,0,3,8,20,9,2,4,2,0,3
2012-09,Hertfordshire Constabulary,40,3,0,6,8,25,8,2,5,7,1,5
2012-09,Hertfordshire Constabulary,41,4,1,5,6,15,4,2,1,4,0,1
2012-09,Hertfordshire Constabulary,5,3,0,4,14,33,13,10,12,11,0,6
2012-09,Hertfordshire Constabulary,9,7,0,5,10,46,13,14,8,5,0,7
2012-09,Hertfordshire Constabulary,77,2,0,3,12,54,4,13,17,1,0,17
2012-09,Hertfordshire Constabulary,76,14,2,10,18,45,6,14,19,12,3,3
2012-09,Hertfordshire Constabulary,75,10,1,5,17,43,13,12,13,10,0,9
2012-09,Hertfordshire Constabulary,74,5,0,4,6,21,4,0,3,7,1,3
2012-09,Hertfordshire Constabulary,73,7,1,11,24,96,16,0,9,2,1,6
2012-09,Hertfordshire Constabulary,72,6,0,2,9,70,15,5,10,1,1,5
2012-09,Hertfordshire Constabulary,71,1,1,5,14,58,7,6,5,5,0,2
2012-09,Hertfordshire Constabulary,70,11,2,13,13,43,9,5,14,5,2,8
2012-09,Hertfordshire Constabulary,79,5,0,3,3,16,5,0,4,0,0,4
