Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-09,North Wales Police,GSW08,1,0,0,0,0,1,0,0,0,0,0
2012-09,North Wales Police,GSW09,0,0,0,0,1,0,0,0,0,0,0
2012-09,North Wales Police,FSW14,0,0,1,0,2,0,0,0,0,1,0
2012-09,North Wales Police,YMW19,0,0,0,2,2,0,0,1,0,0,0
2012-09,North Wales Police,YMW18,0,0,0,1,1,0,0,0,0,0,2
2012-09,North Wales Police,YMW17,0,0,0,1,1,1,0,2,0,0,0
2012-09,North Wales Police,GSW01,0,0,0,0,6,2,0,1,0,0,1
2012-09,North Wales Police,GSW02,1,0,1,0,0,1,0,0,0,0,0
2012-09,North Wales Police,FSW15,1,0,0,1,6,1,1,0,0,0,0
2012-09,North Wales Police,GSW04,0,0,1,2,4,1,0,1,1,0,0
2012-09,North Wales Police,GSW05,1,0,0,1,0,0,0,1,0,0,0
2012-09,North Wales Police,GSW06,2,0,1,0,1,1,0,1,0,0,0
2012-09,North Wales Police,GSW07,0,0,0,0,0,1,0,1,0,0,0
2012-09,North Wales Police,CRW18,0,0,0,0,0,2,0,1,0,0,0
2012-09,North Wales Police,CRW19,0,0,0,0,2,0,0,1,0,0,0
2012-09,North Wales Police,CRW14,1,0,1,1,10,2,0,7,2,2,1
2012-09,North Wales Police,CRW15,3,0,1,1,2,1,0,1,0,0,0
2012-09,North Wales Police,CRW16,2,0,1,3,6,2,0,2,1,0,0
2012-09,North Wales Police,CRW17,0,0,0,1,2,0,0,0,0,0,0
2012-09,North Wales Police,CRW10,1,0,0,0,4,0,0,1,0,1,0
2012-09,North Wales Police,CRW11,1,0,0,6,16,0,1,5,0,0,1
2012-09,North Wales Police,CRW12,1,0,0,0,0,0,0,1,0,0,0
2012-09,North Wales Police,CRW13,1,0,1,1,5,0,0,2,0,0,0
2012-09,North Wales Police,YMW31,0,0,0,1,1,0,0,1,0,0,0
2012-09,North Wales Police,YMW16,1,0,0,0,4,0,0,0,0,1,0
2012-09,North Wales Police,YMW14,0,0,0,0,3,3,0,0,0,0,0
2012-09,North Wales Police,YMW15,1,0,0,0,10,1,0,0,0,0,0
2012-09,North Wales Police,YMW08,0,0,0,0,4,0,0,1,0,0,0
2012-09,North Wales Police,WXW05,1,0,1,4,15,5,0,2,1,0,0
2012-09,North Wales Police,GSW03,0,0,2,3,4,1,0,1,0,1,0
2012-09,North Wales Police,WCW06,3,0,0,11,30,10,4,4,2,1,0
2012-09,North Wales Police,YMW01,0,0,2,3,3,1,0,0,0,1,0
2012-09,North Wales Police,YMW02,0,0,0,0,6,3,0,1,0,0,0
2012-09,North Wales Police,YMW03,1,0,0,8,20,3,1,1,0,1,1
2012-09,North Wales Police,YMW04,0,0,0,1,2,4,0,1,0,0,0
2012-09,North Wales Police,YMW05,1,0,0,2,14,5,0,1,6,1,0
2012-09,North Wales Police,YMW06,0,0,0,1,3,1,0,1,0,0,0
2012-09,North Wales Police,YMW07,0,0,0,4,8,4,4,0,0,0,0
2012-09,North Wales Police,GNW25,0,0,1,0,3,0,0,0,0,0,0
2012-09,North Wales Police,GNW24,0,0,0,0,1,0,0,0,0,0,0
2012-09,North Wales Police,GNW27,0,1,0,0,6,0,0,1,0,0,0
2012-09,North Wales Police,GNW26,0,0,0,0,3,0,0,1,2,1,0
2012-09,North Wales Police,GNW21,0,0,1,7,9,3,0,0,1,0,1
2012-09,North Wales Police,GNW20,0,0,1,0,9,3,2,2,2,0,0
2012-09,North Wales Police,GNW23,1,0,1,1,4,0,0,0,0,1,0
2012-09,North Wales Police,GNW22,3,0,0,4,10,3,2,7,1,2,0
2012-09,North Wales Police,YMW10,0,0,0,3,11,0,0,2,0,1,1
2012-09,North Wales Police,GNW29,0,0,0,3,4,0,0,1,0,0,0
2012-09,North Wales Police,GNW28,0,0,1,0,0,0,0,0,0,0,0
2012-09,North Wales Police,GNW14,0,0,0,5,7,3,1,0,0,0,1
2012-09,North Wales Police,WCW22,0,0,0,2,5,0,0,2,0,0,0
2012-09,North Wales Police,WXW04,1,0,2,1,4,4,10,2,0,0,0
2012-09,North Wales Police,WXW07,1,0,1,8,35,20,4,5,3,1,0
2012-09,North Wales Police,WXW06,4,2,0,6,15,1,6,3,1,0,1
2012-09,North Wales Police,WXW01,0,0,1,2,5,1,0,1,0,1,0
2012-09,North Wales Police,WXW03,3,0,1,11,23,6,2,10,3,2,3
2012-09,North Wales Police,WXW02,4,0,3,10,37,7,7,5,1,8,2
2012-09,North Wales Police,WXW09,0,0,3,3,19,10,0,3,1,1,0
2012-09,North Wales Police,WXW08,8,0,6,8,40,4,7,5,0,6,4
2012-09,North Wales Police,YMW33,0,0,0,1,4,0,0,0,0,0,0
2012-09,North Wales Police,YMW24,0,0,0,3,5,0,0,1,0,1,0
2012-09,North Wales Police,GNW18,0,0,0,0,6,3,0,1,0,0,0
2012-09,North Wales Police,GNW15,0,0,0,0,0,3,0,1,0,0,0
2012-09,North Wales Police,WRW20,0,0,2,0,3,6,0,2,0,1,0
2012-09,North Wales Police,GNW19,0,0,3,4,10,2,2,1,0,0,0
2012-09,North Wales Police,YMW22,0,0,0,0,1,0,0,1,0,0,0
2012-09,North Wales Police,FSW07,0,0,0,1,0,0,0,0,0,0,0
2012-09,North Wales Police,YMW23,0,0,0,2,1,0,0,1,1,0,0
2012-09,North Wales Police,FSW06,0,0,1,0,1,1,0,0,0,0,0
2012-09,North Wales Police,YMW32,0,0,0,0,4,0,0,1,0,1,1
2012-09,North Wales Police,YMW36,0,0,0,1,5,0,0,0,0,1,0
2012-09,North Wales Police,FNW06,2,0,5,1,7,16,2,6,0,0,1
2012-09,North Wales Police,GNW30,0,0,6,2,6,1,1,2,0,1,0
2012-09,North Wales Police,FSW08,1,0,1,1,12,1,0,0,0,0,5
2012-09,North Wales Police,WCW20,1,0,1,5,19,2,1,2,0,1,0
2012-09,North Wales Police,GNW16,0,0,0,4,3,1,0,0,0,0,0
2012-09,North Wales Police,WXW16,1,0,0,1,2,2,0,1,0,0,0
2012-09,North Wales Police,WXW17,1,0,0,0,4,2,2,2,0,1,0
2012-09,North Wales Police,WXW14,3,0,0,1,3,1,0,2,0,0,2
