Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-10,Derbyshire Constabulary,BX02,2,0,10,8,31,6,2,3,1,0,1
2012-10,Derbyshire Constabulary,BX03,3,0,7,4,16,6,2,1,0,0,0
2012-10,Derbyshire Constabulary,BX01,3,0,3,0,11,3,0,4,0,0,0
2012-10,Derbyshire Constabulary,BX06,1,0,4,6,21,7,0,4,3,3,0
2012-10,Derbyshire Constabulary,BX07,0,0,0,0,7,0,0,1,0,0,1
2012-10,Derbyshire Constabulary,BX04,2,0,1,3,6,3,0,1,1,0,0
2012-10,Derbyshire Constabulary,BX05,11,0,10,26,61,15,9,13,6,3,4
2012-10,Derbyshire Constabulary,DL04,10,1,7,19,36,10,12,10,7,2,3
2012-10,Derbyshire Constabulary,DL05,10,1,10,17,45,18,3,9,4,2,1
2012-10,Derbyshire Constabulary,DL06,4,0,13,13,34,8,11,7,3,3,1
2012-10,Derbyshire Constabulary,DL01,2,0,11,6,26,1,5,3,0,1,2
2012-10,Derbyshire Constabulary,DL02,6,0,3,5,20,1,1,4,1,0,3
2012-10,Derbyshire Constabulary,DL03,3,0,4,7,32,9,3,5,0,1,1
2012-10,Derbyshire Constabulary,DK03,7,0,1,11,18,7,4,5,1,3,1
2012-10,Derbyshire Constabulary,DK02,13,0,2,8,41,3,1,4,6,2,2
2012-10,Derbyshire Constabulary,DK01,7,0,2,5,13,3,0,4,1,0,2
2012-10,Derbyshire Constabulary,DK05,4,0,3,9,28,9,3,6,2,0,1
2012-10,Derbyshire Constabulary,DK04,14,0,4,20,60,22,14,7,6,2,4
2012-10,Derbyshire Constabulary,DW05,11,3,13,26,93,15,4,9,5,4,1
2012-10,Derbyshire Constabulary,DW04,23,3,12,35,148,17,6,13,9,1,9
2012-10,Derbyshire Constabulary,DW03,16,3,14,19,91,19,13,13,3,2,5
2012-10,Derbyshire Constabulary,DW02,12,0,11,21,55,20,5,13,3,4,5
2012-10,Derbyshire Constabulary,CB07,9,0,5,7,55,4,5,16,6,1,0
2012-10,Derbyshire Constabulary,CB05,10,0,16,23,53,13,2,11,2,2,1
2012-10,Derbyshire Constabulary,CB04,4,0,1,8,39,16,2,5,0,2,0
2012-10,Derbyshire Constabulary,CB03,5,0,7,7,30,5,7,4,3,1,1
2012-10,Derbyshire Constabulary,CT04,3,0,3,4,28,2,0,5,1,0,1
2012-10,Derbyshire Constabulary,CB01,4,0,0,2,8,1,1,1,0,0,1
2012-10,Derbyshire Constabulary,CV10,3,0,3,6,54,14,8,5,0,0,0
2012-10,Derbyshire Constabulary,CV11,6,1,3,4,34,8,0,5,1,1,0
2012-10,Derbyshire Constabulary,CV12,7,0,2,1,16,4,0,6,4,1,0
2012-10,Derbyshire Constabulary,CV13,8,0,4,27,71,11,1,8,7,3,2
