Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-10,Gloucestershire Constabulary,FA9,5,0,0,2,21,1,2,3,1,2,1
2012-10,Gloucestershire Constabulary,CB2,4,0,3,0,11,1,0,6,0,0,2
2012-10,Gloucestershire Constabulary,CB3,2,0,0,1,8,1,1,2,1,0,2
2012-10,Gloucestershire Constabulary,CB1,5,0,1,4,6,5,0,4,0,1,1
2012-10,Gloucestershire Constabulary,CB4,16,0,3,8,73,11,3,12,3,1,13
2012-10,Gloucestershire Constabulary,AB1,3,0,3,1,9,4,0,4,1,0,1
2012-10,Gloucestershire Constabulary,AB2,9,0,7,12,119,19,59,58,6,6,33
2012-10,Gloucestershire Constabulary,AB3,3,0,3,2,6,5,0,4,0,1,1
2012-10,Gloucestershire Constabulary,AB4,5,0,6,2,12,4,0,1,2,0,3
2012-10,Gloucestershire Constabulary,AB5,5,0,4,2,33,13,3,12,5,2,7
2012-10,Gloucestershire Constabulary,AB6,3,0,2,2,12,4,2,8,1,0,2
2012-10,Gloucestershire Constabulary,AB7,6,1,5,3,20,5,12,13,4,1,5
2012-10,Gloucestershire Constabulary,BB7,14,1,12,4,58,5,6,12,3,3,6
2012-10,Gloucestershire Constabulary,BB6,10,0,7,3,21,4,1,8,1,1,2
2012-10,Gloucestershire Constabulary,BB5,8,0,5,1,74,11,5,11,1,0,10
2012-10,Gloucestershire Constabulary,BB4,9,0,5,2,54,7,4,8,1,3,6
2012-10,Gloucestershire Constabulary,BB3,16,1,5,6,101,15,4,10,2,2,18
2012-10,Gloucestershire Constabulary,BB2,13,0,11,4,32,9,0,5,1,0,3
2012-10,Gloucestershire Constabulary,BB1,7,2,3,2,26,4,0,4,3,1,4
2012-10,Gloucestershire Constabulary,FA8,1,0,2,1,16,3,0,3,0,0,3
2012-10,Gloucestershire Constabulary,FA1,4,0,1,1,8,1,0,3,0,0,2
2012-10,Gloucestershire Constabulary,FA2,1,0,3,3,14,2,3,6,2,2,4
2012-10,Gloucestershire Constabulary,FA3,5,0,2,0,7,3,3,5,0,1,1
2012-10,Gloucestershire Constabulary,BB8,10,1,6,3,39,3,2,4,3,1,5
2012-10,Gloucestershire Constabulary,FA6,13,2,6,5,76,13,14,20,1,3,13
2012-10,Gloucestershire Constabulary,FA7,5,0,2,1,4,1,0,5,2,0,1
2012-10,Gloucestershire Constabulary,FA4,6,0,3,1,27,4,0,10,1,2,0
2012-10,Gloucestershire Constabulary,FA5,6,0,4,1,22,3,2,3,0,2,3
2012-10,Gloucestershire Constabulary,DA4,3,1,1,1,8,2,0,1,1,0,0
2012-10,Gloucestershire Constabulary,DA5,4,0,4,1,7,1,0,0,0,0,1
2012-10,Gloucestershire Constabulary,DA6,10,0,6,3,43,10,2,12,5,0,4
2012-10,Gloucestershire Constabulary,DA7,14,0,6,5,50,7,9,12,5,0,9
2012-10,Gloucestershire Constabulary,DA1,9,0,3,5,64,15,14,19,9,3,10
2012-10,Gloucestershire Constabulary,DA2,5,0,0,0,11,2,1,4,0,1,2
2012-10,Gloucestershire Constabulary,DA3,6,0,2,1,43,6,1,9,2,0,2
2012-10,Gloucestershire Constabulary,EA1,17,0,9,1,45,6,0,15,0,0,6
2012-10,Gloucestershire Constabulary,EA3,9,0,7,5,46,11,3,15,5,2,3
2012-10,Gloucestershire Constabulary,EA2,17,0,12,12,96,7,2,16,9,1,9
2012-10,Gloucestershire Constabulary,EA5,4,0,1,2,28,2,2,1,1,0,1
2012-10,Gloucestershire Constabulary,EA4,10,1,6,4,54,13,8,6,3,0,7
2012-10,Gloucestershire Constabulary,BA4,24,2,15,11,110,22,14,13,7,2,5
2012-10,Gloucestershire Constabulary,BA2,5,0,2,0,17,1,5,13,0,1,2
2012-10,Gloucestershire Constabulary,BA3,8,1,16,8,62,13,3,13,1,2,4
2012-10,Gloucestershire Constabulary,BA1,16,1,9,17,158,18,71,68,13,10,28
2012-10,Gloucestershire Constabulary,CA3,4,0,3,3,23,7,0,4,3,1,0
2012-10,Gloucestershire Constabulary,CA2,14,1,3,7,39,7,0,8,1,0,5
2012-10,Gloucestershire Constabulary,CA1,16,2,21,9,139,45,20,25,7,6,34
2012-10,Gloucestershire Constabulary,CA4,7,0,9,3,54,24,2,8,2,1,6
2012-10,Gloucestershire Constabulary,AA5,4,0,1,1,4,4,0,3,2,1,5
2012-10,Gloucestershire Constabulary,AA4,3,0,1,1,4,1,6,6,1,1,1
2012-10,Gloucestershire Constabulary,AA7,5,0,1,4,8,5,1,2,3,1,4
2012-10,Gloucestershire Constabulary,AA6,6,0,1,1,11,2,0,6,2,0,1
2012-10,Gloucestershire Constabulary,AA1,7,2,2,5,19,21,3,5,1,1,11
2012-10,Gloucestershire Constabulary,AA3,11,0,2,2,20,6,11,11,10,1,11
2012-10,Gloucestershire Constabulary,AA2,1,0,7,3,9,7,0,2,1,2,6
