Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-10,Police Service of Northern Ireland,Fermanagh North,5,0,2,9,24,6,2,9,2,0,1
2012-10,Police Service of Northern Ireland,Lisburn City,16,2,5,54,140,35,26,33,13,4,11
2012-10,Police Service of Northern Ireland,Coleraine Coastal,8,1,3,65,98,22,1,16,6,1,6
2012-10,Police Service of Northern Ireland,Omagh Rural,5,1,5,10,28,5,0,2,1,1,3
2012-10,Police Service of Northern Ireland,Bann,3,0,2,6,11,7,0,2,0,1,4
2012-10,Police Service of Northern Ireland,South Armagh,8,0,4,26,50,13,0,7,3,0,6
2012-10,Police Service of Northern Ireland,Dunmurry,22,2,2,64,116,43,1,10,11,7,5
2012-10,Police Service of Northern Ireland,Downpatrick,12,0,7,21,89,25,4,6,8,7,0
2012-10,Police Service of Northern Ireland,Lisburn Rural,23,0,3,13,45,9,0,9,2,0,3
2012-10,Police Service of Northern Ireland,Ballymoney Town,5,0,0,17,55,12,1,0,0,1,2
2012-10,Police Service of Northern Ireland,York Road,25,3,15,54,204,87,16,52,13,6,7
2012-10,Police Service of Northern Ireland,Castlereagh,22,0,9,20,70,23,4,24,3,2,3
2012-10,Police Service of Northern Ireland,Upper Falls,3,0,4,29,66,10,0,9,1,5,3
2012-10,Police Service of Northern Ireland,Foyle City Centre,8,1,4,85,107,38,20,28,12,5,17
2012-10,Police Service of Northern Ireland,Foyle City North,13,1,20,38,110,33,3,17,7,1,2
2012-10,Police Service of Northern Ireland,Bush,1,0,0,4,19,6,0,2,1,0,3
2012-10,Police Service of Northern Ireland,Rural West,6,0,4,6,21,8,0,3,2,1,3
2012-10,Police Service of Northern Ireland,Cookstown Rural,3,1,2,16,46,9,0,8,0,0,2
2012-10,Police Service of Northern Ireland,Coleraine Rural,2,0,0,3,11,6,1,5,0,0,0
2012-10,Police Service of Northern Ireland,Laganbank,46,4,33,128,298,88,17,76,13,6,5
2012-10,Police Service of Northern Ireland,Rural East,12,0,3,9,35,18,1,10,3,1,2
2012-10,Police Service of Northern Ireland,Coleraine Town,7,1,3,63,159,38,14,28,10,10,7
2012-10,Police Service of Northern Ireland,Holywood,10,1,3,15,28,11,1,4,1,0,2
2012-10,Police Service of Northern Ireland,Macedon,14,1,8,24,59,19,16,12,3,1,6
2012-10,Police Service of Northern Ireland,Rathfriland,6,1,3,13,29,6,0,0,2,0,1
2012-10,Police Service of Northern Ireland,Peninsula,9,0,4,21,57,19,0,10,6,1,5
2012-10,Police Service of Northern Ireland,Newtownards,7,0,10,45,114,37,17,12,1,3,4
2012-10,Police Service of Northern Ireland,Crumlin,2,1,6,9,27,4,0,7,3,2,2
2012-10,Police Service of Northern Ireland,Cookstown Urban,1,1,2,29,115,17,8,10,2,5,1
2012-10,Police Service of Northern Ireland,Larne Coastal Road,4,0,1,0,9,2,0,2,1,0,1
2012-10,Police Service of Northern Ireland,Castlederg,3,0,1,19,44,6,2,6,0,4,0
2012-10,Police Service of Northern Ireland,Ballyclare,5,0,2,4,53,18,2,10,1,0,2
2012-10,Police Service of Northern Ireland,Newry City,21,2,10,81,123,41,21,23,16,5,9
2012-10,Police Service of Northern Ireland,Victoria,14,0,4,33,75,27,4,21,5,0,5
2012-10,Police Service of Northern Ireland,Maghera,5,0,3,12,27,15,0,4,0,1,4
2012-10,Police Service of Northern Ireland,Strabane,9,0,7,20,97,24,6,11,6,0,6
2012-10,Police Service of Northern Ireland,Ballymena North,8,0,2,17,66,9,2,5,9,3,3
2012-10,Police Service of Northern Ireland,Lurgan,18,2,3,65,143,35,2,20,9,4,9
2012-10,Police Service of Northern Ireland,Banbridge,4,1,7,24,78,32,5,9,2,1,7
2012-10,Police Service of Northern Ireland,Dromore,2,0,0,5,13,1,0,2,0,0,1
2012-10,Police Service of Northern Ireland,Tennent Street,35,3,28,87,224,93,9,41,6,11,11
