Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-10,Northumbria Police,A1,17,1,21,39,294,42,66,30,34,21,12
2012-10,Northumbria Police,A3,34,2,23,31,307,78,22,26,7,3,15
2012-10,Northumbria Police,A2,16,1,6,17,123,25,8,15,5,3,3
2012-10,Northumbria Police,A5,27,1,29,31,294,52,29,41,12,11,6
2012-10,Northumbria Police,E8,24,0,16,24,345,69,37,29,24,13,10
2012-10,Northumbria Police,A7,39,1,31,29,204,53,5,38,12,8,5
2012-10,Northumbria Police,A6,24,0,13,26,197,35,25,25,20,6,6
2012-10,Northumbria Police,C3,32,1,37,17,202,49,17,22,5,5,12
2012-10,Northumbria Police,C2,19,1,19,10,127,23,12,7,7,1,2
2012-10,Northumbria Police,C1,36,2,10,21,259,43,20,14,14,4,11
2012-10,Northumbria Police,E6,36,2,10,110,686,39,141,157,48,36,18
2012-10,Northumbria Police,E1,44,0,26,20,321,41,19,15,12,6,5
2012-10,Northumbria Police,C6,21,1,15,7,143,27,10,20,12,6,4
2012-10,Northumbria Police,E3,33,0,16,21,225,40,9,11,7,5,9
2012-10,Northumbria Police,E2,20,0,13,10,124,27,41,22,10,7,11
2012-10,Northumbria Police,E5,46,1,34,23,249,46,11,37,27,9,11
2012-10,Northumbria Police,E4,39,0,20,14,167,33,10,25,10,3,10
2012-10,Northumbria Police,E7,27,0,26,12,195,30,12,39,7,4,6
2012-10,Northumbria Police,F1,13,0,10,10,177,21,13,15,2,3,5
2012-10,Northumbria Police,F2,25,1,15,24,377,63,28,32,18,6,14
2012-10,Northumbria Police,F3,16,2,15,27,341,54,32,26,3,12,4
2012-10,Northumbria Police,F4,12,0,9,9,162,23,9,13,2,5,2
2012-10,Northumbria Police,F5,4,1,6,10,102,10,10,15,3,1,2
2012-10,Northumbria Police,F6,1,0,7,6,136,15,1,12,5,3,2
2012-10,Northumbria Police,F7,4,0,2,12,88,11,8,11,2,5,6
2012-10,Northumbria Police,F8,17,0,4,5,98,8,6,6,1,1,3
2012-10,Northumbria Police,F9,15,0,5,5,76,10,6,11,1,1,2
2012-10,Northumbria Police,C5,21,1,15,19,129,22,39,25,8,4,5
2012-10,Northumbria Police,B1,16,3,29,54,354,61,27,37,37,10,14
2012-10,Northumbria Police,B2,19,0,5,12,164,26,4,16,8,1,3
2012-10,Northumbria Police,B3,18,0,16,26,229,42,14,27,9,16,11
2012-10,Northumbria Police,D4,10,0,13,19,296,19,18,19,4,2,11
2012-10,Northumbria Police,D2,21,0,3,19,175,24,24,22,7,6,8
2012-10,Northumbria Police,D3,21,1,10,22,218,29,16,17,7,6,6
2012-10,Northumbria Police,D1,23,3,17,25,292,31,30,22,22,12,4
