Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-10,West Midlands Police,WSEA,12,1,8,21,55,19,7,16,0,1,3
2012-10,West Midlands Police,WSEC,11,1,11,3,24,16,14,10,3,0,1
2012-10,West Midlands Police,WSEB,13,3,9,20,40,21,4,4,2,4,4
2012-10,West Midlands Police,WSEE,15,0,12,3,10,6,1,5,2,1,0
2012-10,West Midlands Police,WSED,13,1,5,15,22,7,15,10,1,0,0
2012-10,West Midlands Police,WSEG,8,2,14,8,33,9,1,14,3,3,11
2012-10,West Midlands Police,WSEF,11,1,9,17,21,17,1,9,7,5,3
2012-10,West Midlands Police,CVCF,8,3,6,8,52,6,9,5,2,0,2
2012-10,West Midlands Police,WSEH,26,6,14,44,55,27,55,29,7,11,5
2012-10,West Midlands Police,CVCD,15,2,22,16,40,13,2,3,5,1,7
2012-10,West Midlands Police,CVCE,21,1,17,8,29,9,3,7,3,0,0
2012-10,West Midlands Police,CVCB,12,0,12,14,38,11,4,8,1,4,6
2012-10,West Midlands Police,CVCC,20,2,28,19,43,11,1,6,5,6,5
2012-10,West Midlands Police,CVCA,11,1,20,8,15,14,0,3,1,0,5
2012-10,West Midlands Police,BWDA,19,7,37,41,140,17,5,18,10,4,10
2012-10,West Midlands Police,BEBD,12,5,15,27,106,26,3,10,12,13,12
2012-10,West Midlands Police,BWDC,6,5,19,9,54,14,1,13,4,5,5
2012-10,West Midlands Police,BWDB,16,9,34,23,80,12,1,51,12,5,3
2012-10,West Midlands Police,BEBA,10,3,16,19,70,21,1,15,10,3,8
2012-10,West Midlands Police,BWDD,18,4,17,29,69,17,5,16,6,5,21
2012-10,West Midlands Police,BEBC,14,1,15,35,77,20,9,11,6,7,4
2012-10,West Midlands Police,BEBB,15,10,11,23,90,14,8,9,11,5,7
2012-10,West Midlands Police,SWBK,7,2,3,4,11,3,1,1,1,4,1
2012-10,West Midlands Police,WVFJ,15,1,6,3,10,4,10,2,0,0,1
2012-10,West Midlands Police,DYSA,7,0,5,8,17,3,0,5,0,2,1
2012-10,West Midlands Police,DYSB,14,3,7,10,27,10,1,7,0,5,3
2012-10,West Midlands Police,DYSC,9,4,9,4,17,5,2,5,1,2,1
2012-10,West Midlands Police,DYSD,12,0,4,7,21,7,4,5,3,0,0
2012-10,West Midlands Police,DYSE,4,3,8,2,15,8,12,2,1,0,1
2012-10,West Midlands Police,DYSF,4,0,1,2,11,8,0,0,0,0,2
2012-10,West Midlands Police,DYSG,4,0,8,9,21,12,1,6,2,3,3
2012-10,West Midlands Police,DYSH,3,0,3,2,15,3,2,3,4,0,1
