Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-11,Dyfed-Powys Police,135,1,0,1,7,9,1,0,3,1,0,0
2012-11,Dyfed-Powys Police,134,6,0,2,16,58,13,5,7,16,4,1
2012-11,Dyfed-Powys Police,115,1,0,0,2,9,0,1,2,0,0,1
2012-11,Dyfed-Powys Police,128,2,0,0,0,2,0,1,1,0,1,1
2012-11,Dyfed-Powys Police,117,1,0,1,1,9,3,0,1,0,0,0
2012-11,Dyfed-Powys Police,116,3,0,1,10,102,14,15,11,6,6,3
2012-11,Dyfed-Powys Police,111,5,0,3,0,16,1,1,0,10,1,1
2012-11,Dyfed-Powys Police,110,12,1,9,34,156,18,29,21,26,15,7
2012-11,Dyfed-Powys Police,113,1,0,2,2,15,5,1,1,2,2,1
2012-11,Dyfed-Powys Police,112,0,0,3,6,14,1,0,1,2,0,1
2012-11,Dyfed-Powys Police,139,0,0,0,2,10,1,0,1,1,2,0
2012-11,Dyfed-Powys Police,138,0,0,0,10,22,4,3,3,2,0,4
2012-11,Dyfed-Powys Police,119,7,0,1,4,24,1,7,11,6,3,2
2012-11,Dyfed-Powys Police,118,1,0,0,4,7,1,1,1,0,0,1
2012-11,Dyfed-Powys Police,129,1,0,0,0,3,3,0,4,0,0,0
2012-11,Dyfed-Powys Police,146,3,0,0,4,10,2,0,3,0,2,2
2012-11,Dyfed-Powys Police,147,1,1,0,5,37,4,6,4,2,3,3
2012-11,Dyfed-Powys Police,144,0,0,2,3,22,3,0,3,1,0,2
2012-11,Dyfed-Powys Police,145,0,0,0,1,3,1,0,1,3,0,0
2012-11,Dyfed-Powys Police,142,0,0,0,1,15,0,0,1,0,0,0
2012-11,Dyfed-Powys Police,143,1,0,0,6,15,3,0,3,2,1,1
2012-11,Dyfed-Powys Police,140,0,0,1,0,7,2,0,1,0,0,0
2012-11,Dyfed-Powys Police,141,1,0,3,1,22,5,1,3,1,3,0
2012-11,Dyfed-Powys Police,148,0,0,2,2,9,0,0,1,1,0,0
2012-11,Dyfed-Powys Police,149,2,0,4,8,53,5,4,3,10,2,1
2012-11,Dyfed-Powys Police,120,1,0,0,0,7,0,0,0,1,0,0
2012-11,Dyfed-Powys Police,121,3,0,0,6,28,2,2,1,5,1,2
2012-11,Dyfed-Powys Police,122,1,0,0,0,8,3,0,0,4,0,1
2012-11,Dyfed-Powys Police,123,12,1,12,22,179,20,8,22,44,9,1
2012-11,Dyfed-Powys Police,124,17,1,16,43,219,40,19,25,38,27,4
2012-11,Dyfed-Powys Police,125,2,0,1,0,8,0,0,1,0,0,1
2012-11,Dyfed-Powys Police,126,0,0,0,0,27,0,0,0,0,0,1
2012-11,Dyfed-Powys Police,127,2,0,0,1,12,1,0,1,0,0,2
2012-11,Dyfed-Powys Police,102,3,0,1,12,69,19,5,12,8,7,3
2012-11,Dyfed-Powys Police,103,9,1,6,13,157,20,2,14,62,4,5
2012-11,Dyfed-Powys Police,100,2,0,0,3,13,3,0,3,2,0,1
2012-11,Dyfed-Powys Police,101,0,0,0,0,8,0,0,2,1,1,2
2012-11,Dyfed-Powys Police,106,3,0,1,1,14,3,1,3,0,0,0
2012-11,Dyfed-Powys Police,107,0,0,0,2,11,0,0,2,1,0,0
2012-11,Dyfed-Powys Police,104,2,0,3,0,10,2,1,2,2,0,0
2012-11,Dyfed-Powys Police,105,2,0,0,9,31,5,2,2,7,3,2
2012-11,Dyfed-Powys Police,133,3,0,1,7,24,3,0,5,2,1,1
2012-11,Dyfed-Powys Police,132,1,0,0,7,21,8,0,2,2,0,2
2012-11,Dyfed-Powys Police,108,2,0,0,7,16,0,0,0,13,1,1
2012-11,Dyfed-Powys Police,131,5,0,2,11,79,10,8,4,5,4,3
2012-11,Dyfed-Powys Police,130,1,0,0,7,20,4,1,3,3,0,1
2012-11,Dyfed-Powys Police,137,5,1,10,15,76,9,3,6,3,4,2
2012-11,Dyfed-Powys Police,136,4,0,3,4,34,10,3,2,2,3,1
