Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-11,Nottinghamshire Police,31-197,2,0,0,1,1,4,0,0,0,0,3
2012-11,Nottinghamshire Police,31-196,2,0,0,1,8,4,0,2,0,0,0
2012-11,Nottinghamshire Police,31-191,3,0,1,3,9,2,2,3,1,1,0
2012-11,Nottinghamshire Police,31-220,1,1,2,5,6,6,3,5,0,0,1
2012-11,Nottinghamshire Police,31-80,0,0,0,0,0,0,0,0,0,0,0
2012-11,Nottinghamshire Police,31-82,7,0,3,11,25,14,4,5,4,2,0
2012-11,Nottinghamshire Police,31-83,9,0,4,4,39,9,2,4,2,0,0
2012-11,Nottinghamshire Police,31-84,6,0,2,3,9,6,3,5,0,0,0
2012-11,Nottinghamshire Police,31-85,5,0,2,11,22,16,2,4,5,1,1
2012-11,Nottinghamshire Police,31-86,1,0,1,6,3,2,0,1,0,0,0
2012-11,Nottinghamshire Police,31-87,0,0,4,2,6,1,0,2,1,0,0
2012-11,Nottinghamshire Police,31-88,2,1,0,5,13,3,1,2,2,2,1
2012-11,Nottinghamshire Police,31-89,5,0,5,6,21,6,2,3,0,0,0
2012-11,Nottinghamshire Police,31-108,3,1,6,10,41,7,0,8,4,0,2
2012-11,Nottinghamshire Police,31-109,10,6,4,8,34,8,1,8,6,1,1
2012-11,Nottinghamshire Police,31-100,2,1,1,9,13,7,1,1,1,3,3
2012-11,Nottinghamshire Police,31-101,5,0,3,4,10,3,0,2,1,2,0
2012-11,Nottinghamshire Police,31-102,0,1,0,32,29,6,23,15,4,6,2
2012-11,Nottinghamshire Police,31-103,6,0,0,4,9,3,0,2,2,1,0
2012-11,Nottinghamshire Police,31-104,3,0,8,13,24,8,4,4,3,6,2
2012-11,Nottinghamshire Police,31-105,4,0,1,4,16,3,0,8,1,0,2
2012-11,Nottinghamshire Police,31-106,2,0,5,1,7,5,3,3,2,1,1
2012-11,Nottinghamshire Police,31-107,7,0,2,9,21,5,2,4,1,0,1
